日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,12716.84,12644.23,12872.49,12521.64,2506073.0,5112127145.62,2.78,0.28,34.74,0.27,BK0457,industry,电网设备
2010-01-05,12652.67,12718.78,12844.08,12440.21,2758645.0,5501401491.32,3.19,0.59,74.55,0.3,BK0457,industry,电网设备
2010-01-06,12695.8,12681.18,12907.27,12537.51,2632921.0,5445542427.58,2.91,-0.3,-37.6,0.28,BK0457,industry,电网设备
2010-01-07,12662.25,12616.04,12921.12,12425.5,3386496.0,7128180623.6,3.91,-0.51,-65.14,0.36,BK0457,industry,电网设备
2010-01-08,12588.09,12669.73,12773.85,12401.07,2329740.0,5186338499.74,2.95,0.43,53.69,0.25,BK0457,industry,电网设备
2010-01-11,12740.26,12689.21,12957.59,12508.65,2801169.0,5924660705.62,3.54,0.15,19.48,0.3,BK0457,industry,电网设备
2010-01-12,12678.6,12842.85,12925.58,12504.52,2639361.0,5576234433.83,3.32,1.21,153.64,0.28,BK0457,industry,电网设备
2010-01-13,12586.67,12585.59,12846.9,12443.11,2793569.0,6577187850.25,3.14,-2.0,-257.26,0.3,BK0457,industry,电网设备
2010-01-14,12615.26,12982.68,13091.44,12530.88,3258159.0,7216934969.49,4.45,3.16,397.09,0.35,BK0457,industry,电网设备
2010-01-15,13034.36,13162.2,13341.61,12897.43,3612966.0,7772521783.89,3.42,1.38,179.52,0.39,BK0457,industry,电网设备
2010-01-18,13220.63,13228.39,13450.56,13036.61,3574889.0,7372536429.98,3.14,0.5,66.19,0.39,BK0457,industry,电网设备
2010-01-19,13224.59,13250.81,13430.36,13042.5,2965670.0,6431030842.64,2.93,0.17,22.42,0.32,BK0457,industry,电网设备
2010-01-20,13246.62,13151.2,13562.48,12847.88,4694795.0,10832647228.77,5.39,-0.75,-99.61,0.51,BK0457,industry,电网设备
2010-01-21,13120.39,13271.72,13472.41,12939.43,3497799.0,8077961367.7,4.05,0.92,120.52,0.38,BK0457,industry,电网设备
2010-01-22,13117.81,12795.2,13230.69,12564.79,2986998.0,6282873425.93,5.02,-3.59,-476.52,0.32,BK0457,industry,电网设备
2010-01-25,12689.0,12598.18,12957.35,12479.48,1733965.0,3911744404.48,3.73,-1.54,-197.02,0.19,BK0457,industry,电网设备
2010-01-26,12647.5,12247.79,12818.88,12092.27,2332085.0,5442032205.46,5.77,-2.78,-350.39,0.25,BK0457,industry,电网设备
2010-01-27,12256.39,12144.43,12456.01,11988.81,1957182.0,4552262295.37,3.81,-0.84,-103.36,0.21,BK0457,industry,电网设备
2010-01-28,12178.24,12322.09,12435.91,12083.32,1815776.0,4286850484.55,2.9,1.46,177.66,0.2,BK0457,industry,电网设备
2010-01-29,12277.09,12365.15,12578.9,12163.98,2008015.0,4858313620.45,3.37,0.35,43.06,0.22,BK0457,industry,电网设备
2010-02-01,12327.15,11996.65,12404.0,11849.17,2101434.0,4536228668.45,4.49,-2.98,-368.5,0.23,BK0457,industry,电网设备
2010-02-02,12061.11,11849.42,12250.29,11761.3,1909652.0,4452040177.37,4.08,-1.23,-147.23,0.21,BK0457,industry,电网设备
2010-02-03,11888.46,12016.47,12093.7,11521.26,2203001.0,5232319982.51,4.83,1.41,167.05,0.24,BK0457,industry,电网设备
2010-02-04,12002.74,12051.17,12219.96,11841.9,2051304.0,4640807854.75,3.15,0.29,34.7,0.22,BK0457,industry,电网设备
2010-02-05,11794.84,12047.67,12263.45,11671.28,3097980.0,5758583810.16,4.91,-0.03,-3.5,0.33,BK0457,industry,电网设备
2010-02-08,12044.08,12035.04,12242.31,11878.97,1796685.0,3306726036.35,3.02,-0.1,-12.63,0.19,BK0457,industry,电网设备
2010-02-09,12022.85,12044.57,12201.16,11869.53,1290076.0,2453093761.62,2.76,0.08,9.53,0.14,BK0457,industry,电网设备
2010-02-10,12126.49,12165.9,12280.46,11958.86,1468166.0,3065643140.79,2.67,1.01,121.33,0.16,BK0457,industry,电网设备
2010-02-11,12176.72,12166.65,12316.47,12050.42,1456337.0,3120545568.91,2.19,0.01,0.75,0.16,BK0457,industry,电网设备
2010-02-12,12200.85,12272.24,12368.83,12118.7,1387283.0,3026117380.98,2.06,0.87,105.59,0.15,BK0457,industry,电网设备
2010-02-22,12285.31,12311.18,12490.76,12125.76,1497499.0,3202435448.28,2.97,0.32,38.94,0.16,BK0457,industry,电网设备
2010-02-23,12300.52,12494.32,12576.03,12168.6,2009382.0,4042494476.09,3.31,1.49,183.14,0.22,BK0457,industry,电网设备
2010-02-24,12488.48,12744.98,12829.21,12397.97,2456100.0,4958909838.65,3.45,2.01,250.66,0.26,BK0457,industry,电网设备
2010-02-25,12768.31,12869.89,13020.71,12656.47,4105614.0,7367694206.48,2.86,0.98,124.91,0.44,BK0457,industry,电网设备
2010-02-26,12853.56,12846.81,13016.13,12725.83,3016128.0,5396035944.58,2.26,-0.18,-23.08,0.32,BK0457,industry,电网设备
2010-03-01,12853.33,12942.88,13062.9,12754.73,2772462.0,5232829994.82,2.4,0.75,96.07,0.3,BK0457,industry,电网设备
2010-03-02,12976.34,13085.76,13269.92,12883.18,2366917.0,4465269034.53,2.99,1.1,142.88,0.26,BK0457,industry,电网设备
2010-03-03,13135.61,13592.63,13743.97,13012.46,3974467.0,7929443545.02,5.59,3.87,506.87,0.43,BK0457,industry,电网设备
2010-03-04,13771.79,13224.25,13910.52,13114.2,5105357.0,9967164236.05,5.86,-2.71,-368.38,0.55,BK0457,industry,电网设备
2010-03-05,13209.9,13162.81,13402.81,12953.73,2677227.0,5316545806.82,3.4,-0.46,-61.44,0.29,BK0457,industry,电网设备
2010-03-08,13185.7,13330.52,13488.76,13084.15,2172830.0,4878342986.65,3.07,1.27,167.71,0.23,BK0457,industry,电网设备
2010-03-09,13347.66,13262.13,13466.61,13091.89,2342400.0,4283260983.24,2.81,-0.51,-68.39,0.25,BK0457,industry,电网设备
2010-03-10,13244.03,13089.97,13376.57,12912.49,2159645.0,4224344101.15,3.5,-1.3,-172.16,0.23,BK0457,industry,电网设备
2010-03-11,13055.71,12922.28,13183.67,12782.65,1980117.0,4019433250.86,3.06,-1.28,-167.69,0.21,BK0457,industry,电网设备
2010-03-12,12902.16,12717.91,13056.9,12622.15,1589694.0,3450786537.77,3.36,-1.58,-204.37,0.17,BK0457,industry,电网设备
