日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,9302.68,9096.24,9334.77,9083.62,2359355.0,3063753245.73,2.72,-1.66,-153.72,0.08,BK0464,industry,石油行业
2010-01-05,9111.93,9155.55,9243.5,8930.44,2978761.0,3952918281.62,3.44,0.65,59.31,0.1,BK0464,industry,石油行业
2010-01-06,9127.39,8980.41,9155.64,8959.49,2750411.0,3679369369.85,2.14,-1.91,-175.14,0.09,BK0464,industry,石油行业
2010-01-07,8987.21,8766.61,9033.99,8660.82,2976552.0,3911085536.26,4.16,-2.38,-213.8,0.1,BK0464,industry,石油行业
2010-01-08,8678.35,8690.43,8722.12,8473.1,2746972.0,3499966603.0,2.84,-0.87,-76.18,0.09,BK0464,industry,石油行业
2010-01-11,9019.73,8665.37,9058.55,8581.34,3799553.0,4771832399.25,5.49,-0.29,-25.06,0.13,BK0464,industry,石油行业
2010-01-12,8619.5,8858.79,8938.66,8520.18,4312540.0,5868280003.22,4.83,2.23,193.42,0.15,BK0464,industry,石油行业
2010-01-13,8687.69,8574.69,8759.05,8524.58,4596393.0,5858080766.08,2.65,-3.21,-284.1,0.16,BK0464,industry,石油行业
2010-01-14,8597.08,8633.14,8666.27,8498.02,2700979.0,3427019073.63,1.96,0.68,58.45,0.09,BK0464,industry,石油行业
2010-01-15,8627.75,8695.82,8785.25,8537.95,2534302.0,3287685603.46,2.86,0.73,62.68,0.09,BK0464,industry,石油行业
2010-01-18,8664.32,8629.55,8683.63,8543.95,2579623.0,3353012550.89,1.61,-0.76,-66.27,0.09,BK0464,industry,石油行业
2010-01-19,8652.61,8702.62,8769.55,8622.95,2941140.0,3914988401.37,1.7,0.85,73.07,0.1,BK0464,industry,石油行业
2010-01-20,8708.64,8337.67,8719.97,8307.58,3443791.0,4423423661.62,4.74,-4.19,-364.95,0.12,BK0464,industry,石油行业
2010-01-21,8336.39,8268.23,8398.97,8138.34,2441386.0,3077678548.73,3.13,-0.83,-69.44,0.08,BK0464,industry,石油行业
2010-01-22,8133.71,8184.09,8281.53,8038.41,2341883.0,2895455504.05,2.94,-1.02,-84.14,0.08,BK0464,industry,石油行业
2010-01-25,8127.37,8140.76,8227.34,8091.49,1116741.0,1378557504.11,1.66,-0.53,-43.33,0.04,BK0464,industry,石油行业
2010-01-26,8147.12,7847.03,8181.23,7794.47,1909966.0,2285476829.9,4.75,-3.61,-293.73,0.07,BK0464,industry,石油行业
2010-01-27,7870.88,7753.83,7895.22,7726.28,1552385.0,1763508786.53,2.15,-1.19,-93.2,0.05,BK0464,industry,石油行业
2010-01-28,7772.35,7767.12,7839.81,7669.0,1337260.0,1536292452.01,2.2,0.17,13.29,0.05,BK0464,industry,石油行业
2010-01-29,7704.59,7715.97,7836.59,7670.7,1488001.0,1754764725.91,2.14,-0.66,-51.15,0.05,BK0464,industry,石油行业
2010-02-01,7691.18,7542.88,7710.74,7498.69,1499974.0,1762943263.55,2.75,-2.24,-173.09,0.05,BK0464,industry,石油行业
2010-02-02,7586.37,7513.96,7670.07,7500.04,1322032.0,1532452986.83,2.25,-0.38,-28.92,0.05,BK0464,industry,石油行业
2010-02-03,7555.98,7671.58,7690.62,7328.01,1907272.0,2222210994.63,4.83,2.1,157.62,0.07,BK0464,industry,石油行业
2010-02-04,7595.08,7585.25,7638.92,7525.16,1507175.0,1778037618.28,1.48,-1.13,-86.33,0.05,BK0464,industry,石油行业
2010-02-05,7409.18,7423.34,7486.01,7341.02,1891715.0,2174066667.01,1.91,-2.13,-161.91,0.07,BK0464,industry,石油行业
2010-02-08,7409.59,7364.68,7465.07,7290.43,1281777.0,1393445949.06,2.35,-0.79,-58.66,0.04,BK0464,industry,石油行业
2010-02-09,7353.05,7392.91,7420.88,7313.1,1164891.0,1234221868.56,1.46,0.38,28.23,0.04,BK0464,industry,石油行业
2010-02-10,7436.22,7488.49,7514.57,7374.01,1241313.0,1381378282.12,1.9,1.29,95.58,0.04,BK0464,industry,石油行业
2010-02-11,7489.14,7518.79,7577.55,7450.4,1180878.0,1358404067.66,1.7,0.4,30.3,0.04,BK0464,industry,石油行业
2010-02-12,7555.08,7622.18,7647.44,7509.49,1235931.0,1436401874.17,1.83,1.38,103.39,0.04,BK0464,industry,石油行业
2010-02-22,7634.55,7551.02,7656.95,7524.79,1075792.0,1207617139.38,1.73,-0.93,-71.16,0.04,BK0464,industry,石油行业
2010-02-23,7528.92,7465.92,7534.38,7352.39,1149090.0,1303012539.07,2.41,-1.13,-85.1,0.04,BK0464,industry,石油行业
2010-02-24,7417.74,7574.42,7582.03,7362.01,1603991.0,1833878837.18,2.95,1.45,108.5,0.06,BK0464,industry,石油行业
2010-02-25,7579.27,7666.32,7699.9,7542.7,2171628.0,2585691233.34,2.08,1.21,91.9,0.07,BK0464,industry,石油行业
2010-02-26,7630.29,7659.85,7728.44,7591.25,1695146.0,2007933527.96,1.79,-0.08,-6.47,0.06,BK0464,industry,石油行业
2010-03-01,7654.21,7729.85,7773.47,7634.79,1700765.0,2065671378.34,1.81,0.91,70.0,0.06,BK0464,industry,石油行业
2010-03-02,7736.86,7658.27,7748.34,7613.3,1573259.0,1913067348.52,1.75,-0.93,-71.58,0.05,BK0464,industry,石油行业
2010-03-03,7658.84,7685.17,7716.23,7578.47,1483797.0,1732247607.87,1.8,0.35,26.9,0.05,BK0464,industry,石油行业
2010-03-04,7674.3,7514.94,7696.81,7506.05,1843108.0,2115121003.19,2.48,-2.22,-170.23,0.06,BK0464,industry,石油行业
2010-03-05,7521.22,7512.44,7557.85,7480.61,1222051.0,1439227917.13,1.03,-0.03,-2.5,0.04,BK0464,industry,石油行业
2010-03-08,7529.57,7558.54,7592.01,7509.77,1092968.0,1268411460.58,1.09,0.61,46.1,0.04,BK0464,industry,石油行业
2010-03-09,7558.7,7596.87,7647.26,7483.87,1520469.0,1746457334.83,2.16,0.51,38.33,0.05,BK0464,industry,石油行业
2010-03-10,7602.12,7640.56,7733.59,7585.3,1638647.0,1891630137.33,1.95,0.58,43.69,0.06,BK0464,industry,石油行业
2010-03-11,7647.76,7773.45,7826.73,7611.12,2093726.0,2571027575.57,2.82,1.74,132.89,0.07,BK0464,industry,石油行业
2010-03-12,7768.74,7660.41,7810.87,7652.66,1608627.0,1932793644.76,2.04,-1.45,-113.04,0.06,BK0464,industry,石油行业
2010-03-15,7654.16,7556.8,7670.68,7521.75,1112900.0,1331032672.69,1.94,-1.35,-103.61,0.04,BK0464,industry,石油行业
2010-03-16,7545.25,7663.41,7683.25,7534.43,1021663.0,1166396396.16,1.97,1.41,106.61,0.04,BK0464,industry,石油行业
2010-03-17,7666.47,7762.96,7771.77,7639.67,1640236.0,1842368963.54,1.72,1.3,99.55,0.06,BK0464,industry,石油行业
2010-03-18,7774.2,7762.26,7818.66,7718.29,1911304.0,2046490816.81,1.29,-0.01,-0.7,0.07,BK0464,industry,石油行业
2010-03-19,7760.8,7850.53,7876.71,7715.51,1852759.0,2094397764.44,2.08,1.14,88.27,0.06,BK0464,industry,石油行业
2010-03-22,7833.52,7856.79,7913.07,7805.82,1532588.0,1757346854.22,1.37,0.08,6.26,0.05,BK0464,industry,石油行业
2010-03-23,7857.49,7834.98,7994.42,7825.5,1870224.0,2104943716.9,2.15,-0.28,-21.81,0.06,BK0464,industry,石油行业
2010-03-24,7836.29,7822.3,7934.94,7811.03,1596247.0,1792146394.9,1.58,-0.16,-12.68,0.05,BK0464,industry,石油行业
2010-03-25,7822.42,7764.26,7889.11,7742.9,1637545.0,1900381341.53,1.87,-0.74,-58.04,0.06,BK0464,industry,石油行业
2010-03-26,7764.53,7947.68,7984.97,7701.97,1897147.0,2184894156.62,3.64,2.36,183.42,0.07,BK0464,industry,石油行业
