日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,6429.91,6407.06,6513.78,6331.4,3546430.0,3967892344.4,2.85,0.07,4.45,0.6,BK0436,industry,纺织服装
2010-01-05,6404.0,6459.08,6512.89,6304.39,3790931.0,4212811432.87,3.25,0.81,52.02,0.64,BK0436,industry,纺织服装
2010-01-06,6451.6,6444.51,6580.29,6374.36,4073827.0,4796388621.25,3.19,-0.23,-14.57,0.69,BK0436,industry,纺织服装
2010-01-07,6426.9,6298.29,6489.96,6232.04,3580512.0,4108152597.59,4.0,-2.27,-146.22,0.61,BK0436,industry,纺织服装
2010-01-08,6261.18,6344.01,6376.65,6173.58,2958587.0,3259963792.24,3.22,0.73,45.72,0.5,BK0436,industry,纺织服装
2010-01-11,6454.95,6453.1,6599.91,6294.21,4011518.0,4535360401.18,4.82,1.72,109.09,0.68,BK0436,industry,纺织服装
2010-01-12,6449.93,6593.39,6644.68,6381.11,4804485.0,5346116359.29,4.08,2.17,140.29,0.81,BK0436,industry,纺织服装
2010-01-13,6470.59,6545.84,6667.49,6404.96,5032344.0,5453059406.72,3.98,-0.72,-47.55,0.85,BK0436,industry,纺织服装
2010-01-14,6554.2,6691.08,6741.72,6493.64,5116324.0,5579734766.14,3.79,2.22,145.24,0.86,BK0436,industry,纺织服装
2010-01-15,6700.13,6744.8,6836.73,6627.85,4971854.0,5917682602.35,3.12,0.8,53.72,0.84,BK0436,industry,纺织服装
2010-01-18,6747.26,6832.32,6903.06,6673.2,5176669.0,5948009292.57,3.41,1.3,87.52,0.88,BK0436,industry,纺织服装
2010-01-19,6846.18,6807.2,6926.7,6708.71,4746651.0,5571764183.48,3.19,-0.37,-25.12,0.8,BK0436,industry,纺织服装
2010-01-20,6808.09,6629.12,6929.7,6528.3,5954989.0,6498630756.32,5.9,-2.62,-178.08,1.01,BK0436,industry,纺织服装
2010-01-21,6625.96,6713.95,6812.12,6537.77,4397654.0,4729884206.81,4.14,1.28,84.83,0.74,BK0436,industry,纺织服装
2010-01-22,6655.85,6550.79,6767.15,6388.09,5832352.0,5915440276.24,5.65,-2.43,-163.16,0.99,BK0436,industry,纺织服装
2010-01-25,6506.14,6426.37,6621.06,6383.35,2644476.0,2756148581.88,3.63,-1.9,-124.42,0.45,BK0436,industry,纺织服装
2010-01-26,6427.32,6163.45,6487.56,6097.15,3210575.0,3633134515.14,6.08,-4.09,-262.92,0.54,BK0436,industry,纺织服装
2010-01-27,6153.86,6116.15,6268.99,6032.64,2362591.0,2581687924.34,3.83,-0.77,-47.3,0.4,BK0436,industry,纺织服装
2010-01-28,6119.59,6191.56,6242.25,6057.88,2135697.0,2328252595.35,3.01,1.23,75.41,0.36,BK0436,industry,纺织服装
2010-01-29,6162.83,6236.82,6340.11,6115.61,2292233.0,2594535309.87,3.63,0.73,45.26,0.39,BK0436,industry,纺织服装
2010-02-01,6236.87,6160.83,6310.5,6035.06,2667864.0,2929469174.33,4.42,-1.22,-75.99,0.45,BK0436,industry,纺织服装
2010-02-02,6179.55,6116.79,6294.34,6070.39,2185258.0,2355581448.26,3.64,-0.71,-44.04,0.37,BK0436,industry,纺织服装
2010-02-03,6123.62,6252.21,6285.62,5941.39,2856369.0,2886072893.88,5.63,2.21,135.42,0.48,BK0436,industry,纺织服装
2010-02-04,6220.88,6323.79,6412.76,6151.56,3258574.0,3216095702.25,4.18,1.14,71.58,0.55,BK0436,industry,纺织服装
2010-02-05,6193.46,6216.58,6347.82,6099.69,2767138.0,2719220270.5,3.92,-1.7,-107.21,0.47,BK0436,industry,纺织服装
2010-02-08,6214.05,6267.98,6354.07,6136.84,2539971.0,2435333597.64,3.49,0.83,51.4,0.43,BK0436,industry,纺织服装
2010-02-09,6254.31,6278.03,6359.25,6163.23,2460808.0,2411626758.76,3.13,0.16,10.05,0.42,BK0436,industry,纺织服装
2010-02-10,6298.57,6325.64,6369.94,6223.71,2036480.0,2252298662.67,2.33,0.76,47.61,0.34,BK0436,industry,纺织服装
2010-02-11,6324.18,6287.57,6387.5,6244.09,1785500.0,2083246826.56,2.27,-0.6,-38.07,0.3,BK0436,industry,纺织服装
2010-02-12,6308.2,6367.35,6413.13,6254.89,1981666.0,2214306655.66,2.52,1.27,79.78,0.33,BK0436,industry,纺织服装
2010-02-22,6359.12,6422.51,6515.29,6291.74,3250847.0,3252873461.99,3.51,0.87,55.16,0.55,BK0436,industry,纺织服装
2010-02-23,6413.67,6480.25,6524.33,6288.91,3401095.0,3246318352.81,3.67,0.9,57.74,0.57,BK0436,industry,纺织服装
2010-02-24,6443.92,6608.32,6649.78,6389.9,3639266.0,3714165753.94,4.01,1.98,128.07,0.62,BK0436,industry,纺织服装
2010-02-25,6619.69,6679.94,6744.02,6570.75,4029309.0,4442635273.54,2.62,1.08,71.62,0.68,BK0436,industry,纺织服装
2010-02-26,6664.42,6710.41,6827.82,6590.5,4105582.0,4426555030.81,3.55,0.46,30.47,0.69,BK0436,industry,纺织服装
2010-03-01,6705.73,6789.39,6861.31,6654.18,4149542.0,4507396945.88,3.09,1.18,78.98,0.7,BK0436,industry,纺织服装
