日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,4516.64,4514.35,4588.76,4454.59,4028277.0,4235483505.31,2.98,0.42,18.79,1.77,BK0539,industry,综合行业
2010-01-05,4514.31,4544.74,4588.98,4435.83,3948292.0,4081824514.42,3.39,0.67,30.39,1.73,BK0539,industry,综合行业
2010-01-06,4542.36,4525.46,4618.64,4487.45,4424592.0,4264656743.4,2.89,-0.42,-19.28,1.94,BK0539,industry,综合行业
2010-01-07,4516.2,4434.83,4584.37,4385.39,5235729.0,4927235746.76,4.4,-2.0,-90.63,2.3,BK0539,industry,综合行业
2010-01-08,4412.36,4502.17,4522.4,4364.19,3672471.0,3735574487.72,3.57,1.52,67.34,1.61,BK0539,industry,综合行业
2010-01-11,4546.65,4538.97,4639.55,4457.96,4336159.0,4414575173.34,4.03,0.82,36.8,1.9,BK0539,industry,综合行业
2010-01-12,4536.74,4614.28,4653.43,4501.34,4826482.0,4647367475.55,3.35,1.66,75.31,2.12,BK0539,industry,综合行业
2010-01-13,4527.52,4543.78,4635.35,4478.38,4804703.0,4810825920.82,3.4,-1.53,-70.5,2.11,BK0539,industry,综合行业
2010-01-14,4555.36,4658.28,4686.91,4526.54,5344444.0,5033297680.11,3.53,2.52,114.5,2.35,BK0539,industry,综合行业
2010-01-15,4667.06,4701.8,4769.06,4616.93,5223759.0,5260738949.04,3.27,0.93,43.52,2.29,BK0539,industry,综合行业
2010-01-18,4700.47,4780.2,4808.35,4661.55,4977849.0,5065306022.44,3.12,1.67,78.4,2.19,BK0539,industry,综合行业
2010-01-19,4798.52,4825.43,4886.75,4728.77,6499170.0,6099584470.99,3.3,0.95,45.23,2.85,BK0539,industry,综合行业
2010-01-20,4822.77,4686.74,4894.31,4635.4,7768775.0,7363120691.78,5.37,-2.87,-138.69,3.41,BK0539,industry,综合行业
2010-01-21,4692.51,4737.55,4808.85,4624.61,5911264.0,5247937086.0,3.93,1.08,50.81,2.59,BK0539,industry,综合行业
2010-01-22,4678.4,4604.57,4747.7,4503.37,5671213.0,5440225163.45,5.16,-2.81,-132.98,2.49,BK0539,industry,综合行业
2010-01-25,4580.52,4526.56,4665.39,4488.5,4191177.0,3940805974.02,3.84,-1.69,-78.01,1.84,BK0539,industry,综合行业
2010-01-26,4535.66,4374.34,4579.71,4312.03,4271625.0,3871814671.29,5.91,-3.36,-152.22,1.88,BK0539,industry,综合行业
2010-01-27,4374.18,4341.76,4446.45,4284.76,3177281.0,3002703378.77,3.7,-0.74,-32.58,1.39,BK0539,industry,综合行业
