日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,3649.09,3597.47,3703.78,3581.5,2310277.0,2315667962.42,3.36,-1.01,-36.56,0.24,BK0420,industry,航空机场
2010-01-05,3607.5,3689.18,3709.58,3582.98,2246820.0,1994241560.57,3.52,2.55,91.71,0.23,BK0420,industry,航空机场
2010-01-06,3695.71,3646.41,3764.36,3636.24,2375446.0,2135781839.32,3.47,-1.16,-42.77,0.25,BK0420,industry,航空机场
2010-01-07,3637.85,3606.64,3723.09,3552.4,2493680.0,2114434320.8,4.68,-1.09,-39.77,0.26,BK0420,industry,航空机场
2010-01-08,3578.68,3630.01,3685.55,3532.67,2160631.0,1963259946.95,4.24,0.65,23.37,0.23,BK0420,industry,航空机场
2010-01-11,3672.11,3634.5,3724.52,3589.13,1916794.0,1884150386.2,3.73,0.12,4.49,0.2,BK0420,industry,航空机场
2010-01-12,3633.09,3764.77,3780.38,3593.91,2448457.0,2270198937.12,5.13,3.58,130.27,0.26,BK0420,industry,航空机场
2010-01-13,3662.67,3720.46,3808.05,3635.74,2184715.0,2246907982.37,4.58,-1.18,-44.31,0.23,BK0420,industry,航空机场
2010-01-14,3720.84,3911.0,3981.73,3711.72,3266283.0,3133799757.62,7.26,5.12,190.54,0.34,BK0420,industry,航空机场
2010-01-15,3905.08,3887.93,4006.55,3858.87,2428420.0,2201829736.36,3.78,-0.59,-23.07,0.25,BK0420,industry,航空机场
2010-01-18,3898.22,4065.22,4135.19,3890.86,3733537.0,3723154494.65,6.28,4.56,177.29,0.39,BK0420,industry,航空机场
2010-01-19,4091.3,4068.25,4130.11,4008.0,2538825.0,2516278509.05,3.0,0.07,3.03,0.26,BK0420,industry,航空机场
2010-01-20,4067.39,3971.33,4138.35,3945.06,3007333.0,3006712202.82,4.75,-2.38,-96.92,0.31,BK0420,industry,航空机场
2010-01-21,3977.69,3978.04,4040.26,3887.66,2512684.0,2521305112.57,3.84,0.17,6.71,0.26,BK0420,industry,航空机场
2010-01-22,3923.08,3886.42,4062.96,3800.19,3629432.0,3502630066.13,6.61,-2.3,-91.62,0.38,BK0420,industry,航空机场
2010-01-25,3854.14,3782.33,3936.94,3750.09,1744278.0,1726347470.98,4.81,-2.68,-104.09,0.18,BK0420,industry,航空机场
2010-01-26,3780.18,3629.63,3814.86,3559.85,1947190.0,1888197018.67,6.74,-4.04,-152.7,0.2,BK0420,industry,航空机场
2010-01-27,3625.36,3652.34,3725.09,3538.57,1522862.0,1392499801.79,5.14,0.63,22.71,0.16,BK0420,industry,航空机场
2010-01-28,3634.9,3817.97,3863.02,3615.34,2122022.0,1874693953.16,6.78,4.53,165.63,0.22,BK0420,industry,航空机场
2010-01-29,3786.27,3806.05,3909.84,3741.16,2146931.0,1919787853.77,4.42,-0.31,-11.92,0.22,BK0420,industry,航空机场
2010-02-01,3792.54,3851.38,3897.57,3702.8,2283286.0,2044170422.63,5.12,1.19,45.33,0.24,BK0420,industry,航空机场
2010-02-02,3875.58,3773.29,3929.1,3758.23,2270740.0,1908099657.38,4.44,-2.03,-78.09,0.24,BK0420,industry,航空机场
2010-02-03,3769.17,3876.08,3898.64,3639.88,3191883.0,2650133926.71,6.86,2.72,102.79,0.33,BK0420,industry,航空机场
2010-02-04,3840.38,3981.14,4037.2,3795.67,3682266.0,3415584086.42,6.23,2.71,105.06,0.38,BK0420,industry,航空机场
2010-02-05,3896.88,3938.31,4115.55,3806.06,3955880.0,3457121899.04,7.77,-1.08,-42.83,0.41,BK0420,industry,航空机场
2010-02-08,3914.97,4008.15,4118.05,3874.94,2860062.0,2356708226.06,6.17,1.77,69.84,0.3,BK0420,industry,航空机场
2010-02-09,3963.87,3967.33,4040.11,3901.04,1805728.0,1561908672.57,3.47,-1.02,-40.82,0.19,BK0420,industry,航空机场
2010-02-10,3980.76,4020.71,4053.74,3945.72,1716958.0,1492194344.76,2.72,1.35,53.38,0.18,BK0420,industry,航空机场
2010-02-11,4026.19,3940.43,4047.68,3928.03,1277017.0,1130185143.12,2.98,-2.0,-80.28,0.13,BK0420,industry,航空机场
2010-02-12,3943.62,3979.42,4029.35,3899.21,1451543.0,1258421195.87,3.3,0.99,38.99,0.15,BK0420,industry,航空机场
2010-02-22,3964.87,4041.66,4139.77,3921.6,2909247.0,2611198155.11,5.48,1.56,62.24,0.3,BK0420,industry,航空机场
2010-02-23,4035.09,4004.26,4076.9,3934.97,1267071.0,1315082374.07,3.51,-0.93,-37.4,0.13,BK0420,industry,航空机场
2010-02-24,3979.69,4163.71,4181.51,3954.85,1914309.0,1870786665.71,5.66,3.98,159.45,0.2,BK0420,industry,航空机场
2010-02-25,4167.11,4236.46,4262.05,4131.88,2590355.0,2440488840.82,3.13,1.75,72.75,0.27,BK0420,industry,航空机场
2010-02-26,4225.79,4231.95,4295.02,4169.37,1696466.0,1611310257.92,2.97,-0.11,-4.51,0.18,BK0420,industry,航空机场
2010-03-01,4230.91,4295.62,4361.07,4189.47,1708802.0,1774592593.18,4.05,1.5,63.67,0.18,BK0420,industry,航空机场
2010-03-02,4297.88,4234.37,4310.68,4187.03,1371957.0,1423382701.93,2.88,-1.43,-61.25,0.14,BK0420,industry,航空机场
2010-03-03,4217.72,4262.29,4298.43,4191.38,1408451.0,1433088235.55,2.53,0.66,27.92,0.15,BK0420,industry,航空机场
2010-03-04,4258.56,4187.42,4302.65,4067.57,1692039.0,1630846452.64,5.52,-1.76,-74.87,0.18,BK0420,industry,航空机场
2010-03-05,4166.62,4175.84,4228.93,4091.2,979691.0,1007199302.01,3.29,-0.28,-11.58,0.1,BK0420,industry,航空机场
2010-03-08,4191.41,4243.64,4279.2,4171.21,1230050.0,1195293644.26,2.59,1.62,67.8,0.13,BK0420,industry,航空机场
2010-03-09,4249.01,4245.02,4322.86,4189.63,2708037.0,2222143613.81,3.14,0.03,1.38,0.28,BK0420,industry,航空机场
2010-03-10,4227.03,4197.52,4278.95,4150.07,1669328.0,1465069227.23,3.04,-1.12,-47.5,0.17,BK0420,industry,航空机场
2010-03-11,4194.16,4221.81,4296.33,4143.4,1967238.0,1670989644.7,3.64,0.58,24.29,0.21,BK0420,industry,航空机场
2010-03-12,4277.48,4087.35,4328.18,4054.5,2163344.0,2048369955.01,6.48,-3.18,-134.46,0.23,BK0420,industry,航空机场
2010-03-15,4090.69,3998.47,4110.01,3938.93,1492501.0,1374699346.42,4.19,-2.17,-88.88,0.16,BK0420,industry,航空机场
2010-03-16,3973.97,4109.07,4122.84,3962.11,1871518.0,1713286139.14,4.02,2.77,110.6,0.2,BK0420,industry,航空机场
2010-03-17,4123.64,4173.53,4201.67,4057.36,1992753.0,1978923718.15,3.51,1.57,64.46,0.21,BK0420,industry,航空机场
2010-03-18,4175.82,4175.44,4262.3,4146.04,2128407.0,1960227120.89,2.79,0.05,1.91,0.22,BK0420,industry,航空机场
2010-03-19,4176.46,4349.86,4371.76,4166.03,2419671.0,2290780908.92,4.93,4.18,174.42,0.25,BK0420,industry,航空机场
2010-03-22,4381.98,4418.95,4489.69,4331.83,2662412.0,2542945982.03,3.63,1.59,69.09,0.28,BK0420,industry,航空机场
2010-03-23,4418.26,4348.56,4436.29,4307.1,1665444.0,1603595010.68,2.92,-1.59,-70.39,0.17,BK0420,industry,航空机场
2010-03-24,4329.29,4301.78,4393.47,4289.42,1576826.0,1454398375.54,2.39,-1.08,-46.78,0.16,BK0420,industry,航空机场
2010-03-25,4279.73,4248.14,4342.73,4195.33,1447175.0,1398406300.48,3.43,-1.25,-53.64,0.15,BK0420,industry,航空机场
2010-03-26,4231.76,4356.32,4372.25,4219.37,1694068.0,1662101231.81,3.6,2.55,108.18,0.18,BK0420,industry,航空机场
2010-03-29,4365.46,4419.95,4487.04,4336.79,2076754.0,2017397621.13,3.45,1.46,63.63,0.22,BK0420,industry,航空机场
2010-03-30,4413.92,4392.95,4444.83,4351.75,1370380.0,1412102490.29,2.11,-0.61,-27.0,0.14,BK0420,industry,航空机场
2010-03-31,4389.94,4381.49,4437.62,4333.59,1369111.0,1433945511.07,2.37,-0.26,-11.46,0.14,BK0420,industry,航空机场
2010-04-01,4383.07,4410.11,4481.81,4357.59,1728188.0,1737535841.7,2.84,0.65,28.62,0.18,BK0420,industry,航空机场
2010-04-02,4411.71,4359.95,4440.67,4324.33,1773898.0,1835380609.06,2.64,-1.14,-50.16,0.19,BK0420,industry,航空机场
2010-04-06,4385.1,4426.9,4440.36,4343.5,1840872.0,1875136630.88,2.22,1.54,66.95,0.19,BK0420,industry,航空机场
2010-04-07,4431.43,4423.03,4467.11,4374.58,1810007.0,1758287102.35,2.09,-0.09,-3.87,0.19,BK0420,industry,航空机场
2010-04-08,4435.26,4609.69,4652.78,4413.33,3312231.0,3233820898.67,5.41,4.22,186.66,0.35,BK0420,industry,航空机场
2010-04-09,4605.35,4712.97,4749.08,4578.37,2921230.0,3162572116.3,3.7,2.24,103.28,0.3,BK0420,industry,航空机场
2010-04-12,4715.7,4965.0,5058.61,4700.68,3915930.0,4269325757.77,7.59,5.35,252.03,0.41,BK0420,industry,航空机场
2010-04-13,4972.7,4869.44,5004.83,4687.7,3988622.0,4202919184.38,6.39,-1.92,-95.56,0.42,BK0420,industry,航空机场
2010-04-14,4833.76,4919.11,4988.17,4741.22,2554532.0,2697553335.71,5.07,1.02,49.67,0.27,BK0420,industry,航空机场
2010-04-15,4917.49,4850.9,4940.98,4782.53,1990373.0,2123574798.18,3.22,-1.39,-68.21,0.21,BK0420,industry,航空机场
2010-04-16,4818.95,4905.22,4972.72,4790.83,1909270.0,2003492214.12,3.75,1.12,54.32,0.2,BK0420,industry,航空机场
2010-04-19,4829.42,4567.31,4852.19,4506.62,2986046.0,3160435828.38,7.04,-6.89,-337.91,0.31,BK0420,industry,航空机场
2010-04-20,4566.14,4689.1,4721.64,4429.35,2506113.0,2509252635.14,6.4,2.67,121.79,0.26,BK0420,industry,航空机场
2010-04-21,4691.75,4835.84,4880.0,4649.02,2528705.0,2648348113.86,4.93,3.13,146.74,0.26,BK0420,industry,航空机场
2010-04-22,4832.37,4841.47,4909.88,4760.61,2438217.0,2629862315.6,3.09,0.12,5.63,0.25,BK0420,industry,航空机场
2010-04-23,4838.11,4775.98,4905.11,4719.19,2265147.0,2371950434.83,3.84,-1.35,-65.49,0.24,BK0420,industry,航空机场
2010-04-26,4780.76,4747.99,4875.77,4712.94,2015743.0,2166785934.7,3.41,-0.59,-27.99,0.21,BK0420,industry,航空机场
2010-04-27,4718.73,4644.58,4743.96,4377.34,2483203.0,2605856035.19,7.72,-2.18,-103.41,0.26,BK0420,industry,航空机场
2010-04-28,4493.95,4560.86,4648.85,4419.86,2160627.0,2113152075.52,4.93,-1.8,-83.72,0.23,BK0420,industry,航空机场
2010-04-29,4542.81,4461.32,4591.92,4427.03,1466330.0,1467758410.66,3.62,-2.18,-99.54,0.15,BK0420,industry,航空机场
2010-04-30,4353.11,4308.36,4387.15,4169.35,1317976.0,1385479973.79,4.88,-3.43,-152.96,0.14,BK0420,industry,航空机场
2010-05-04,4214.22,4314.27,4417.6,4163.94,1574916.0,1547291988.9,5.89,0.14,5.91,0.16,BK0420,industry,航空机场
2010-05-05,4272.72,4511.18,4601.51,4196.28,3407841.0,3375541060.31,9.39,4.56,196.91,0.36,BK0420,industry,航空机场
2010-05-06,4423.01,4295.29,4481.03,4249.5,2412079.0,2400606528.19,5.13,-4.79,-215.89,0.25,BK0420,industry,航空机场
2010-05-07,4165.77,4105.29,4267.09,4070.62,2131981.0,1984100004.25,4.57,-4.42,-190.0,0.22,BK0420,industry,航空机场
2010-05-10,4056.31,3788.6,4166.06,3770.23,2433869.0,2113126899.91,9.64,-7.71,-316.69,0.25,BK0420,industry,航空机场
2010-05-11,3855.51,3576.37,3884.86,3489.71,3929599.0,3100282901.64,10.43,-5.6,-212.23,0.41,BK0420,industry,航空机场
2010-05-12,3531.64,3616.42,3669.5,3473.0,2542217.0,2019179852.08,5.49,1.12,40.05,0.27,BK0420,industry,航空机场
2010-05-13,3621.59,3752.22,3775.42,3586.8,2385548.0,1996435695.57,5.22,3.76,135.8,0.25,BK0420,industry,航空机场
2010-05-14,3745.35,3695.16,3814.69,3645.46,2279448.0,1933866666.47,4.51,-1.52,-57.06,0.24,BK0420,industry,航空机场
2010-05-17,3615.91,3427.89,3643.36,3404.37,2218205.0,1757119085.6,6.47,-7.23,-267.27,0.23,BK0420,industry,航空机场
2010-05-18,3392.32,3488.84,3542.69,3348.99,1873380.0,1470972531.39,5.65,1.78,60.95,0.2,BK0420,industry,航空机场
2010-05-19,3472.6,3517.02,3606.31,3414.63,1778343.0,1389943601.7,5.49,0.81,28.18,0.19,BK0420,industry,航空机场
2010-05-20,3492.55,3418.24,3595.38,3399.96,1660835.0,1275352667.28,5.56,-2.81,-98.78,0.17,BK0420,industry,航空机场
2010-05-21,3320.75,3465.61,3487.32,3252.75,1946500.0,1530894487.66,6.86,1.39,47.37,0.2,BK0420,industry,航空机场
2010-05-24,3481.44,3702.6,3753.14,3474.89,2684797.0,2190088065.04,8.03,6.84,236.99,0.28,BK0420,industry,航空机场
2010-05-25,3669.18,3610.41,3699.46,3571.95,1919807.0,1565033301.82,3.44,-2.49,-92.19,0.2,BK0420,industry,航空机场
