日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2015-12-09,998.66,996.95,1008.44,989.18,1901072.0,2564598512.0,1.93,-0.31,-3.05,0.54,BK0729,industry,船舶制造
2015-12-10,994.54,968.84,1002.38,960.72,3488703.0,4998919168.0,4.18,-2.82,-28.11,0.99,BK0729,industry,船舶制造
2015-12-11,967.09,962.16,980.67,959.51,2727791.0,3765247360.0,2.18,-0.69,-6.68,0.77,BK0729,industry,船舶制造
2015-12-14,963.36,1005.92,1009.37,949.56,3669977.0,4585337856.0,6.22,4.55,43.76,1.04,BK0729,industry,船舶制造
2015-12-15,996.84,1004.28,1028.06,991.74,2943159.0,3778171808.0,3.61,-0.16,-1.64,0.84,BK0729,industry,船舶制造
2015-12-16,1004.43,991.66,1010.73,987.7,1846849.0,2610534064.0,2.29,-1.26,-12.62,0.52,BK0729,industry,船舶制造
2015-12-17,994.97,1006.71,1010.16,994.97,2506898.0,3545630464.0,1.53,1.52,15.05,0.71,BK0729,industry,船舶制造
2015-12-18,1003.36,1001.79,1012.77,997.65,2158554.0,3163401088.0,1.5,-0.49,-4.92,0.61,BK0729,industry,船舶制造
2015-12-21,1001.53,1022.56,1034.22,998.24,3473185.0,4712141312.0,3.59,2.07,20.77,0.99,BK0729,industry,船舶制造
2015-12-22,1018.41,1015.9,1021.4,1004.75,2170076.0,3219724608.0,1.63,-0.65,-6.66,0.62,BK0729,industry,船舶制造
2015-12-23,1017.18,1001.93,1017.76,998.98,2194377.0,3102777808.0,1.85,-1.38,-13.97,0.62,BK0729,industry,船舶制造
2015-12-24,999.75,985.59,1003.87,977.18,1884444.0,2637032144.0,2.66,-1.63,-16.34,0.54,BK0729,industry,船舶制造
2015-12-25,987.07,996.14,1005.04,975.35,2400402.0,3404454496.0,3.01,1.07,10.55,0.68,BK0729,industry,船舶制造
2015-12-28,995.98,964.43,996.14,963.71,2203226.0,3073380080.0,3.26,-3.18,-31.71,0.63,BK0729,industry,船舶制造
2015-12-29,960.98,968.6,969.46,955.68,1415421.0,1964865344.0,1.43,0.43,4.17,0.4,BK0729,industry,船舶制造
