日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2015-12-09,993.8,991.01,1003.1,986.8,4749451.0,10601615616.0,1.63,-0.9,-8.99,1.24,BK0735,industry,计算机设备
2015-12-10,989.74,993.83,1004.05,988.86,4837958.0,10437091072.0,1.53,0.28,2.82,1.27,BK0735,industry,计算机设备
2015-12-11,991.98,986.79,996.83,983.66,4199260.0,9216634880.0,1.33,-0.71,-7.04,1.1,BK0735,industry,计算机设备
2015-12-14,976.54,1001.7,1001.7,973.57,4010204.0,8569552640.0,2.85,1.51,14.91,1.05,BK0735,industry,计算机设备
2015-12-15,1006.25,1022.32,1024.8,1006.2,5242268.0,10980159488.0,1.86,2.06,20.62,1.37,BK0735,industry,计算机设备
2015-12-16,1030.83,1037.32,1039.54,1029.35,6315323.0,12948218112.0,1.0,1.47,15.0,1.65,BK0735,industry,计算机设备
2015-12-17,1046.53,1068.68,1068.89,1045.52,8008968.0,17327339520.0,2.25,3.02,31.36,2.1,BK0735,industry,计算机设备
2015-12-18,1070.83,1061.36,1073.71,1057.82,6483206.0,14414071808.0,1.49,-0.68,-7.32,1.7,BK0735,industry,计算机设备
2015-12-21,1062.18,1075.93,1078.5,1059.69,5938520.0,12794413056.0,1.77,1.37,14.57,1.55,BK0735,industry,计算机设备
2015-12-22,1083.39,1092.23,1092.83,1075.67,5695021.0,12891882496.0,1.59,1.51,16.3,1.49,BK0735,industry,计算机设备
2015-12-23,1097.22,1077.04,1098.48,1075.79,6773227.0,15663112448.0,2.08,-1.39,-15.19,1.77,BK0735,industry,计算机设备
2015-12-24,1073.45,1078.26,1080.98,1058.86,6377068.0,14334464768.0,2.05,0.11,1.22,1.67,BK0735,industry,计算机设备
2015-12-25,1083.96,1093.48,1096.12,1080.85,5704091.0,12409467904.0,1.42,1.41,15.22,1.49,BK0735,industry,计算机设备
2015-12-28,1103.94,1080.03,1112.66,1079.73,7216033.0,16406254592.0,3.01,-1.23,-13.45,1.89,BK0735,industry,计算机设备
2015-12-29,1080.97,1090.16,1090.16,1071.36,6426560.0,16037613568.0,1.74,0.94,10.13,1.68,BK0735,industry,计算机设备
2015-12-30,1093.15,1109.7,1110.26,1090.5,6734512.0,17064284160.0,1.81,1.79,19.54,1.76,BK0735,industry,计算机设备
2015-12-31,1109.28,1086.75,1110.45,1086.59,5709188.0,14385170432.0,2.15,-2.07,-22.95,1.49,BK0735,industry,计算机设备
2016-01-04,1089.02,995.56,1089.43,994.71,4984486.0,12151875584.0,8.72,-8.39,-91.19,1.3,BK0735,industry,计算机设备
2016-01-05,944.7,971.71,994.91,941.41,7084459.0,16205373952.0,5.37,-2.4,-23.85,1.85,BK0735,industry,计算机设备
