日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2015-12-09,997.9,1006.56,1019.42,996.21,2270069.0,2576874736.0,2.32,0.66,6.56,1.17,BK0732,industry,贵金属
2015-12-10,998.84,994.3,1004.58,990.14,1972077.0,1925842656.0,1.43,-1.22,-12.26,1.01,BK0732,industry,贵金属
2015-12-11,986.7,1004.2,1014.52,979.74,2938191.0,3067448112.0,3.5,1.0,9.9,1.51,BK0732,industry,贵金属
2015-12-14,996.05,1065.51,1080.42,994.14,6720277.0,5889489664.0,8.59,6.11,61.31,3.45,BK0732,industry,贵金属
2015-12-15,1045.98,1045.39,1054.89,1039.13,4237695.0,4730545152.0,1.48,-1.89,-20.12,2.18,BK0732,industry,贵金属
2015-12-16,1048.18,1053.99,1069.88,1044.05,3709058.0,4150245280.0,2.47,0.82,8.6,1.9,BK0732,industry,贵金属
2015-12-17,1060.95,1058.22,1064.99,1046.69,4286112.0,4829701632.0,1.74,0.4,4.23,2.2,BK0732,industry,贵金属
2015-12-18,1047.34,1044.36,1050.26,1036.34,3511265.0,3807910240.0,1.32,-1.31,-13.86,1.8,BK0732,industry,贵金属
2015-12-21,1045.91,1058.41,1060.35,1044.36,3455627.0,3362597920.0,1.53,1.35,14.05,1.77,BK0732,industry,贵金属
2015-12-22,1061.26,1063.63,1070.54,1057.19,3266787.0,3375377648.0,1.26,0.49,5.22,1.68,BK0732,industry,贵金属
2015-12-23,1062.5,1051.67,1062.63,1049.35,3336279.0,3614576816.0,1.25,-1.12,-11.96,1.71,BK0732,industry,贵金属
2015-12-24,1050.61,1050.07,1055.33,1040.74,2343507.0,2616085840.0,1.39,-0.15,-1.6,1.2,BK0732,industry,贵金属
2015-12-25,1054.4,1052.63,1056.69,1046.56,1968289.0,2357428464.0,0.96,0.24,2.56,1.01,BK0732,industry,贵金属
2015-12-28,1053.83,1031.84,1054.82,1031.84,2785556.0,3018776128.0,2.18,-1.98,-20.79,1.43,BK0732,industry,贵金属
2015-12-29,1028.17,1048.0,1048.19,1026.37,2288544.0,2513677984.0,2.11,1.57,16.16,1.18,BK0732,industry,贵金属
2015-12-30,1047.23,1049.89,1050.69,1041.75,2102663.0,2419703328.0,0.85,0.18,1.89,1.08,BK0732,industry,贵金属
2015-12-31,1045.74,1035.04,1048.4,1033.22,1805676.0,1984355712.0,1.45,-1.41,-14.85,0.93,BK0732,industry,贵金属
2016-01-04,1033.87,970.28,1034.26,970.21,2172881.0,2296801248.0,6.19,-6.26,-64.76,1.12,BK0732,industry,贵金属
2016-01-05,954.12,994.07,1010.39,954.12,3733179.0,3621261440.0,5.8,2.45,23.79,1.92,BK0732,industry,贵金属
2016-01-06,993.58,1045.65,1051.51,988.69,5266373.0,5349300480.0,6.32,5.19,51.58,2.7,BK0732,industry,贵金属
2016-01-07,1041.51,970.04,1048.59,968.58,1857352.0,1893420480.0,7.65,-7.23,-75.61,0.95,BK0732,industry,贵金属
2016-01-08,1017.47,1035.41,1041.77,979.87,6731848.0,6919435520.0,6.38,6.74,65.37,3.46,BK0732,industry,贵金属
2016-01-11,1017.76,1003.69,1054.38,1001.71,6473385.0,6940838144.0,5.09,-3.06,-31.72,3.32,BK0732,industry,贵金属
2016-01-12,982.67,960.48,995.61,944.56,4960533.0,4882480128.0,5.09,-4.31,-43.21,2.55,BK0732,industry,贵金属
2016-01-13,954.72,935.96,964.82,932.71,4023886.0,4065493120.0,3.34,-2.55,-24.52,2.07,BK0732,industry,贵金属
2016-01-14,915.47,943.82,946.4,911.28,3554979.0,3279174000.0,3.75,0.84,7.86,1.83,BK0732,industry,贵金属
2016-01-15,931.03,897.91,932.22,890.75,3559993.0,2998556848.0,4.39,-4.86,-45.91,1.83,BK0732,industry,贵金属
2016-01-18,884.74,898.92,907.76,877.23,2327069.0,2047983616.0,3.4,0.11,1.01,1.2,BK0732,industry,贵金属
2016-01-19,894.84,921.89,921.89,888.37,2608385.0,2298053856.0,3.73,2.56,22.97,1.34,BK0732,industry,贵金属
2016-01-20,916.11,929.51,947.84,907.6,3324087.0,2931116240.0,4.36,0.83,7.62,1.71,BK0732,industry,贵金属
2016-01-21,925.42,904.17,942.45,904.04,3177545.0,3074051952.0,4.13,-2.73,-25.34,1.63,BK0732,industry,贵金属
2016-01-22,902.94,905.47,910.69,884.74,2255558.0,1996993952.0,2.87,0.14,1.3,1.16,BK0732,industry,贵金属
2016-01-25,908.33,910.19,916.1,900.3,1817002.0,1664976592.0,1.74,0.52,4.72,0.93,BK0732,industry,贵金属
2016-01-26,911.84,868.45,915.75,853.07,3265784.0,2976893968.0,6.89,-4.59,-41.74,1.68,BK0732,industry,贵金属
2016-01-27,868.4,845.72,874.92,817.29,3032146.0,2501277552.0,6.64,-2.62,-22.73,1.56,BK0732,industry,贵金属
2016-01-28,839.53,795.76,846.3,793.61,2288502.0,1989865072.0,6.23,-5.91,-49.96,1.18,BK0732,industry,贵金属
2016-01-29,792.97,818.18,826.37,790.44,1965360.0,1565737968.0,4.52,2.82,22.42,1.01,BK0732,industry,贵金属
2016-02-01,819.35,819.91,837.35,805.36,1966952.0,1613384400.0,3.91,0.21,1.73,1.01,BK0732,industry,贵金属
2016-02-02,824.07,836.1,842.2,822.74,1696639.0,1407453872.0,2.37,1.97,16.19,0.87,BK0732,industry,贵金属
2016-02-03,831.41,843.95,847.74,824.95,1746907.0,1395099328.0,2.73,0.94,7.85,0.9,BK0732,industry,贵金属
2016-02-04,858.25,867.71,882.77,858.25,2731762.0,2231475888.0,2.91,2.82,23.76,1.4,BK0732,industry,贵金属
2016-02-05,883.29,898.07,916.34,880.46,3993706.0,3743686880.0,4.14,3.5,30.36,2.05,BK0732,industry,贵金属
2016-02-15,972.91,982.18,982.51,952.89,5897098.0,4377143552.0,3.3,9.37,84.11,3.03,BK0732,industry,贵金属
2016-02-16,973.24,998.73,1013.83,955.36,8253979.0,7849252608.0,5.95,1.69,16.55,4.24,BK0732,industry,贵金属
2016-02-17,972.52,988.49,990.5,967.84,5304034.0,5315286016.0,2.27,-1.03,-10.24,2.72,BK0732,industry,贵金属
2016-02-18,983.2,968.23,985.92,965.36,4002498.0,4140620656.0,2.08,-2.05,-20.26,2.06,BK0732,industry,贵金属
2016-02-19,981.85,951.73,985.93,944.88,4347470.0,4113542432.0,4.24,-1.7,-16.5,2.23,BK0732,industry,贵金属
2016-02-22,952.98,963.55,969.5,950.9,3342534.0,3351348816.0,1.95,1.24,11.82,1.72,BK0732,industry,贵金属
2016-02-23,956.89,982.21,983.43,949.22,5380593.0,5674268672.0,3.55,1.94,18.66,2.76,BK0732,industry,贵金属
2016-02-24,974.99,1005.2,1034.83,964.04,7981973.0,7958948608.0,7.21,2.34,22.99,4.1,BK0732,industry,贵金属
2016-02-25,1004.19,941.46,1021.43,933.08,6938765.0,7101172224.0,8.79,-6.34,-63.74,3.56,BK0732,industry,贵金属
2016-02-26,946.8,958.82,960.42,924.78,3924545.0,4051391296.0,3.79,1.84,17.36,2.02,BK0732,industry,贵金属
2016-02-29,941.21,940.94,957.69,910.41,4180531.0,4493053696.0,4.93,-1.86,-17.88,2.15,BK0732,industry,贵金属
2016-03-01,947.9,993.32,1001.36,941.89,7121651.0,6919935488.0,6.32,5.57,52.38,3.66,BK0732,industry,贵金属
2016-03-02,970.12,1016.51,1019.34,966.82,7189768.0,6681144576.0,5.29,2.33,23.19,3.69,BK0732,industry,贵金属
2016-03-03,1014.95,1048.83,1049.18,998.69,9318399.0,8442140160.0,4.97,3.18,32.32,4.79,BK0732,industry,贵金属
2016-03-04,1071.99,1054.79,1089.21,1042.65,11395790.0,10730367488.0,4.44,0.57,5.96,5.85,BK0732,industry,贵金属
2016-03-07,1063.87,1095.87,1105.77,1044.18,9568751.0,9782515712.0,5.84,3.89,41.08,4.91,BK0732,industry,贵金属
2016-03-08,1092.47,1071.81,1092.47,1049.92,9452644.0,10424615936.0,3.88,-2.2,-24.06,4.85,BK0732,industry,贵金属
2016-03-09,1019.94,1019.59,1033.8,1006.89,6270184.0,6555037184.0,2.51,-4.87,-52.22,3.22,BK0732,industry,贵金属
2016-03-10,1010.31,1005.92,1034.27,997.57,5210815.0,6152124160.0,3.6,-1.34,-13.67,2.68,BK0732,industry,贵金属
2016-03-11,1035.24,1017.26,1039.0,1013.41,5362674.0,6275211520.0,2.54,1.13,11.34,2.75,BK0732,industry,贵金属
2016-03-14,995.75,1038.05,1041.81,995.57,6136572.0,6501654528.0,4.55,2.04,20.79,3.15,BK0732,industry,贵金属
2016-03-15,1016.5,1005.34,1023.71,992.22,5326695.0,6185081600.0,3.03,-3.15,-32.71,2.74,BK0732,industry,贵金属
2016-03-16,999.94,1014.65,1021.54,994.61,4873289.0,5349750528.0,2.68,0.93,9.31,2.5,BK0732,industry,贵金属
2016-03-17,1030.56,1022.59,1032.19,1011.4,5051197.0,6034089472.0,2.05,0.78,7.94,2.59,BK0732,industry,贵金属
2016-03-18,1030.99,1034.75,1044.11,1025.41,6222918.0,7082962432.0,1.83,1.19,12.16,3.2,BK0732,industry,贵金属
2016-03-21,1030.31,1041.77,1041.9,1023.62,6713230.0,7397216768.0,1.77,0.68,7.02,3.45,BK0732,industry,贵金属
2016-03-22,1029.69,1048.56,1051.16,1022.25,6990459.0,8884239104.0,2.78,0.65,6.79,3.59,BK0732,industry,贵金属
2016-03-23,1036.71,1029.89,1041.65,1020.78,5282614.0,6807129600.0,1.99,-1.78,-18.67,2.71,BK0732,industry,贵金属
2016-03-24,1008.16,997.71,1011.82,996.7,4807658.0,5734633728.0,1.47,-3.12,-32.18,2.47,BK0732,industry,贵金属
2016-03-25,993.91,996.34,1001.22,986.75,3144319.0,3950783232.0,1.45,-0.14,-1.37,1.61,BK0732,industry,贵金属
2016-03-28,995.36,1001.88,1008.19,993.26,3192922.0,4127212672.0,1.5,0.56,5.54,1.64,BK0732,industry,贵金属
2016-03-29,999.16,995.52,1004.1,990.89,2975796.0,3883458048.0,1.32,-0.63,-6.36,1.53,BK0732,industry,贵金属
2016-03-30,1012.88,1014.02,1015.94,1001.92,3482584.0,4523758080.0,1.41,1.86,18.5,1.79,BK0732,industry,贵金属
2016-03-31,1007.42,1007.87,1013.74,1004.7,3167958.0,4151757984.0,0.89,-0.61,-6.15,1.63,BK0732,industry,贵金属
2016-04-01,1007.34,1012.87,1015.12,1000.33,3088948.0,4078649328.0,1.47,0.5,5.0,1.59,BK0732,industry,贵金属
2016-04-05,1005.97,1017.41,1019.68,997.76,3384512.0,4081950272.0,2.16,0.45,4.54,1.74,BK0732,industry,贵金属
2016-04-06,1017.37,1012.11,1025.67,1007.88,3246293.0,4319023872.0,1.75,-0.52,-5.3,1.67,BK0732,industry,贵金属
2016-04-07,1012.48,1005.76,1014.54,1003.35,2779543.0,3552963520.0,1.11,-0.63,-6.35,1.43,BK0732,industry,贵金属
2016-04-08,1010.13,1034.89,1038.95,1009.34,6957101.0,8933335296.0,2.94,2.9,29.13,3.57,BK0732,industry,贵金属
2016-04-11,1040.77,1056.63,1071.44,1031.05,7156893.0,9160503808.0,3.9,2.1,21.74,3.68,BK0732,industry,贵金属
2016-04-12,1059.21,1061.28,1081.2,1051.15,6825052.0,9069588736.0,2.84,0.44,4.65,3.51,BK0732,industry,贵金属
2016-04-13,1061.3,1073.12,1081.55,1057.56,7131658.0,8296191744.0,2.26,1.12,11.84,3.66,BK0732,industry,贵金属
2016-04-14,1061.24,1055.91,1063.7,1048.94,4399857.0,5370575872.0,1.38,-1.6,-17.21,2.26,BK0732,industry,贵金属
