日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2015-12-09,993.46,999.07,1010.22,991.46,13023975.0,47829469952.0,1.88,-0.09,-0.93,1.42,BK0737,industry,软件开发
2015-12-10,998.69,1014.49,1025.8,998.55,15117896.0,55824422656.0,2.73,1.54,15.42,1.64,BK0737,industry,软件开发
2015-12-11,1009.67,1000.85,1015.95,1000.67,12747176.0,47008826368.0,1.51,-1.34,-13.64,1.39,BK0737,industry,软件开发
2015-12-14,990.38,1014.7,1014.7,982.72,10658615.0,37939420416.0,3.2,1.38,13.85,1.16,BK0737,industry,软件开发
2015-12-15,1016.73,1036.67,1042.96,1016.62,13076934.0,45694839296.0,2.6,2.17,21.97,1.42,BK0737,industry,软件开发
2015-12-16,1043.92,1042.18,1050.8,1036.67,13263030.0,47341686528.0,1.36,0.53,5.51,1.44,BK0737,industry,软件开发
2015-12-17,1052.85,1076.78,1076.78,1052.85,16952204.0,58474685184.0,2.3,3.32,34.6,1.84,BK0737,industry,软件开发
2015-12-18,1081.94,1068.16,1085.42,1062.39,14978772.0,52132219136.0,2.14,-0.8,-8.62,1.63,BK0737,industry,软件开发
2015-12-21,1066.46,1068.86,1070.99,1056.09,13334330.0,45795516672.0,1.39,0.07,0.7,1.45,BK0737,industry,软件开发
2015-12-22,1073.55,1089.48,1089.69,1072.45,14114662.0,49575005696.0,1.61,1.93,20.62,1.54,BK0737,industry,软件开发
2015-12-23,1091.89,1068.33,1092.33,1066.03,15184728.0,52847213568.0,2.41,-1.94,-21.15,1.65,BK0737,industry,软件开发
2015-12-24,1063.8,1069.46,1073.21,1045.05,12673184.0,42762784000.0,2.64,0.11,1.13,1.38,BK0737,industry,软件开发
2015-12-25,1074.18,1071.89,1080.12,1064.75,10129211.0,36042304512.0,1.44,0.23,2.43,1.1,BK0737,industry,软件开发
2015-12-28,1078.72,1062.73,1097.46,1062.73,14609802.0,53214400000.0,3.24,-0.85,-9.16,1.59,BK0737,industry,软件开发
2015-12-29,1062.07,1074.11,1074.11,1051.23,12121955.0,43101522688.0,2.15,1.07,11.38,1.32,BK0737,industry,软件开发
2015-12-30,1075.59,1094.39,1097.49,1073.82,14971785.0,52443088128.0,2.2,1.89,20.28,1.63,BK0737,industry,软件开发
2015-12-31,1092.82,1064.8,1096.81,1064.69,13112526.0,47624481536.0,2.93,-2.7,-29.59,1.43,BK0737,industry,软件开发
2016-01-04,1063.04,975.88,1063.35,975.62,10353297.0,33757575168.0,8.24,-8.35,-88.92,1.13,BK0737,industry,软件开发
2016-01-05,912.49,936.98,964.8,905.53,15539234.0,46951119872.0,6.07,-3.99,-38.9,1.69,BK0737,industry,软件开发
2016-01-06,943.79,956.05,956.42,922.72,12737757.0,40484571392.0,3.6,2.04,19.07,1.39,BK0737,industry,软件开发
