日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,6321.32,6269.78,6396.48,6188.18,5451751.0,7247526773.08,3.31,-0.48,-30.53,0.89,BK0448,industry,通信设备
2010-01-05,6282.3,6429.77,6480.86,6195.45,6952483.0,8873543053.74,4.55,2.55,159.99,1.14,BK0448,industry,通信设备
2010-01-06,6405.36,6332.12,6489.12,6291.36,4754475.0,6370120849.45,3.08,-1.52,-97.65,0.78,BK0448,industry,通信设备
2010-01-07,6320.61,6138.21,6364.47,6107.42,4732238.0,6294762657.08,4.06,-3.06,-193.91,0.77,BK0448,industry,通信设备
2010-01-08,6117.61,6226.13,6255.88,6073.49,3732715.0,5534710729.49,2.97,1.43,87.92,0.61,BK0448,industry,通信设备
2010-01-11,6443.75,6298.68,6526.92,6206.2,6909469.0,8724732433.48,5.15,1.17,72.55,1.13,BK0448,industry,通信设备
2010-01-12,6289.88,6579.26,6644.53,6243.92,9558099.0,11771177144.17,6.36,4.45,280.58,1.56,BK0448,industry,通信设备
2010-01-13,6441.95,6650.45,6826.2,6412.4,9747308.0,12435905855.43,6.29,1.08,71.19,1.59,BK0448,industry,通信设备
2010-01-14,6711.55,6776.93,6889.4,6619.15,8786814.0,12571849078.84,4.06,1.9,126.48,1.44,BK0448,industry,通信设备
2010-01-15,6783.82,6743.66,6876.53,6671.57,6351398.0,9244100814.69,3.02,-0.49,-33.27,1.04,BK0448,industry,通信设备
2010-01-18,6725.83,6804.56,6872.87,6590.78,5815212.0,8184226597.18,4.18,0.9,60.9,0.95,BK0448,industry,通信设备
2010-01-19,6784.26,6699.17,6843.92,6623.5,5142163.0,7290869969.61,3.24,-1.55,-105.39,0.84,BK0448,industry,通信设备
2010-01-20,6695.96,6393.51,6729.51,6355.43,6680848.0,10138960648.21,5.58,-4.56,-305.66,1.09,BK0448,industry,通信设备
2010-01-21,6391.06,6446.52,6548.92,6293.0,4479099.0,6193186222.35,4.0,0.83,53.01,0.73,BK0448,industry,通信设备
2010-01-22,6362.53,6360.76,6504.32,6217.99,5024994.0,6784946655.77,4.44,-1.33,-85.76,0.82,BK0448,industry,通信设备
2010-01-25,6313.61,6198.71,6423.58,6166.61,3604616.0,4873593081.39,4.04,-2.55,-162.05,0.59,BK0448,industry,通信设备
2010-01-26,6211.23,6072.16,6263.8,6011.52,3635810.0,5001890269.83,4.07,-2.04,-126.55,0.59,BK0448,industry,通信设备
2010-01-27,6056.51,6077.47,6198.76,5995.07,3671305.0,5165815711.37,3.35,0.09,5.31,0.6,BK0448,industry,通信设备
2010-01-28,6087.71,6129.24,6179.81,6043.46,2744704.0,3659722396.7,2.24,0.85,51.77,0.45,BK0448,industry,通信设备
2010-01-29,6113.71,6167.35,6258.87,6058.98,3330301.0,4695746377.94,3.26,0.62,38.11,0.54,BK0448,industry,通信设备
2010-02-01,6123.0,5947.79,6182.94,5883.83,3466450.0,4628574267.01,4.85,-3.56,-219.56,0.57,BK0448,industry,通信设备
2010-02-02,5983.65,5918.37,6069.35,5879.19,3092880.0,4182573577.79,3.2,-0.49,-29.42,0.51,BK0448,industry,通信设备
2010-02-03,5927.33,5972.98,6032.55,5715.47,3822160.0,4946139878.78,5.36,0.92,54.61,0.62,BK0448,industry,通信设备
2010-02-04,5935.23,5932.65,6000.44,5847.59,3414490.0,4424156465.79,2.56,-0.68,-40.33,0.56,BK0448,industry,通信设备
2010-02-05,5814.83,5792.08,5873.66,5729.13,2965866.0,3614961167.54,2.44,-2.37,-140.57,0.48,BK0448,industry,通信设备
2010-02-08,5793.0,5729.58,5841.4,5689.65,2171534.0,2593351307.48,2.62,-1.08,-62.5,0.35,BK0448,industry,通信设备
2010-02-09,5725.46,5734.96,5796.36,5693.05,1959933.0,2342317557.11,1.8,0.09,5.38,0.32,BK0448,industry,通信设备
2010-02-10,5775.85,5833.02,5853.0,5749.33,2102679.0,2880196986.75,1.81,1.71,98.06,0.34,BK0448,industry,通信设备
2010-02-11,5833.87,5856.63,5912.26,5797.46,2029823.0,2933274141.17,1.97,0.4,23.61,0.33,BK0448,industry,通信设备
2010-02-12,5881.16,5925.34,5972.78,5841.87,2160665.0,3055051766.16,2.24,1.17,68.71,0.35,BK0448,industry,通信设备
2010-02-22,5924.36,5877.43,5982.34,5830.76,2354996.0,3127503406.99,2.56,-0.81,-47.91,0.38,BK0448,industry,通信设备
2010-02-23,5876.22,5910.16,5944.26,5770.03,2900762.0,3998611139.94,2.96,0.56,32.73,0.47,BK0448,industry,通信设备
2010-02-24,5875.45,6022.66,6051.33,5846.99,3430049.0,4958405327.58,3.46,1.9,112.5,0.56,BK0448,industry,通信设备
2010-02-25,6043.23,6066.12,6108.91,6000.79,3489740.0,4701702105.5,1.8,0.72,43.46,0.57,BK0448,industry,通信设备
2010-02-26,6058.74,6113.63,6171.38,6002.18,3630084.0,4751174702.17,2.79,0.78,47.51,0.59,BK0448,industry,通信设备
2010-03-01,6110.74,6142.85,6209.19,6068.79,3312369.0,4561904793.56,2.3,0.48,29.22,0.54,BK0448,industry,通信设备
2010-03-02,6150.7,6143.55,6218.84,6077.62,3879046.0,5511082462.26,2.3,0.01,0.7,0.63,BK0448,industry,通信设备
2010-03-03,6137.44,6185.68,6214.36,6054.9,3873306.0,5269786593.45,2.6,0.69,42.13,0.63,BK0448,industry,通信设备
2010-03-04,6177.14,5983.79,6255.54,5957.73,4278608.0,5965586475.37,4.81,-3.26,-201.89,0.7,BK0448,industry,通信设备
2010-03-05,5994.05,5982.01,6060.15,5918.1,3251236.0,4400826965.31,2.37,-0.03,-1.78,0.53,BK0448,industry,通信设备
2010-03-08,5995.85,5994.83,6041.34,5940.49,2702202.0,3760953176.77,1.69,0.21,12.82,0.44,BK0448,industry,通信设备
2010-03-09,5987.32,6003.57,6043.18,5902.09,3100419.0,4186966609.82,2.35,0.15,8.74,0.51,BK0448,industry,通信设备
2010-03-10,6014.2,5963.86,6070.48,5926.99,3118318.0,4493484613.94,2.39,-0.66,-39.71,0.51,BK0448,industry,通信设备
2010-03-11,5963.13,5956.79,6021.99,5883.82,2710916.0,3870322432.38,2.32,-0.12,-7.07,0.44,BK0448,industry,通信设备
2010-03-12,5956.99,5855.4,5983.59,5831.32,2576918.0,3687654133.53,2.56,-1.7,-101.39,0.42,BK0448,industry,通信设备
2010-03-15,5852.88,5804.83,5880.7,5750.7,2233996.0,3154252595.58,2.22,-0.86,-50.57,0.37,BK0448,industry,通信设备
2010-03-16,5805.67,5814.79,5853.73,5734.02,1929113.0,2903683844.0,2.06,0.17,9.96,0.32,BK0448,industry,通信设备
2010-03-17,5815.18,5959.7,5977.46,5794.51,3426804.0,4971114495.56,3.15,2.49,144.91,0.56,BK0448,industry,通信设备
2010-03-18,5972.23,5952.0,6041.54,5919.18,3902297.0,5793783909.16,2.05,-0.13,-7.7,0.64,BK0448,industry,通信设备
2010-03-19,5957.17,5964.78,6001.73,5876.86,3464177.0,5023171198.8,2.1,0.21,12.78,0.57,BK0448,industry,通信设备
2010-03-22,5969.94,5974.32,6022.48,5909.16,3783854.0,5457082546.0,1.9,0.16,9.54,0.62,BK0448,industry,通信设备
2010-03-23,5979.72,5913.21,6011.39,5886.88,2910774.0,4370371223.41,2.08,-1.02,-61.11,0.48,BK0448,industry,通信设备
2010-03-24,5908.32,5899.92,5966.91,5861.12,2940312.0,4494570483.67,1.79,-0.22,-13.29,0.48,BK0448,industry,通信设备
2010-03-25,5874.63,5818.55,5909.72,5765.5,3928485.0,5764201238.74,2.44,-1.38,-81.37,0.64,BK0448,industry,通信设备
2010-03-26,5802.5,5850.61,5875.07,5718.25,3547847.0,4945544268.09,2.7,0.55,32.06,0.58,BK0448,industry,通信设备
2010-03-29,5857.89,5917.63,5969.32,5800.97,3900942.0,5365350110.9,2.88,1.15,67.02,0.64,BK0448,industry,通信设备
2010-03-30,5927.66,5918.86,5959.48,5861.82,2837925.0,4525246488.15,1.65,0.02,1.23,0.46,BK0448,industry,通信设备
2010-03-31,5923.42,5911.26,5975.81,5844.82,4184026.0,6891093151.77,2.21,-0.13,-7.6,0.68,BK0448,industry,通信设备
2010-04-01,5906.91,5954.08,5979.31,5876.13,4729695.0,7761773131.31,1.75,0.72,42.82,0.77,BK0448,industry,通信设备
2010-04-02,5960.32,5936.08,5994.38,5869.75,5042261.0,7324112973.65,2.09,-0.3,-18.0,0.82,BK0448,industry,通信设备
2010-04-06,5940.37,5925.94,5981.91,5873.36,4205936.0,6336668775.73,1.83,-0.17,-10.14,0.69,BK0448,industry,通信设备
2010-04-07,5925.2,5931.33,5973.81,5875.02,3995554.0,6165429616.67,1.67,0.09,5.39,0.65,BK0448,industry,通信设备
2010-04-08,5927.62,5887.6,5965.48,5827.6,4802595.0,6791261552.28,2.32,-0.74,-43.73,0.78,BK0448,industry,通信设备
2010-04-09,5906.36,5986.53,6022.03,5894.14,5612657.0,9104314854.16,2.17,1.68,98.93,0.92,BK0448,industry,通信设备
2010-04-12,6004.6,6007.14,6084.36,5920.12,6046676.0,10141693486.87,2.74,0.34,20.61,0.99,BK0448,industry,通信设备
2010-04-13,6009.19,5998.96,6083.52,5862.47,5940963.0,9274739337.37,3.68,-0.14,-8.18,0.97,BK0448,industry,通信设备
