日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,12249.66,12202.41,12432.27,12062.09,6992912.0,10794579585.44,3.03,-0.05,-6.41,0.85,BK0545,industry,通用设备
2010-01-05,12208.72,12246.58,12375.23,11986.48,6648348.0,10164765448.88,3.19,0.36,44.17,0.8,BK0545,industry,通用设备
2010-01-06,12232.82,12288.3,12576.65,12108.4,7979619.0,13129238640.87,3.82,0.34,41.72,0.97,BK0545,industry,通用设备
2010-01-07,12258.91,12003.22,12410.14,11895.66,7137767.0,11311845744.65,4.19,-2.32,-285.08,0.86,BK0545,industry,通用设备
2010-01-08,11962.14,12030.52,12144.48,11746.29,5683914.0,8770360144.36,3.32,0.23,27.3,0.69,BK0545,industry,通用设备
2010-01-11,12154.48,12028.66,12334.2,11840.62,7218842.0,11317673030.54,4.1,-0.02,-1.86,0.87,BK0545,industry,通用设备
2010-01-12,12007.0,12322.72,12399.06,11867.23,8492444.0,13398635525.56,4.42,2.44,294.06,1.03,BK0545,industry,通用设备
2010-01-13,12083.95,12134.28,12398.61,11944.3,8595387.0,13549727648.47,3.69,-1.53,-188.44,1.04,BK0545,industry,通用设备
2010-01-14,12151.94,12424.25,12515.22,12068.58,8314445.0,12652050297.97,3.68,2.39,289.97,1.01,BK0545,industry,通用设备
2010-01-15,12459.18,12631.48,12768.5,12335.03,9063181.0,14907087444.2,3.49,1.67,207.23,1.1,BK0545,industry,通用设备
2010-01-18,12647.42,12812.6,12944.45,12522.26,8550075.0,14196289537.47,3.34,1.43,181.12,1.03,BK0545,industry,通用设备
2010-01-19,12842.35,12723.93,12984.22,12567.31,7903494.0,12981070499.17,3.25,-0.69,-88.67,0.96,BK0545,industry,通用设备
2010-01-20,12754.05,12288.27,12913.88,12181.07,9753976.0,15378482944.0,5.76,-3.42,-435.66,1.18,BK0545,industry,通用设备
2010-01-21,12301.13,12274.6,12489.37,12035.17,7046953.0,10726104974.72,3.7,-0.11,-13.67,0.85,BK0545,industry,通用设备
2010-01-22,12142.88,11921.84,12258.05,11650.7,7068226.0,10813919317.38,4.95,-2.87,-352.76,0.86,BK0545,industry,通用设备
2010-01-25,11841.21,11771.69,12066.55,11672.99,4070087.0,6216484156.05,3.3,-1.26,-150.15,0.49,BK0545,industry,通用设备
2010-01-26,11748.57,11343.97,11907.48,11214.43,5297056.0,8277011872.45,5.89,-3.63,-427.72,0.64,BK0545,industry,通用设备
2010-01-27,11316.71,11244.62,11514.66,11078.29,4046105.0,6327492880.49,3.85,-0.88,-99.35,0.49,BK0545,industry,通用设备
2010-01-28,11225.98,11363.78,11481.19,11129.66,4408252.0,6996420005.09,3.13,1.06,119.16,0.53,BK0545,industry,通用设备
2010-01-29,11303.7,11343.68,11581.13,11167.98,5086601.0,7482092697.05,3.64,-0.18,-20.1,0.62,BK0545,industry,通用设备
2010-02-01,11316.22,11129.48,11458.44,10930.76,5329611.0,7663739208.69,4.65,-1.89,-214.2,0.64,BK0545,industry,通用设备
2010-02-02,11187.41,11074.03,11414.0,10992.01,4621013.0,6778875591.52,3.79,-0.5,-55.45,0.56,BK0545,industry,通用设备
2010-02-03,11094.58,11312.61,11378.83,10724.4,4955008.0,7299542569.68,5.91,2.15,238.58,0.6,BK0545,industry,通用设备
2010-02-04,11248.84,11324.49,11498.11,11112.23,4719566.0,6633448331.84,3.41,0.11,11.88,0.57,BK0545,industry,通用设备
2010-02-05,11093.94,11062.37,11298.99,10870.33,5018508.0,7915333059.29,3.79,-2.31,-262.12,0.61,BK0545,industry,通用设备
2010-02-08,11045.63,11078.47,11233.51,10934.34,3206676.0,4943762442.71,2.7,0.15,16.1,0.39,BK0545,industry,通用设备
2010-02-09,11054.76,11083.14,11230.88,10923.87,3025373.0,4685963437.49,2.77,0.04,4.67,0.37,BK0545,industry,通用设备
2010-02-10,11149.56,11231.98,11305.03,11050.73,2835860.0,4674314277.44,2.29,1.34,148.84,0.34,BK0545,industry,通用设备
2010-02-11,11244.76,11208.16,11370.15,11117.24,2936509.0,4581283584.24,2.25,-0.21,-23.82,0.36,BK0545,industry,通用设备
2010-02-12,11246.76,11336.99,11425.16,11169.49,2821246.0,4297582685.69,2.28,1.15,128.83,0.34,BK0545,industry,通用设备
2010-02-22,11324.45,11322.2,11483.31,11194.08,3431711.0,5023839196.09,2.55,-0.13,-14.79,0.42,BK0545,industry,通用设备
2010-02-23,11315.98,11314.71,11443.99,11068.26,4031089.0,5967814108.14,3.32,-0.07,-7.49,0.49,BK0545,industry,通用设备
2010-02-24,11277.91,11571.29,11622.88,11186.58,5391529.0,8379185201.08,3.86,2.27,256.58,0.65,BK0545,industry,通用设备
2010-02-25,11594.93,11789.81,11895.58,11513.23,6870051.0,10679829819.35,3.3,1.89,218.52,0.83,BK0545,industry,通用设备
2010-02-26,11760.06,11775.78,11925.38,11639.6,5981535.0,9698819641.13,2.42,-0.12,-14.03,0.72,BK0545,industry,通用设备
2010-03-01,11778.91,11919.87,12022.38,11720.58,6598428.0,10141812927.3,2.56,1.22,144.09,0.8,BK0545,industry,通用设备
2010-03-02,11929.14,11924.43,12091.96,11769.44,7012231.0,10680924174.4,2.71,0.04,4.56,0.85,BK0545,industry,通用设备
2010-03-03,11928.07,12079.27,12196.4,11820.4,7598512.0,11651407153.61,3.15,1.3,154.84,0.92,BK0545,industry,通用设备
2010-03-04,12090.48,11679.55,12258.62,11600.26,8270506.0,13168022298.27,5.45,-3.31,-399.72,1.0,BK0545,industry,通用设备
2010-03-05,11691.04,11696.72,11892.59,11525.74,5328829.0,7960793366.09,3.14,0.15,17.17,0.64,BK0545,industry,通用设备
2010-03-08,11725.42,11834.64,11957.26,11652.19,4981534.0,7540497956.4,2.61,1.18,137.92,0.6,BK0545,industry,通用设备
2010-03-09,11837.61,11850.9,11973.51,11648.59,4937857.0,7296981062.15,2.75,0.14,16.26,0.6,BK0545,industry,通用设备
2010-03-10,11861.43,11702.19,11966.64,11590.55,4667738.0,6751064172.12,3.17,-1.25,-148.71,0.56,BK0545,industry,通用设备
