日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,3410.74,3405.54,3456.02,3367.66,2338489.0,2258016925.68,2.6,0.31,10.44,0.77,BK0470,industry,造纸印刷
2010-01-05,3413.79,3426.27,3460.42,3343.34,2613296.0,2527793246.84,3.44,0.61,20.73,0.86,BK0470,industry,造纸印刷
2010-01-06,3442.71,3435.34,3533.5,3405.71,4444830.0,3750572637.52,3.73,0.26,9.07,1.46,BK0470,industry,造纸印刷
2010-01-07,3424.27,3390.21,3488.11,3345.86,4003154.0,3342948586.8,4.14,-1.31,-45.13,1.31,BK0470,industry,造纸印刷
2010-01-08,3368.31,3419.06,3431.84,3329.1,2480779.0,2143154733.81,3.03,0.85,28.85,0.81,BK0470,industry,造纸印刷
2010-01-11,3427.77,3416.24,3484.09,3363.98,2730150.0,2640175753.26,3.51,-0.08,-2.82,0.9,BK0470,industry,造纸印刷
2010-01-12,3417.36,3492.32,3510.8,3377.44,3293101.0,3255454024.94,3.9,2.23,76.08,1.08,BK0470,industry,造纸印刷
2010-01-13,3428.62,3454.76,3521.23,3394.73,2895262.0,2886479732.18,3.62,-1.08,-37.56,0.95,BK0470,industry,造纸印刷
2010-01-14,3458.79,3530.09,3559.49,3437.64,2939915.0,3014071912.81,3.53,2.18,75.33,0.96,BK0470,industry,造纸印刷
2010-01-15,3538.46,3576.56,3635.8,3510.38,3779017.0,3705934512.44,3.55,1.32,46.47,1.24,BK0470,industry,造纸印刷
2010-01-18,3572.49,3612.28,3641.54,3535.52,2908674.0,2966369423.54,2.96,1.0,35.72,0.95,BK0470,industry,造纸印刷
2010-01-19,3613.74,3659.94,3720.41,3552.89,4556315.0,4183527485.07,4.64,1.32,47.66,1.49,BK0470,industry,造纸印刷
2010-01-20,3656.39,3533.84,3697.77,3503.49,4586810.0,4206994787.91,5.31,-3.45,-126.1,1.5,BK0470,industry,造纸印刷
2010-01-21,3529.29,3542.38,3598.62,3478.89,2443721.0,2334947373.39,3.39,0.24,8.54,0.8,BK0470,industry,造纸印刷
2010-01-22,3506.67,3449.33,3539.98,3375.88,2564335.0,2469841189.19,4.63,-2.63,-93.05,0.84,BK0470,industry,造纸印刷
2010-01-25,3429.21,3411.88,3491.52,3378.71,1650704.0,1608877123.99,3.27,-1.09,-37.45,0.54,BK0470,industry,造纸印刷
2010-01-26,3416.67,3265.22,3441.56,3219.46,1989483.0,1814150015.61,6.51,-4.3,-146.66,0.65,BK0470,industry,造纸印刷
2010-01-27,3260.16,3221.72,3304.41,3176.6,1534845.0,1367731408.36,3.91,-1.33,-43.5,0.5,BK0470,industry,造纸印刷
