日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,13683.21,13590.97,13841.03,13450.43,2142062.0,4887242808.05,2.87,-0.2,-26.64,0.7,BK0477,industry,酿酒行业
2010-01-05,13604.94,13676.64,13807.17,13453.17,2109363.0,4672213593.61,2.6,0.63,85.67,0.69,BK0477,industry,酿酒行业
2010-01-06,13667.87,13487.85,13837.64,13398.19,2300864.0,5281667031.17,3.21,-1.38,-188.79,0.75,BK0477,industry,酿酒行业
2010-01-07,13454.39,13184.84,13556.41,12991.59,2840229.0,6585919367.88,4.19,-2.25,-303.01,0.93,BK0477,industry,酿酒行业
2010-01-08,13123.58,13301.68,13359.4,12879.59,2295453.0,4844592653.99,3.64,0.89,116.84,0.75,BK0477,industry,酿酒行业
2010-01-11,13397.7,13258.33,13564.42,13063.22,2349218.0,4671573012.02,3.77,-0.33,-43.35,0.77,BK0477,industry,酿酒行业
2010-01-12,13250.3,13542.8,13635.55,13141.04,2500292.0,4999833601.78,3.73,2.15,284.47,0.82,BK0477,industry,酿酒行业
2010-01-13,13324.35,13496.09,13781.48,13198.62,2976668.0,6091519880.27,4.3,-0.34,-46.71,0.97,BK0477,industry,酿酒行业
2010-01-14,13518.55,14009.28,14131.57,13445.75,3567466.0,8032796358.09,5.08,3.8,513.19,1.16,BK0477,industry,酿酒行业
2010-01-15,14082.38,14007.88,14268.99,13845.52,2506572.0,5912940484.9,3.02,-0.01,-1.4,0.82,BK0477,industry,酿酒行业
2010-01-18,14040.44,14279.7,14395.46,13899.02,2624123.0,5568351735.64,3.54,1.94,271.82,0.86,BK0477,industry,酿酒行业
2010-01-19,14309.23,14161.54,14431.06,14035.76,1990328.0,4248506253.34,2.77,-0.83,-118.16,0.65,BK0477,industry,酿酒行业
2010-01-20,14168.32,13720.42,14292.69,13604.42,2415343.0,5199205113.01,4.86,-3.11,-441.12,0.79,BK0477,industry,酿酒行业
2010-01-21,13684.74,13728.69,13911.85,13432.72,1935560.0,4162610890.28,3.49,0.06,8.27,0.63,BK0477,industry,酿酒行业
2010-01-22,13602.9,13364.97,13704.33,13115.17,2054747.0,4240431811.45,4.29,-2.65,-363.72,0.67,BK0477,industry,酿酒行业
2010-01-25,13317.01,13341.75,13642.93,13120.96,1385426.0,2979411410.96,3.91,-0.17,-23.22,0.45,BK0477,industry,酿酒行业
2010-01-26,13375.31,13029.54,13515.18,12839.77,1611003.0,3624141680.41,5.06,-2.34,-312.21,0.53,BK0477,industry,酿酒行业
2010-01-27,13041.37,12793.07,13193.16,12647.02,1366665.0,3021238628.31,4.19,-1.81,-236.47,0.45,BK0477,industry,酿酒行业
2010-01-28,12770.43,13003.85,13116.33,12600.51,1285493.0,3116732562.93,4.03,1.65,210.78,0.42,BK0477,industry,酿酒行业
2010-01-29,12960.37,13144.7,13377.87,12851.75,1482179.0,3441099911.94,4.05,1.08,140.85,0.48,BK0477,industry,酿酒行业
2010-02-01,13187.9,13193.89,13391.58,12934.17,1539021.0,3630783047.34,3.48,0.37,49.19,0.5,BK0477,industry,酿酒行业
2010-02-02,13214.2,12972.99,13371.76,12929.06,1167973.0,2568681069.93,3.36,-1.67,-220.9,0.38,BK0477,industry,酿酒行业
2010-02-03,12968.67,13078.77,13204.15,12609.37,1637949.0,3568819217.16,4.58,0.82,105.78,0.53,BK0477,industry,酿酒行业
2010-02-04,13062.31,13236.4,13380.86,12947.69,1531587.0,3106420657.34,3.31,1.21,157.63,0.5,BK0477,industry,酿酒行业
2010-02-05,13047.87,13066.24,13292.02,12861.62,2360296.0,4314721234.44,3.25,-1.29,-170.16,0.77,BK0477,industry,酿酒行业
2010-02-08,13010.69,13163.63,13330.38,12898.96,1488716.0,3288397641.44,3.3,0.75,97.39,0.49,BK0477,industry,酿酒行业
2010-02-09,13115.8,13123.91,13375.91,12974.13,1290860.0,2599764567.3,3.05,-0.3,-39.72,0.42,BK0477,industry,酿酒行业
2010-02-10,13207.57,13224.74,13303.77,13026.97,959267.0,1816061085.31,2.11,0.77,100.83,0.31,BK0477,industry,酿酒行业
2010-02-11,13221.73,13288.22,13449.2,13108.3,1270951.0,2505812319.57,2.58,0.48,63.48,0.41,BK0477,industry,酿酒行业
2010-02-12,13297.37,13354.08,13463.88,13191.28,1125492.0,2241954648.71,2.05,0.5,65.86,0.37,BK0477,industry,酿酒行业
2010-02-22,13318.25,13218.62,13472.76,13081.4,1569447.0,2837210165.36,2.93,-1.01,-135.46,0.51,BK0477,industry,酿酒行业
2010-02-23,13178.75,13140.57,13362.7,12863.19,1918275.0,3694558272.62,3.78,-0.59,-78.05,0.63,BK0477,industry,酿酒行业
2010-02-24,13098.24,13305.8,13378.69,12997.63,1555310.0,3029796945.51,2.9,1.26,165.23,0.51,BK0477,industry,酿酒行业
2010-02-25,13325.19,13456.65,13572.35,13255.9,2249023.0,4191102839.51,2.38,1.13,150.85,0.73,BK0477,industry,酿酒行业
2010-02-26,13449.74,13356.1,13603.05,13251.95,2038293.0,3798512211.12,2.61,-0.75,-100.55,0.67,BK0477,industry,酿酒行业
2010-03-01,13333.09,13472.27,13605.92,13224.15,1848033.0,3825614898.38,2.86,0.87,116.17,0.6,BK0477,industry,酿酒行业
2010-03-02,13541.57,13445.33,13653.6,13333.39,1814331.0,3588350035.51,2.38,-0.2,-26.94,0.59,BK0477,industry,酿酒行业
2010-03-03,13460.42,13479.81,13618.95,13269.64,1930066.0,4137824530.41,2.6,0.26,34.48,0.63,BK0477,industry,酿酒行业
2010-03-04,13482.48,13183.16,13689.05,13116.11,2060249.0,4205208623.93,4.25,-2.2,-296.65,0.67,BK0477,industry,酿酒行业
2010-03-05,13179.31,13190.32,13383.67,13043.84,1454202.0,3055111761.2,2.58,0.05,7.16,0.47,BK0477,industry,酿酒行业
2010-03-08,13221.55,13226.8,13379.05,13081.26,1395544.0,3221594803.37,2.26,0.28,36.48,0.46,BK0477,industry,酿酒行业
2010-03-09,13220.06,13232.26,13347.56,13058.36,1244014.0,2821206761.31,2.19,0.04,5.46,0.41,BK0477,industry,酿酒行业
2010-03-10,13238.56,13083.75,13332.58,12991.47,1396343.0,3224210537.37,2.58,-1.12,-148.51,0.46,BK0477,industry,酿酒行业
2010-03-11,13077.77,13003.11,13206.93,12913.5,1095723.0,2272901908.55,2.24,-0.62,-80.64,0.36,BK0477,industry,酿酒行业
2010-03-12,13016.42,12865.51,13152.87,12810.46,1106987.0,2300077094.66,2.63,-1.06,-137.6,0.36,BK0477,industry,酿酒行业
2010-03-15,12850.58,12639.72,12931.51,12523.43,1128085.0,2433137135.84,3.17,-1.76,-225.79,0.37,BK0477,industry,酿酒行业
2010-03-16,12657.16,12725.51,12840.95,12576.78,945087.0,1878674348.73,2.09,0.68,85.79,0.31,BK0477,industry,酿酒行业
2010-03-17,12750.8,13019.78,13066.84,12707.76,1350548.0,2802327069.6,2.82,2.31,294.27,0.44,BK0477,industry,酿酒行业
2010-03-18,13031.85,13003.99,13192.89,12901.54,1081128.0,2354082247.45,2.24,-0.12,-15.79,0.35,BK0477,industry,酿酒行业
2010-03-19,13044.96,13128.05,13197.97,12936.34,1242959.0,2558881217.94,2.01,0.95,124.06,0.41,BK0477,industry,酿酒行业
2010-03-22,13144.63,13143.09,13263.17,13006.64,1277445.0,2731590716.63,1.95,0.11,15.04,0.42,BK0477,industry,酿酒行业
2010-03-23,13145.06,13116.95,13281.61,13008.02,1162874.0,2479410286.95,2.08,-0.2,-26.14,0.38,BK0477,industry,酿酒行业
2010-03-24,13127.68,13234.25,13388.48,13034.42,1437739.0,3225692979.74,2.7,0.89,117.3,0.47,BK0477,industry,酿酒行业
2010-03-25,13220.06,13053.36,13309.66,12973.51,1203855.0,2511504452.68,2.54,-1.37,-180.89,0.39,BK0477,industry,酿酒行业
2010-03-26,13048.0,13219.8,13310.05,12964.64,1156239.0,2556553974.35,2.65,1.28,166.44,0.38,BK0477,industry,酿酒行业
2010-03-29,13334.37,13399.01,13493.02,13215.52,1567817.0,3723966890.25,2.1,1.36,179.21,0.51,BK0477,industry,酿酒行业
2010-03-30,13429.95,13390.88,13583.38,13272.9,1635605.0,3651651261.24,2.32,-0.06,-8.13,0.53,BK0477,industry,酿酒行业
2010-03-31,13402.79,13296.12,13518.51,13171.15,1393440.0,2921328298.36,2.59,-0.71,-94.76,0.45,BK0477,industry,酿酒行业
2010-04-01,13302.52,13472.61,13581.25,13260.23,1796174.0,3844705432.65,2.41,1.33,176.49,0.59,BK0477,industry,酿酒行业
2010-04-02,13457.69,13390.88,13600.57,13261.08,1952529.0,5796740886.96,2.52,-0.61,-81.73,0.64,BK0477,industry,酿酒行业
2010-04-06,13401.73,13413.02,13568.46,13252.55,1690488.0,3885408838.32,2.36,0.17,22.14,0.55,BK0477,industry,酿酒行业
2010-04-07,13413.9,13512.33,13605.75,13301.31,1959612.0,4173560787.4,2.27,0.74,99.31,0.64,BK0477,industry,酿酒行业
2010-04-08,13495.88,13449.51,13657.71,13299.99,2237172.0,4640684764.88,2.65,-0.46,-62.82,0.73,BK0477,industry,酿酒行业
2010-04-09,13439.38,13679.52,13775.95,13327.48,2462539.0,5340474329.78,3.33,1.71,230.01,0.8,BK0477,industry,酿酒行业
2010-04-12,13698.22,13709.46,13924.54,13472.73,2706005.0,5588414067.99,3.3,0.22,29.94,0.88,BK0477,industry,酿酒行业
2010-04-13,13724.57,13715.73,13949.31,13359.91,2430348.0,5478102691.11,4.3,0.05,6.27,0.79,BK0477,industry,酿酒行业
2010-04-14,13700.77,14056.77,14152.07,13562.42,2698161.0,6160912190.15,4.3,2.49,341.04,0.88,BK0477,industry,酿酒行业
2010-04-15,14081.86,14076.71,14353.01,13873.79,2415431.0,5519936915.72,3.41,0.14,19.94,0.79,BK0477,industry,酿酒行业
2010-04-16,14070.43,14088.33,14352.23,13819.85,1561199.0,3923900763.27,3.78,0.08,11.62,0.51,BK0477,industry,酿酒行业
2010-04-19,13983.18,13655.36,14200.06,13598.01,2208314.0,5442684833.02,4.27,-3.07,-432.97,0.72,BK0477,industry,酿酒行业
2010-04-20,13644.53,13959.57,14061.21,13390.99,2452331.0,5954380367.34,4.91,2.23,304.21,0.8,BK0477,industry,酿酒行业
2010-04-21,13959.14,14412.61,14580.74,13841.09,3076892.0,7422415193.43,5.3,3.25,453.04,1.0,BK0477,industry,酿酒行业
