日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-10-11,995.07,986.12,996.08,968.1,7890451.0,7350384896.0,2.8,-1.39,-13.88,1.8,BK1017,industry,采掘行业
2021-10-12,982.85,969.04,1008.03,957.27,7870615.0,8293056512.0,5.15,-1.73,-17.08,1.8,BK1017,industry,采掘行业
2021-10-13,958.99,915.61,958.99,905.45,7827862.0,7057571072.0,5.53,-5.51,-53.43,1.79,BK1017,industry,采掘行业
2021-10-14,904.52,910.69,917.19,894.05,4635516.0,5013366784.0,2.53,-0.54,-4.92,1.06,BK1017,industry,采掘行业
2021-10-15,913.85,917.36,925.34,894.92,5124445.0,5606731264.0,3.34,0.73,6.67,1.17,BK1017,industry,采掘行业
2021-10-18,918.84,959.36,959.53,911.66,8433900.0,8682552064.0,5.22,4.58,42.0,1.93,BK1017,industry,采掘行业
2021-10-19,952.54,986.81,990.73,946.24,10675693.0,8957045248.0,4.64,2.86,27.45,2.44,BK1017,industry,采掘行业
2021-10-20,972.54,967.06,977.69,963.0,7610817.0,8951024128.0,1.49,-2.0,-19.75,1.74,BK1017,industry,采掘行业
2021-10-21,979.77,965.71,983.81,963.94,6284347.0,7388176896.0,2.05,-0.14,-1.35,1.43,BK1017,industry,采掘行业
2021-10-22,961.21,938.58,961.43,933.59,6708672.0,7516438784.0,2.88,-2.81,-27.13,1.53,BK1017,industry,采掘行业
2021-10-25,942.51,968.27,976.04,937.38,7229884.0,7223856640.0,4.12,3.16,29.69,1.65,BK1017,industry,采掘行业
2021-10-26,970.05,960.82,981.94,957.77,5782641.0,7764635136.0,2.5,-0.77,-7.45,1.32,BK1017,industry,采掘行业
2021-10-27,955.07,938.29,959.49,931.97,5534455.0,6384504576.0,2.86,-2.34,-22.53,1.26,BK1017,industry,采掘行业
2021-10-28,928.44,883.1,929.68,879.83,6059921.0,6706448896.0,5.31,-5.88,-55.19,1.38,BK1017,industry,采掘行业
2021-10-29,882.49,885.78,887.89,870.7,5091989.0,6124305152.0,1.95,0.3,2.68,1.16,BK1017,industry,采掘行业
2021-11-01,880.25,896.26,897.64,877.0,4340742.0,5098520576.0,2.33,1.18,10.48,0.99,BK1017,industry,采掘行业
2021-11-02,899.51,878.77,910.14,865.56,5900991.0,6135065088.0,4.97,-1.95,-17.49,1.35,BK1017,industry,采掘行业
2021-11-03,874.07,880.19,884.71,868.12,3632777.0,4300473600.0,1.89,0.16,1.42,0.83,BK1017,industry,采掘行业
2021-11-04,873.41,874.48,876.1,865.72,3730631.0,4317674496.0,1.18,-0.65,-5.71,0.85,BK1017,industry,采掘行业
2021-11-05,873.99,846.16,874.01,845.57,4761058.0,5151358464.0,3.25,-3.24,-28.32,1.09,BK1017,industry,采掘行业
2021-11-08,847.09,862.47,865.69,844.74,4103208.0,5978597632.0,2.48,1.93,16.31,0.94,BK1017,industry,采掘行业
2021-11-09,860.55,864.97,865.85,853.25,3346966.0,4279439856.0,1.46,0.29,2.5,0.76,BK1017,industry,采掘行业
2021-11-10,870.87,861.03,872.65,846.18,3809292.0,4700255488.0,3.06,-0.46,-3.94,0.87,BK1017,industry,采掘行业
2021-11-11,852.07,852.3,855.81,849.65,3228366.0,3520683536.0,0.72,-1.01,-8.73,0.74,BK1017,industry,采掘行业
2021-11-12,851.35,859.3,861.26,847.69,3097843.0,2982055760.0,1.59,0.82,7.0,0.71,BK1017,industry,采掘行业
2021-11-15,858.3,856.83,858.33,846.71,3325598.0,3470262624.0,1.35,-0.29,-2.47,0.76,BK1017,industry,采掘行业
2021-11-16,855.16,852.13,860.74,847.77,3799172.0,3652902464.0,1.51,-0.55,-4.7,0.87,BK1017,industry,采掘行业
2021-11-17,850.98,865.32,867.3,848.43,3548224.0,5048480256.0,2.21,1.55,13.19,0.81,BK1017,industry,采掘行业
2021-11-18,860.72,859.69,871.11,859.17,4166805.0,6605715456.0,1.38,-0.65,-5.63,0.95,BK1017,industry,采掘行业
2021-11-19,859.24,878.96,881.57,857.33,4573620.0,7730831872.0,2.82,2.24,19.27,1.04,BK1017,industry,采掘行业
2021-11-22,872.94,880.74,881.75,867.88,3733633.0,5899843584.0,1.58,0.2,1.78,0.85,BK1017,industry,采掘行业
