日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,6159.47,6076.78,6194.53,6056.46,4598049.0,4072906791.73,2.25,-0.94,-57.62,0.24,BK0479,industry,钢铁行业
2010-01-05,6078.97,6051.14,6134.52,5941.11,5545149.0,4769463656.23,3.18,-0.42,-25.64,0.28,BK0479,industry,钢铁行业
2010-01-06,6034.06,6110.27,6217.66,5993.17,6419682.0,5697039475.45,3.71,0.98,59.13,0.33,BK0479,industry,钢铁行业
2010-01-07,6091.03,5940.52,6187.9,5904.5,5932524.0,5192461895.76,4.64,-2.78,-169.75,0.3,BK0479,industry,钢铁行业
2010-01-08,5920.75,5959.97,5999.78,5825.29,5319361.0,4722095681.67,2.94,0.33,19.45,0.27,BK0479,industry,钢铁行业
2010-01-11,6051.13,5938.46,6132.58,5885.87,5323724.0,4787075568.6,4.14,-0.36,-21.51,0.27,BK0479,industry,钢铁行业
2010-01-12,5930.77,5978.96,6033.5,5783.14,6699424.0,5782686717.91,4.22,0.68,40.5,0.34,BK0479,industry,钢铁行业
2010-01-13,5872.76,5800.09,5917.8,5742.46,8833243.0,7727873430.84,2.93,-2.99,-178.87,0.45,BK0479,industry,钢铁行业
2010-01-14,5818.35,5867.76,5888.0,5733.51,6659478.0,6013839741.6,2.66,1.17,67.67,0.34,BK0479,industry,钢铁行业
2010-01-15,5862.54,5859.81,5894.04,5785.27,5739551.0,5064711812.97,1.85,-0.14,-7.95,0.29,BK0479,industry,钢铁行业
2010-01-18,5839.85,5889.42,5907.04,5769.7,5888956.0,5101356209.79,2.34,0.51,29.61,0.3,BK0479,industry,钢铁行业
2010-01-19,5892.0,5923.73,5987.25,5848.08,7408321.0,6282459795.56,2.36,0.58,34.31,0.38,BK0479,industry,钢铁行业
2010-01-20,5929.18,5713.95,5966.08,5680.42,7942548.0,6712225641.17,4.82,-3.54,-209.78,0.41,BK0479,industry,钢铁行业
2010-01-21,5706.07,5635.28,5757.16,5550.07,6212954.0,5255380560.63,3.62,-1.38,-78.67,0.32,BK0479,industry,钢铁行业
2010-01-22,5567.62,5485.02,5592.74,5371.45,8063106.0,6439532632.07,3.93,-2.67,-150.26,0.41,BK0479,industry,钢铁行业
2010-01-25,5430.56,5381.53,5500.8,5344.17,7769774.0,5594917391.15,2.86,-1.89,-103.49,0.4,BK0479,industry,钢铁行业
2010-01-26,5371.8,5230.16,5414.39,5178.36,6445893.0,4637758795.01,4.39,-2.81,-151.37,0.33,BK0479,industry,钢铁行业
2010-01-27,5239.9,5214.63,5276.91,5123.87,4948438.0,3591667032.16,2.93,-0.3,-15.53,0.25,BK0479,industry,钢铁行业
2010-01-28,5199.77,5247.03,5282.95,5145.56,4430840.0,3407102445.88,2.63,0.62,32.4,0.23,BK0479,industry,钢铁行业
2010-01-29,5218.07,5241.4,5323.75,5177.48,4594414.0,3445049658.17,2.79,-0.11,-5.63,0.24,BK0479,industry,钢铁行业
2010-02-01,5241.39,5141.18,5257.2,5084.27,4760255.0,3403318001.01,3.3,-1.91,-100.22,0.24,BK0479,industry,钢铁行业
2010-02-02,5158.47,5131.48,5247.27,5115.15,4031282.0,3042061742.45,2.57,-0.19,-9.7,0.21,BK0479,industry,钢铁行业
2010-02-03,5146.16,5243.63,5253.57,5032.35,5385969.0,3952262694.53,4.31,2.19,112.15,0.28,BK0479,industry,钢铁行业
2010-02-04,5212.17,5225.59,5278.34,5163.95,4361662.0,3276218871.7,2.18,-0.34,-18.04,0.22,BK0479,industry,钢铁行业
2010-02-05,5128.2,5128.96,5193.73,5072.66,4749350.0,3584993904.68,2.32,-1.85,-96.63,0.24,BK0479,industry,钢铁行业
2010-02-08,5132.06,5134.57,5192.66,5092.77,2679921.0,1964320129.95,1.95,0.11,5.61,0.14,BK0479,industry,钢铁行业
2010-02-09,5133.8,5163.15,5187.5,5105.15,2533767.0,1833885080.2,1.6,0.56,28.58,0.13,BK0479,industry,钢铁行业
2010-02-10,5190.75,5216.88,5235.69,5162.15,2870558.0,2230188641.61,1.42,1.04,53.73,0.15,BK0479,industry,钢铁行业
2010-02-11,5222.77,5359.14,5411.23,5196.83,5764277.0,4397665849.82,4.11,2.73,142.26,0.3,BK0479,industry,钢铁行业
2010-02-12,5363.88,5396.99,5412.29,5312.96,3705269.0,2809585087.09,1.85,0.71,37.85,0.19,BK0479,industry,钢铁行业
2010-02-22,5394.73,5379.9,5461.35,5333.87,3387494.0,2613098476.79,2.36,-0.32,-17.09,0.17,BK0479,industry,钢铁行业
2010-02-23,5369.18,5347.92,5397.54,5239.13,3872752.0,2898189466.03,2.94,-0.59,-31.98,0.2,BK0479,industry,钢铁行业
2010-02-24,5301.6,5477.33,5508.44,5248.21,7378162.0,5514307978.62,4.87,2.42,129.41,0.38,BK0479,industry,钢铁行业
2010-02-25,5457.36,5487.63,5545.42,5418.0,6692484.0,5042460118.39,2.33,0.19,10.3,0.34,BK0479,industry,钢铁行业
2010-02-26,5479.55,5419.8,5503.73,5398.94,4713061.0,3666822372.1,1.91,-1.24,-67.83,0.24,BK0479,industry,钢铁行业
2010-03-01,5423.98,5471.38,5496.98,5403.31,5148717.0,3891282854.08,1.73,0.95,51.58,0.26,BK0479,industry,钢铁行业
2010-03-02,5472.14,5416.15,5492.86,5391.94,4189388.0,3175330391.83,1.84,-1.01,-55.23,0.21,BK0479,industry,钢铁行业
2010-03-03,5411.36,5465.11,5485.56,5362.35,5294422.0,4030355170.78,2.27,0.9,48.96,0.27,BK0479,industry,钢铁行业
2010-03-04,5466.78,5355.47,5507.38,5324.99,5499214.0,4089276612.66,3.34,-2.01,-109.64,0.28,BK0479,industry,钢铁行业
2010-03-05,5353.65,5396.24,5449.95,5334.19,4259626.0,3550317602.63,2.16,0.76,40.77,0.22,BK0479,industry,钢铁行业
2010-03-08,5407.81,5482.4,5509.39,5386.75,5082414.0,4176446640.35,2.27,1.6,86.16,0.26,BK0479,industry,钢铁行业
2010-03-09,5480.35,5489.25,5536.43,5402.05,5094109.0,4204558471.02,2.45,0.12,6.85,0.26,BK0479,industry,钢铁行业
2010-03-10,5479.78,5507.83,5591.65,5442.33,5698849.0,4573914913.87,2.72,0.34,18.58,0.29,BK0479,industry,钢铁行业
2010-03-11,5512.04,5526.93,5583.17,5460.59,5854824.0,4572986483.57,2.23,0.35,19.1,0.3,BK0479,industry,钢铁行业
2010-03-12,5528.9,5442.92,5578.9,5423.48,5328425.0,4256040953.17,2.81,-1.52,-84.01,0.27,BK0479,industry,钢铁行业
2010-03-15,5430.58,5316.96,5444.02,5274.41,4348676.0,3282279199.2,3.12,-2.31,-125.96,0.22,BK0479,industry,钢铁行业
2010-03-16,5311.29,5335.76,5361.59,5272.51,2861499.0,2262917787.21,1.68,0.35,18.8,0.15,BK0479,industry,钢铁行业
2010-03-17,5357.91,5412.62,5426.13,5324.36,4232893.0,3611901964.11,1.91,1.44,76.86,0.22,BK0479,industry,钢铁行业
2010-03-18,5416.54,5390.93,5448.74,5355.79,3679612.0,2959262510.03,1.72,-0.4,-21.69,0.19,BK0479,industry,钢铁行业
2010-03-19,5389.22,5436.39,5452.74,5339.16,4402474.0,3633490579.82,2.11,0.84,45.46,0.23,BK0479,industry,钢铁行业
2010-03-22,5431.09,5405.98,5446.19,5366.08,4043422.0,3279196652.22,1.47,-0.56,-30.41,0.21,BK0479,industry,钢铁行业
2010-03-23,5401.99,5369.74,5462.84,5342.88,5903544.0,4481200431.53,2.22,-0.67,-36.24,0.3,BK0479,industry,钢铁行业
2010-03-24,5370.35,5324.13,5401.18,5293.02,5419062.0,4086332331.71,2.01,-0.85,-45.61,0.28,BK0479,industry,钢铁行业
2010-03-25,5313.63,5286.89,5351.07,5240.48,5033539.0,3916302754.87,2.08,-0.7,-37.24,0.26,BK0479,industry,钢铁行业
2010-03-26,5274.88,5308.98,5331.87,5240.53,3935846.0,3079619992.69,1.73,0.42,22.09,0.2,BK0479,industry,钢铁行业
2010-03-29,5315.69,5398.48,5421.0,5301.04,6311342.0,4994402373.55,2.26,1.69,89.5,0.32,BK0479,industry,钢铁行业
2010-03-30,5401.07,5383.41,5425.77,5357.15,4029220.0,3239312441.43,1.27,-0.28,-15.07,0.21,BK0479,industry,钢铁行业
2010-03-31,5386.05,5330.57,5408.57,5300.61,4154960.0,3482097231.01,2.01,-0.98,-52.84,0.21,BK0479,industry,钢铁行业
2010-04-01,5327.36,5376.99,5393.11,5305.96,5357808.0,4275179846.72,1.63,0.87,46.42,0.27,BK0479,industry,钢铁行业
2010-04-02,5390.38,5415.92,5439.82,5364.36,6431259.0,4987351342.5,1.4,0.72,38.93,0.33,BK0479,industry,钢铁行业
2010-04-06,5429.86,5429.14,5473.89,5386.73,5441665.0,4314394425.03,1.61,0.24,13.22,0.28,BK0479,industry,钢铁行业
2010-04-07,5428.88,5417.48,5479.26,5345.56,6377387.0,4921762403.72,2.46,-0.21,-11.66,0.33,BK0479,industry,钢铁行业
2010-04-08,5395.68,5327.91,5405.58,5302.27,5324322.0,4350698502.38,1.91,-1.65,-89.57,0.27,BK0479,industry,钢铁行业
2010-04-09,5334.2,5350.51,5371.3,5304.15,4290181.0,3485980335.87,1.26,0.42,22.6,0.22,BK0479,industry,钢铁行业
2010-04-12,5353.16,5276.4,5377.26,5250.31,5864577.0,4567902745.2,2.37,-1.39,-74.11,0.3,BK0479,industry,钢铁行业
2010-04-13,5275.05,5309.5,5346.16,5231.81,5536101.0,4474095377.25,2.17,0.63,33.1,0.28,BK0479,industry,钢铁行业
2010-04-14,5324.08,5332.27,5365.75,5290.35,5068152.0,4284968215.98,1.42,0.43,22.77,0.26,BK0479,industry,钢铁行业
2010-04-15,5341.26,5338.19,5380.09,5288.43,6096281.0,4747541893.0,1.72,0.11,5.92,0.31,BK0479,industry,钢铁行业
2010-04-16,5336.35,5283.04,5361.3,5260.48,4342981.0,3468387753.43,1.89,-1.03,-55.15,0.22,BK0479,industry,钢铁行业
2010-04-19,5235.69,5016.84,5255.24,4994.55,7649861.0,5647370227.76,4.93,-5.04,-266.2,0.39,BK0479,industry,钢铁行业
2010-04-20,5013.89,4933.61,5058.6,4855.85,6116968.0,4335833189.71,4.04,-1.66,-83.23,0.31,BK0479,industry,钢铁行业
2010-04-21,4936.94,4993.68,5010.29,4890.78,5232516.0,3897357225.2,2.42,1.22,60.07,0.27,BK0479,industry,钢铁行业
2010-04-22,4986.85,4916.83,4997.12,4870.26,4716812.0,3591871624.81,2.54,-1.54,-76.85,0.24,BK0479,industry,钢铁行业
2010-04-23,4899.16,4861.02,4946.43,4839.46,4231198.0,2935550546.16,2.18,-1.14,-55.81,0.22,BK0479,industry,钢铁行业
2010-04-26,4880.57,4818.87,4914.17,4795.06,4345608.0,3087654057.35,2.45,-0.87,-42.15,0.22,BK0479,industry,钢铁行业
2010-04-27,4808.55,4696.96,4822.72,4632.38,5133809.0,3524172262.57,3.95,-2.53,-121.91,0.26,BK0479,industry,钢铁行业
2010-04-28,4658.24,4740.43,4772.37,4607.61,4232470.0,2981815293.96,3.51,0.93,43.47,0.22,BK0479,industry,钢铁行业
2010-04-29,4740.69,4671.36,4787.13,4657.51,3042125.0,2360852554.08,2.73,-1.46,-69.07,0.16,BK0479,industry,钢铁行业
2010-04-30,4673.9,4778.15,4796.52,4637.58,5434833.0,3890281645.76,3.4,2.29,106.79,0.28,BK0479,industry,钢铁行业
2010-05-04,4724.94,4705.75,4772.71,4659.34,3446632.0,2434034524.64,2.37,-1.52,-72.4,0.18,BK0479,industry,钢铁行业
2010-05-05,4673.43,4709.33,4721.76,4561.35,4404690.0,3128264111.61,3.41,0.08,3.58,0.23,BK0479,industry,钢铁行业
2010-05-06,4684.59,4543.16,4710.5,4531.13,4217020.0,2941945569.46,3.81,-3.53,-166.17,0.22,BK0479,industry,钢铁行业
2010-05-07,4457.65,4444.64,4527.74,4365.55,4882719.0,3228399771.31,3.57,-2.17,-98.52,0.25,BK0479,industry,钢铁行业
2010-05-10,4444.58,4456.11,4491.45,4370.56,3515286.0,2314632681.85,2.72,0.26,11.47,0.18,BK0479,industry,钢铁行业
2010-05-11,4530.27,4475.62,4607.25,4428.74,6238836.0,3968951613.29,4.01,0.44,19.51,0.32,BK0479,industry,钢铁行业
2010-05-12,4436.59,4453.73,4492.1,4344.36,4413117.0,2791780289.57,3.3,-0.49,-21.89,0.23,BK0479,industry,钢铁行业
2010-05-13,4447.37,4511.33,4521.48,4402.85,4077941.0,2529429246.06,2.66,1.29,57.6,0.21,BK0479,industry,钢铁行业
2010-05-14,4483.87,4477.88,4511.41,4436.84,3456004.0,2261245968.29,1.65,-0.74,-33.45,0.18,BK0479,industry,钢铁行业
2010-05-17,4435.34,4240.9,4444.41,4231.31,4791086.0,2896084411.76,4.76,-5.29,-236.98,0.25,BK0479,industry,钢铁行业
2010-05-18,4233.85,4327.53,4357.8,4188.39,4619889.0,2795783800.53,3.99,2.04,86.63,0.24,BK0479,industry,钢铁行业
2010-05-19,4298.71,4302.79,4364.48,4257.56,3569838.0,2193417977.94,2.47,-0.57,-24.74,0.18,BK0479,industry,钢铁行业
2010-05-20,4283.83,4305.91,4394.68,4261.53,4473741.0,2880174355.58,3.09,0.07,3.12,0.23,BK0479,industry,钢铁行业
2010-05-21,4221.59,4395.86,4404.74,4183.86,4921170.0,3243222245.56,5.13,2.09,89.95,0.25,BK0479,industry,钢铁行业
2010-05-24,4432.23,4521.83,4550.48,4404.29,6366044.0,3823260490.35,3.33,2.87,125.97,0.33,BK0479,industry,钢铁行业
2010-05-25,4496.58,4418.05,4504.73,4390.99,4101217.0,2571860556.23,2.52,-2.3,-103.78,0.21,BK0479,industry,钢铁行业
2010-05-26,4422.31,4420.99,4468.34,4386.2,3107220.0,2082202772.9,1.86,0.07,2.94,0.16,BK0479,industry,钢铁行业
2010-05-27,4414.12,4464.62,4489.52,4353.03,4036550.0,2639709773.33,3.09,0.99,43.63,0.21,BK0479,industry,钢铁行业
2010-05-28,4498.74,4423.73,4513.2,4403.35,4025927.0,2599801190.94,2.46,-0.92,-40.89,0.21,BK0479,industry,钢铁行业
2010-05-31,4396.52,4320.69,4425.21,4306.17,3363738.0,2080546539.33,2.69,-2.33,-103.04,0.17,BK0479,industry,钢铁行业
2010-06-01,4295.24,4273.65,4325.84,4227.08,3155248.0,1895041802.28,2.29,-1.09,-47.04,0.16,BK0479,industry,钢铁行业
2010-06-02,4261.69,4300.82,4306.9,4231.79,2443171.0,1453029942.35,1.76,0.64,27.17,0.13,BK0479,industry,钢铁行业
2010-06-03,4309.4,4282.46,4358.19,4258.39,2997036.0,1779257048.63,2.32,-0.43,-18.36,0.15,BK0479,industry,钢铁行业
2010-06-04,4258.7,4258.72,4280.82,4196.26,2972543.0,1794461264.82,1.97,-0.55,-23.74,0.15,BK0479,industry,钢铁行业
2010-06-07,4194.28,4171.65,4210.4,4140.75,3647182.0,2138267623.9,1.64,-2.04,-87.07,0.19,BK0479,industry,钢铁行业
2010-06-08,4167.1,4177.64,4200.08,4138.69,2172248.0,1337764500.83,1.47,0.14,5.99,0.11,BK0479,industry,钢铁行业
2010-06-09,4181.99,4256.95,4278.23,4143.82,4606636.0,2635841772.12,3.22,1.9,79.31,0.24,BK0479,industry,钢铁行业
2010-06-10,4227.28,4200.83,4245.79,4185.1,3389538.0,1959135719.06,1.43,-1.32,-56.12,0.17,BK0479,industry,钢铁行业
2010-06-11,4215.4,4267.16,4321.87,4188.9,5119179.0,2948692214.06,3.17,1.58,66.33,0.26,BK0479,industry,钢铁行业
