日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,2083.08,2051.95,2103.18,2051.0,10927682.0,11616848654.99,2.51,-1.36,-28.38,0.08,BK0475,industry,银行
2010-01-05,2061.06,2072.73,2090.57,2034.69,12811673.0,15330709988.79,2.72,1.01,20.78,0.1,BK0475,industry,银行
2010-01-06,2069.65,2046.3,2074.26,2041.81,10157316.0,12504298873.7,1.57,-1.28,-26.43,0.08,BK0475,industry,银行
2010-01-07,2042.35,2001.6,2053.15,1993.74,10956018.0,12480178286.04,2.9,-2.18,-44.7,0.08,BK0475,industry,银行
2010-01-08,1995.42,2010.79,2019.85,1986.19,7525263.0,8824571914.92,1.68,0.46,9.19,0.06,BK0475,industry,银行
2010-01-11,2114.39,2027.12,2126.8,2005.38,16660643.0,18207815797.49,6.04,0.81,16.33,0.13,BK0475,industry,银行
2010-01-12,2022.88,2043.13,2051.15,1992.34,12380609.0,14366605741.78,2.9,0.79,16.01,0.09,BK0475,industry,银行
2010-01-13,1994.39,1952.32,2012.73,1931.46,21319750.0,23724672034.36,3.98,-4.44,-90.81,0.16,BK0475,industry,银行
2010-01-14,1959.32,1957.54,1972.43,1935.31,10863451.0,12273436165.28,1.9,0.27,5.22,0.08,BK0475,industry,银行
2010-01-15,1960.38,1958.83,1973.36,1939.51,8984701.0,10214033211.02,1.73,0.07,1.29,0.07,BK0475,industry,银行
2010-01-18,1948.94,1958.31,1962.19,1935.21,8823512.0,9937710345.15,1.38,-0.03,-0.52,0.07,BK0475,industry,银行
2010-01-19,1959.02,1961.66,1982.42,1952.06,9987469.0,11752330841.14,1.55,0.17,3.35,0.08,BK0475,industry,银行
2010-01-20,1968.9,1917.32,1973.31,1910.39,10403261.0,11324809317.04,3.21,-2.26,-44.34,0.08,BK0475,industry,银行
2010-01-21,1930.1,1945.97,1956.32,1919.42,10195083.0,11640565855.13,1.92,1.49,28.65,0.08,BK0475,industry,银行
2010-01-22,1927.91,1973.0,1996.72,1915.16,19952585.0,22372816759.76,4.19,1.39,27.03,0.15,BK0475,industry,银行
2010-01-25,1952.61,1950.14,1998.41,1940.49,9945024.0,10858930282.99,2.94,-1.16,-22.86,0.07,BK0475,industry,银行
2010-01-26,1948.38,1946.6,1970.77,1925.93,10252348.0,11477440362.93,2.3,-0.18,-3.54,0.08,BK0475,industry,银行
2010-01-27,1948.35,1909.5,1953.81,1895.01,10478589.0,11480760037.97,3.02,-1.91,-37.1,0.08,BK0475,industry,银行
2010-01-28,1905.05,1893.83,1913.03,1870.83,8305656.0,8782605830.1,2.21,-0.82,-15.67,0.06,BK0475,industry,银行
2010-01-29,1885.23,1888.47,1908.15,1876.5,7132657.0,7783231507.56,1.67,-0.28,-5.36,0.05,BK0475,industry,银行
2010-02-01,1883.06,1863.54,1886.28,1849.12,7498194.0,7826979269.56,1.97,-1.32,-24.93,0.06,BK0475,industry,银行
2010-02-02,1869.57,1872.63,1905.76,1861.2,7279176.0,8136560914.77,2.39,0.49,9.09,0.05,BK0475,industry,银行
2010-02-03,1876.48,1917.94,1927.03,1857.38,9965083.0,10558731663.0,3.72,2.42,45.31,0.07,BK0475,industry,银行
2010-02-04,1903.21,1904.79,1917.42,1892.56,5258653.0,5984722407.61,1.3,-0.69,-13.15,0.04,BK0475,industry,银行
2010-02-05,1878.49,1885.99,1892.2,1870.58,5486440.0,5881612059.83,1.14,-0.99,-18.8,0.04,BK0475,industry,银行
2010-02-08,1879.05,1876.78,1891.07,1866.93,3798021.0,4355065625.21,1.28,-0.49,-9.21,0.03,BK0475,industry,银行
2010-02-09,1876.51,1881.53,1890.9,1864.1,3835541.0,4005955845.55,1.43,0.25,4.75,0.03,BK0475,industry,银行
2010-02-10,1888.67,1893.74,1898.19,1881.3,3538303.0,4100346697.45,0.9,0.65,12.21,0.03,BK0475,industry,银行
2010-02-11,1894.04,1891.98,1899.89,1883.95,3062360.0,3366525027.21,0.84,-0.09,-1.76,0.02,BK0475,industry,银行
2010-02-12,1895.71,1908.31,1912.07,1891.24,3764533.0,4001454733.44,1.1,0.86,16.33,0.03,BK0475,industry,银行
2010-02-22,1903.56,1895.76,1912.12,1892.34,3405766.0,3786308183.56,1.04,-0.66,-12.55,0.03,BK0475,industry,银行
2010-02-23,1896.93,1879.12,1898.38,1862.59,4391039.0,4731928622.83,1.89,-0.88,-16.64,0.03,BK0475,industry,银行
2010-02-24,1869.97,1886.52,1891.77,1862.68,5087003.0,5244713597.59,1.55,0.39,7.4,0.04,BK0475,industry,银行
2010-02-25,1888.7,1909.87,1917.2,1885.63,9427402.0,11129120569.53,1.67,1.24,23.35,0.07,BK0475,industry,银行
2010-02-26,1905.17,1905.18,1918.23,1896.07,4953446.0,5434476355.22,1.16,-0.25,-4.69,0.04,BK0475,industry,银行
2010-03-01,1908.16,1924.13,1930.66,1900.79,6050106.0,6067532904.51,1.57,0.99,18.95,0.05,BK0475,industry,银行
2010-03-02,1926.66,1923.45,1938.11,1915.58,5942796.0,7185105176.13,1.17,-0.04,-0.68,0.04,BK0475,industry,银行
2010-03-03,1925.0,1930.06,1931.17,1913.42,4589678.0,5067468254.0,0.92,0.34,6.61,0.03,BK0475,industry,银行
2010-03-04,1928.27,1904.38,1932.41,1892.66,5545339.0,6208590346.0,2.06,-1.33,-25.68,0.04,BK0475,industry,银行
2010-03-05,1905.47,1899.77,1913.06,1893.63,2991153.0,3087649609.56,1.02,-0.24,-4.61,0.02,BK0475,industry,银行
2010-03-08,1904.96,1907.28,1914.73,1893.56,3726792.0,4245995613.3,1.11,0.4,7.51,0.03,BK0475,industry,银行
2010-03-09,1905.41,1924.84,1939.54,1895.5,6267143.0,6107500484.53,2.31,0.92,17.56,0.05,BK0475,industry,银行
2010-03-10,1920.95,1913.03,1938.79,1906.86,4061393.0,4241817977.36,1.66,-0.61,-11.81,0.03,BK0475,industry,银行
2010-03-11,1917.88,1924.67,1943.71,1911.19,7657921.0,9932926768.42,1.7,0.61,11.64,0.06,BK0475,industry,银行
2010-03-12,1923.46,1909.21,1931.39,1901.68,4321909.0,5191264195.82,1.54,-0.8,-15.46,0.03,BK0475,industry,银行
2010-03-15,1912.85,1895.97,1916.1,1885.36,4580409.0,5270419866.04,1.61,-0.69,-13.24,0.03,BK0475,industry,银行
2010-03-16,1895.33,1902.81,1915.37,1885.14,4611864.0,5225522422.43,1.59,0.36,6.84,0.03,BK0475,industry,银行
2010-03-17,1906.44,1924.57,1927.27,1896.97,5905748.0,6894641461.69,1.59,1.14,21.76,0.04,BK0475,industry,银行
2010-03-18,1926.08,1915.86,1929.87,1909.72,5624519.0,6575215545.43,1.05,-0.45,-8.71,0.04,BK0475,industry,银行
2010-03-19,1915.65,1918.44,1923.69,1902.81,3502588.0,4226848028.28,1.09,0.13,2.58,0.03,BK0475,industry,银行
2010-03-22,1920.39,1925.2,1938.59,1914.97,6601979.0,7694594752.88,1.23,0.35,6.76,0.05,BK0475,industry,银行
2010-03-23,1929.09,1915.27,1933.61,1910.91,5024590.0,5630825496.17,1.18,-0.52,-9.93,0.04,BK0475,industry,银行
2010-03-24,1924.27,1930.22,1944.97,1919.09,5839614.0,5756980708.69,1.35,0.78,14.95,0.04,BK0475,industry,银行
2010-03-25,1926.18,1913.59,1928.19,1903.55,4635277.0,4964559328.25,1.28,-0.86,-16.63,0.03,BK0475,industry,银行
2010-03-26,1916.55,1937.67,1956.98,1906.74,8890382.0,8896771946.63,2.63,1.26,24.08,0.07,BK0475,industry,银行
2010-03-29,1951.43,1989.4,2002.65,1941.7,17531448.0,18930725575.39,3.15,2.67,51.73,0.13,BK0475,industry,银行
2010-03-30,1988.04,1994.5,1999.46,1975.32,7402208.0,7690701086.02,1.21,0.26,5.1,0.06,BK0475,industry,银行
2010-03-31,1995.66,1972.1,1997.45,1965.06,6387837.0,7254516468.26,1.62,-1.12,-22.4,0.05,BK0475,industry,银行
2010-04-01,1974.9,1985.16,1993.65,1969.84,6916761.0,8284253722.57,1.21,0.66,13.06,0.05,BK0475,industry,银行
2010-04-02,1986.22,1979.8,1992.43,1971.47,5944516.0,6742027987.62,1.06,-0.27,-5.36,0.04,BK0475,industry,银行
2010-04-06,1985.08,1979.84,1999.0,1974.02,6780252.0,7890564616.62,1.26,0.0,0.04,0.05,BK0475,industry,银行
