日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-02-25,1011.7,978.73,1022.37,970.46,4707823.0,5335251297.0,5.19,-2.13,-21.27,2.04,BK1032,industry,风电设备
2021-02-26,960.76,967.96,990.99,945.68,3945087.0,4385950111.0,4.63,-1.1,-10.77,1.71,BK1032,industry,风电设备
2021-03-01,971.55,997.11,1005.03,962.51,3928703.0,4211182409.0,4.39,3.01,29.15,1.71,BK1032,industry,风电设备
2021-03-02,1006.96,1009.12,1028.3,983.11,4939259.0,5929733052.0,4.53,1.2,12.01,2.14,BK1032,industry,风电设备
2021-03-03,1000.96,1009.59,1017.53,982.71,4209265.0,4991808752.0,3.45,0.05,0.47,1.83,BK1032,industry,风电设备
2021-03-04,1003.69,988.42,1023.02,977.21,4784122.0,4889642043.0,4.54,-2.1,-21.17,2.08,BK1032,industry,风电设备
2021-03-05,973.08,993.14,1007.59,959.92,4860137.0,4706476956.0,4.82,0.48,4.72,2.11,BK1032,industry,风电设备
2021-03-08,1000.86,964.49,1022.91,957.53,6735344.0,6379631683.0,6.58,-2.88,-28.65,2.92,BK1032,industry,风电设备
2021-03-09,959.35,936.27,977.88,908.79,5910958.0,5062915338.0,7.16,-2.93,-28.22,2.57,BK1032,industry,风电设备
2021-03-10,948.78,923.52,961.09,912.19,3899994.0,3484885841.0,5.22,-1.36,-12.75,1.69,BK1032,industry,风电设备
2021-03-11,924.66,951.07,960.04,914.31,3705089.0,3536144086.0,4.95,2.98,27.55,1.61,BK1032,industry,风电设备
2021-03-12,963.2,980.07,993.71,947.01,5669785.0,5313527517.0,4.91,3.05,29.0,2.46,BK1032,industry,风电设备
2021-03-15,971.22,967.3,992.85,949.54,4630930.0,4472674843.0,4.42,-1.3,-12.77,2.01,BK1032,industry,风电设备
2021-03-16,969.77,971.25,990.71,949.92,4279796.0,4112932541.0,4.22,0.41,3.95,1.86,BK1032,industry,风电设备
2021-03-17,967.44,972.01,987.85,944.79,3567661.0,3649427200.0,4.43,0.08,0.76,1.55,BK1032,industry,风电设备
2021-03-18,972.98,978.21,995.68,953.55,4279367.0,4328875793.0,4.33,0.64,6.2,1.86,BK1032,industry,风电设备
