日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,8760.35,8769.0,8947.92,8669.75,2440427.0,3224768073.47,3.2,0.74,64.54,0.32,BK0438,industry,食品饮料
2010-01-05,8779.39,8822.49,8914.3,8613.23,2323827.0,3136333665.65,3.43,0.61,53.49,0.31,BK0438,industry,食品饮料
2010-01-06,8804.3,8834.08,8987.22,8700.66,2882369.0,3699231109.48,3.25,0.13,11.59,0.38,BK0438,industry,食品饮料
2010-01-07,8813.37,8555.37,8895.48,8479.49,2573594.0,3509107538.98,4.71,-3.15,-278.71,0.34,BK0438,industry,食品饮料
2010-01-08,8496.75,8606.44,8646.45,8378.55,1831339.0,2465928828.75,3.13,0.6,51.07,0.24,BK0438,industry,食品饮料
2010-01-11,8684.14,8626.49,8812.7,8480.51,2864381.0,4119836131.44,3.86,0.23,20.05,0.38,BK0438,industry,食品饮料
2010-01-12,8603.15,8802.28,8851.15,8497.59,2680293.0,4077537682.37,4.1,2.04,175.79,0.35,BK0438,industry,食品饮料
2010-01-13,8624.62,8734.68,8877.05,8545.92,2384458.0,3445195256.06,3.76,-0.77,-67.6,0.31,BK0438,industry,食品饮料
2010-01-14,8733.63,8928.34,9006.87,8685.08,2518232.0,3527660977.3,3.68,2.22,193.66,0.33,BK0438,industry,食品饮料
2010-01-15,8936.42,9007.72,9130.79,8840.37,2792513.0,3606505161.95,3.25,0.89,79.38,0.37,BK0438,industry,食品饮料
2010-01-18,8994.46,9196.87,9302.89,8895.87,3559029.0,4674501861.09,4.52,2.1,189.15,0.47,BK0438,industry,食品饮料
2010-01-19,9201.28,9147.2,9304.89,9008.09,2884252.0,3746336919.57,3.23,-0.54,-49.67,0.38,BK0438,industry,食品饮料
2010-01-20,9143.33,8881.49,9242.92,8768.42,3638310.0,4646136423.99,5.19,-2.9,-265.71,0.48,BK0438,industry,食品饮料
2010-01-21,8872.83,8945.35,9092.55,8745.98,3043656.0,3485283941.41,3.9,0.72,63.86,0.4,BK0438,industry,食品饮料
2010-01-22,8838.7,8717.68,8977.93,8512.87,2861069.0,3520406713.73,5.2,-2.55,-227.67,0.38,BK0438,industry,食品饮料
2010-01-25,8655.35,8603.56,8842.46,8514.09,1633711.0,2003990162.65,3.77,-1.31,-114.12,0.22,BK0438,industry,食品饮料
2010-01-26,8609.28,8281.61,8700.77,8193.64,1780537.0,2282609657.14,5.89,-3.74,-321.95,0.23,BK0438,industry,食品饮料
2010-01-27,8278.38,8191.66,8433.67,8084.25,1358607.0,1711856390.03,4.22,-1.09,-89.95,0.18,BK0438,industry,食品饮料
2010-01-28,8189.32,8282.38,8360.83,8064.06,1292133.0,1731281760.11,3.62,1.11,90.72,0.17,BK0438,industry,食品饮料
2010-01-29,8258.97,8410.06,8548.58,8198.52,1594044.0,2063954605.84,4.23,1.54,127.68,0.21,BK0438,industry,食品饮料
2010-02-01,8407.08,8251.43,8499.58,8122.91,1500621.0,2031848170.8,4.48,-1.89,-158.63,0.2,BK0438,industry,食品饮料
2010-02-02,8276.9,8173.51,8410.79,8116.58,1343275.0,1940823616.84,3.57,-0.94,-77.92,0.18,BK0438,industry,食品饮料
2010-02-03,8185.96,8204.88,8301.26,7809.46,1728295.0,2249955785.48,6.02,0.38,31.37,0.23,BK0438,industry,食品饮料
2010-02-04,8159.47,8249.22,8369.99,8031.98,1755508.0,2205898072.15,4.12,0.54,44.34,0.23,BK0438,industry,食品饮料
2010-02-05,8090.87,8147.36,8318.46,7950.73,1812710.0,2268453102.84,4.46,-1.23,-101.86,0.24,BK0438,industry,食品饮料
2010-02-08,8148.53,8214.74,8314.94,8015.04,1436026.0,1773733996.89,3.68,0.83,67.38,0.19,BK0438,industry,食品饮料
2010-02-09,8209.7,8176.19,8333.22,8069.77,1254649.0,1433122086.54,3.21,-0.47,-38.55,0.17,BK0438,industry,食品饮料
2010-02-10,8219.71,8273.34,8330.77,8143.13,966933.0,1235774733.2,2.29,1.19,97.15,0.13,BK0438,industry,食品饮料
2010-02-11,8279.36,8203.83,8344.18,8148.71,952836.0,1350555851.33,2.36,-0.84,-69.51,0.13,BK0438,industry,食品饮料
2010-02-12,8225.25,8261.11,8310.73,8155.84,771018.0,1076696410.98,1.89,0.7,57.28,0.1,BK0438,industry,食品饮料
2010-02-22,8272.98,8304.94,8419.48,8185.66,1192147.0,1493736601.97,2.83,0.53,43.83,0.16,BK0438,industry,食品饮料
2010-02-23,8303.87,8364.61,8445.92,8142.8,1645432.0,2061770121.2,3.65,0.72,59.67,0.22,BK0438,industry,食品饮料
2010-02-24,8336.44,8578.11,8613.64,8244.35,2162107.0,2677601280.84,4.41,2.55,213.5,0.29,BK0438,industry,食品饮料
2010-02-25,8618.51,8779.94,8887.16,8551.89,3499141.0,3930394928.51,3.91,2.35,201.83,0.46,BK0438,industry,食品饮料
2010-02-26,8747.13,8764.2,8905.88,8648.86,2043670.0,2657458659.17,2.93,-0.18,-15.74,0.27,BK0438,industry,食品饮料
2010-03-01,8763.19,8859.34,8974.91,8717.02,2551092.0,3173222635.78,2.94,1.09,95.14,0.34,BK0438,industry,食品饮料
2010-03-02,8861.97,8917.77,9074.84,8713.3,2997936.0,3361167978.78,4.08,0.66,58.43,0.4,BK0438,industry,食品饮料
2010-03-03,8906.17,9093.85,9180.13,8803.57,4085316.0,4758530956.4,4.22,1.97,176.08,0.54,BK0438,industry,食品饮料
2010-03-04,9092.94,8733.15,9159.99,8641.88,3501697.0,4347299560.23,5.7,-3.97,-360.7,0.46,BK0438,industry,食品饮料
2010-03-05,8738.8,8806.68,8972.26,8652.18,2901306.0,3386550679.57,3.67,0.84,73.53,0.38,BK0438,industry,食品饮料
