概念代码,概念名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高价,最低价,开盘价,昨收价,总市值,流通市值,主力净流入,主力净流入占比,总股本,更新时间
BK0816,昨日连板,240.2,5.27,12.02,8942134.0,14797219963.0,1.02,240.35,238.03,239.7,228.18,201077027000.0,182561189000.0,-687383520.0,-4.65,555593504.0,1754532096
BK1051,昨日连板_含一字,77053.51,4.17,3085.45,9262237.0,15419602857.0,2.06,77954.41,76430.1,77874.3,73968.06,214608148000.0,194955035000.0,-767027408.0,-4.98,630734272.0,1754532096
BK0815,昨日涨停,4591.9,2.91,129.72,39343319.0,58976747595.0,1.53,4620.92,4552.75,4607.94,4462.18,989269376000.0,895362880000.0,-5145838848.0,-8.73,3394396160.0,1754532096
BK1050,昨日涨停_含一字,1699.77,2.7,44.67,39663422.0,59599130489.0,1.78,1715.34,1685.86,1711.35,1655.1,1002800496000.0,907756736000.0,-5225482496.0,-8.77,3469537024.0,1754532096
BK0841,体外诊断,1467.38,2.16,31.06,5624738.0,9104851206.0,2.51,1471.1,1435.01,1435.8,1436.32,979220544000.0,929205504000.0,464470384.0,5.11,-256979488.0,1754532096
BK0806,精准医疗,1189.97,2.09,24.38,7075307.0,8391515722.0,2.53,1191.28,1161.74,1162.3,1165.59,663809456000.0,556516416000.0,402222048.0,4.79,-168428992.0,1754532096
BK0693,基因测序,2168.19,1.97,41.97,7718574.0,8067329337.0,2.34,2172.06,2122.22,2122.65,2126.22,541464016000.0,464786896000.0,367820112.0,4.56,-238900864.0,1754532096
BK1147,SPD概念,1111.68,1.92,20.97,1400158.0,2104178666.0,2.17,1116.41,1092.69,1092.86,1090.71,77830040000.0,66956879000.0,41525570.0,1.97,6375568.0,1754532096
BK1054,DRG/DIP,1254.01,1.9,23.44,3824657.0,5125855899.0,2.73,1265.02,1231.37,1231.37,1230.57,190984139000.0,179453695000.0,48628800.0,0.95,-16589872.0,1754532096
BK1085,痘病毒防治,983.33,1.74,16.84,4916459.0,8510835341.0,2.17,986.7,965.72,965.83,966.49,731610288000.0,663018464000.0,64284144.0,0.76,30029984.0,1754532096
BK0865,电子烟,2082.15,1.51,30.94,6395687.0,15338217948.0,1.28,2086.22,2060.04,2060.04,2051.21,960831600000.0,905421376000.0,1055033680.0,6.88,-462204928.0,1754532096
BK0668,医疗器械概念,4317.09,1.38,58.94,27936358.0,41079034842.0,1.47,4322.51,4259.81,4259.81,4258.15,5120779008000.0,4463845888000.0,390762880.0,0.95,190909696.0,1754532096
BK0872,青蒿素,1789.14,1.37,24.15,627900.0,1256987631.0,1.73,1797.37,1766.76,1766.76,1764.99,294732320000.0,267140042000.0,97872145.0,7.79,-40994480.0,1754532096
BK0939,辅助生殖,1149.59,1.36,15.43,6640988.0,8124173955.0,2.05,1151.16,1127.94,1130.24,1134.16,592636224000.0,530836128000.0,84676208.0,1.04,-15906336.0,1754532096
BK0893,无线耳机,2063.2,1.35,27.4,12847977.0,27925229067.0,1.01,2066.89,2046.31,2046.31,2035.8,2283888592000.0,2052059040000.0,1364639872.0,4.89,-548657408.0,1754532096
BK1103,熔盐储能,1068.84,1.34,14.17,944518.0,1008337040.0,1.4,1069.2,1054.46,1057.19,1054.67,84228393000.0,79203974000.0,51706006.0,5.13,-28377984.0,1754532096
BK0957,拼多多概念,1480.39,1.34,19.51,1845415.0,2880489489.0,1.08,1480.57,1464.85,1464.85,1460.88,155940237000.0,138197964000.0,227818255.0,7.91,-126881920.0,1754532096
