概念代码,概念名称,最新指数,涨跌幅,涨跌额,成交量,成交额,振幅,主力净流入,主力净流入占比,上涨家数,下跌家数
BK0816,昨日连板,240.2,5.27,12.02,8942134.0,14797219963.0,1.02,-687383520.0,-4.65,14.0,4.0
BK1051,昨日连板_含一字,77053.51,4.17,3085.45,9262237.0,15419602857.0,2.06,-767027408.0,-4.97,15.0,6.0
BK0815,昨日涨停,4591.9,2.91,129.72,39343319.0,58976747595.0,1.53,-5145838848.0,-8.73,51.0,22.0
BK1050,昨日涨停_含一字,1699.77,2.7,44.67,39663422.0,59599130489.0,1.78,-5225482496.0,-8.77,52.0,24.0
BK0841,体外诊断,1467.38,2.16,31.06,5624738.0,9104851206.0,2.51,464470384.0,5.1,59.0,7.0
BK0806,精准医疗,1189.97,2.09,24.38,7075307.0,8391515722.0,2.53,402222048.0,4.79,37.0,8.0
BK0693,基因测序,2168.19,1.97,41.97,7718574.0,8067329337.0,2.34,367820112.0,4.56,37.0,8.0
BK1147,SPD概念,1111.68,1.92,20.97,1400158.0,2104178666.0,2.17,41525570.0,1.97,11.0,0.0
BK1054,DRG/DIP,1254.01,1.9,23.44,3824657.0,5125855899.0,2.73,48628800.0,0.95,13.0,6.0
BK1085,痘病毒防治,983.33,1.74,16.84,4916459.0,8510835341.0,2.17,64284144.0,0.76,47.0,7.0
BK0865,电子烟,2082.15,1.51,30.94,6395687.0,15338217948.0,1.28,1055033680.0,6.88,34.0,17.0
BK0668,医疗器械概念,4317.09,1.38,58.94,27936358.0,41079034842.0,1.47,390762880.0,0.95,225.0,87.0
BK0872,青蒿素,1789.14,1.37,24.15,627900.0,1256987631.0,1.73,97872145.0,7.79,7.0,4.0
BK0939,辅助生殖,1149.59,1.36,15.43,6640988.0,8124173955.0,2.05,84676208.0,1.04,37.0,16.0
BK0893,无线耳机,2063.2,1.35,27.4,12847977.0,27925229067.0,1.01,1364639872.0,4.89,60.0,21.0
BK1103,熔盐储能,1068.84,1.34,14.17,944518.0,1008337040.0,1.4,51706006.0,5.13,5.0,3.0
BK0957,拼多多概念,1480.39,1.34,19.51,1845415.0,2880489489.0,1.08,227818255.0,7.91,15.0,7.0
BK0954,盲盒经济,1317.62,1.24,16.17,1037872.0,1421145128.0,1.96,63247642.0,4.45,9.0,0.0
BK0666,苹果概念,3623.47,1.23,44.1,16190697.0,37187092265.0,0.98,1597658112.0,4.3,86.0,38.0
BK1170,AI制药（医疗）,1444.06,1.22,17.44,5677371.0,9263204239.0,1.9,-155537408.0,-1.68,31.0,14.0
BK1137,存储芯片,1486.62,1.22,17.88,5578171.0,14744554213.0,1.41,572426672.0,3.88,44.0,14.0
BK0951,刀片电池,2536.72,1.15,28.88,1161398.0,3513059090.0,1.24,327285712.0,9.32,6.0,7.0
BK0902,MiniLED,1930.78,1.08,20.68,6683375.0,10151470751.0,1.11,548362464.0,5.4,43.0,14.0
BK1023,培育钻石,1616.76,1.08,17.25,1408198.0,2937104475.0,1.47,-94403888.0,-3.21,10.0,3.0
BK0986,CAR-T细胞疗法,1261.57,1.03,12.84,2351691.0,4249169374.0,2.05,-145101328.0,-3.41,14.0,9.0
BK0837,互联医疗,1134.83,1.03,11.54,12897428.0,19057306190.0,1.21,-157275472.0,-0.83,65.0,26.0
BK1177,荣耀概念,1821.51,1.01,18.2,6486813.0,12915877763.0,0.84,168991808.0,1.31,38.0,15.0
BK1078,肝炎概念,1501.1,1.0,14.93,5417744.0,8657302526.0,1.49,-171893440.0,-1.99,32.0,17.0
BK1178,AI眼镜,1881.66,0.99,18.46,9332260.0,18799160785.0,1.0,558742560.0,2.97,73.0,22.0
BK0916,氮化镓,1445.79,0.99,14.17,4307736.0,9213249580.0,1.14,18156160.0,0.2,30.0,17.0
BK1162,AI手机,1637.29,0.98,15.92,5509719.0,10705542952.0,1.11,105665776.0,0.99,23.0,9.0
BK0993,宠物经济,1011.72,0.97,9.76,3112570.0,5327251474.0,1.02,64352352.0,1.21,40.0,19.0
BK0803,股权转让,752.21,0.97,7.21,3190203.0,2878518279.0,1.02,108201822.0,3.76,21.0,16.0
BK0880,UWB概念,1718.93,0.95,16.22,4207484.0,6947849459.0,0.89,-37502752.0,-0.54,10.0,8.0
BK1138,液冷概念,1402.95,0.94,13.09,12518053.0,24147050518.0,1.03,-673941504.0,-2.79,40.0,32.0
BK0675,病毒防治,2985.98,0.94,27.82,11009536.0,14557457399.0,1.42,80420848.0,0.55,72.0,34.0
BK0850,进口博览,1064.76,0.93,9.81,1483120.0,1161130697.0,1.19,53536129.0,4.61,6.0,5.0
BK0889,医疗美容,1826.14,0.91,16.42,6509729.0,8038663066.0,1.21,-45510160.0,-0.57,51.0,18.0
BK0969,汽车芯片,1250.47,0.89,11.09,5139337.0,13511378266.0,0.97,40760416.0,0.3,42.0,17.0
BK0901,3D摄像头,1647.64,0.88,14.34,2707449.0,7029104380.0,0.84,443337136.0,6.31,8.0,2.0
BK0842,富士康,2058.09,0.87,17.81,4116381.0,10592584806.0,0.97,315605808.0,2.98,21.0,16.0
