行业代码,行业名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高价,最低价,开盘价,昨收价,总市值,流通市值,主力净流入,主力净流入占比,总股本,更新时间
BK1041,医疗器械,1026.77,3.07,30.57,7605222.0,13939050768.0,3.31,1029.91,996.95,996.99,996.2,1458328064000.0,1264811136000.0,1072044672.0,7.69,-628563408.0,1754532099
BK0734,珠宝首饰,489.67,1.37,6.64,830787.0,1042424634.0,1.74,489.9,481.51,482.25,483.03,174913212000.0,149339470000.0,43127064.0,4.14,-58126352.0,1754532099
BK1037,消费电子,1750.4,1.22,21.12,14685973.0,33205125488.0,1.06,1754.27,1735.87,1735.87,1729.28,2451815584000.0,2142106880000.0,1350640640.0,4.07,-321317376.0,1754532099
BK1036,半导体,1618.8,1.2,19.19,7209751.0,31493922934.0,1.49,1623.56,1599.67,1599.84,1599.61,4956976896000.0,3575742512000.0,733557248.0,2.33,-317116160.0,1754532099
BK1035,美容护理,1044.23,1.1,11.32,782549.0,2071612913.0,1.63,1044.56,1027.7,1035.89,1032.91,312085680000.0,240830737000.0,48050167.0,2.32,-36249328.0,1754532099
BK0727,医疗服务,1294.49,1.06,13.53,4185009.0,7273676568.0,1.61,1300.4,1279.8,1281.58,1280.96,833379840000.0,704883808000.0,-57979424.0,-0.8,169621840.0,1754532099
BK1042,医药商业,1164.41,0.91,10.46,1404252.0,1937498155.0,1.3,1166.19,1151.22,1151.81,1153.95,346962640000.0,300304592000.0,5331138.0,0.28,4440064.0,1754532099
BK0440,家用轻工,49556.1,0.89,439.11,1466727.0,2330115375.0,0.99,49579.13,49091.54,49091.54,49116.99,325503664000.0,255421058000.0,56176599.0,2.41,-18440576.0,1754532099
BK0422,物流行业,7675.84,0.66,50.16,3272308.0,3335802670.0,0.82,7686.22,7624.06,7624.55,7625.68,969958320000.0,837072832000.0,117622000.0,3.53,-58267168.0,1754532099
BK0470,造纸印刷,10251.79,0.58,58.76,1845988.0,1741274931.0,0.44,10262.32,10217.48,10239.46,10193.03,254749299000.0,223066357000.0,-25141895.0,-1.44,22504752.0,1754532099
BK0473,证券,155864.66,0.53,815.72,10434411.0,10757960375.0,1.01,156693.89,155131.21,155181.46,155048.94,3656119680000.0,3004670464000.0,483972416.0,4.5,-300422752.0,1754532099
BK0538,化学制品,28961.48,0.5,143.03,7988884.0,10969433270.0,0.39,28969.24,28855.57,28866.79,28818.45,1433216048000.0,1260276224000.0,-186576160.0,-1.7,287218224.0,1754532099
BK1038,光学光电子,1710.43,0.49,8.34,7588182.0,8597055201.0,0.61,1712.71,1702.25,1702.25,1702.09,1123041952000.0,985384640000.0,-80874544.0,-0.94,108126144.0,1754532099
BK0736,通信服务,1207.37,0.46,5.53,2866394.0,3033646760.0,0.4,1210.65,1205.84,1207.24,1201.84,3447915200000.0,1094288576000.0,-133712903.0,-4.42,95398800.0,1754532099
BK0484,贸易行业,10829.63,0.46,49.55,2512622.0,2256224153.0,0.56,10834.98,10774.59,10781.38,10780.08,331800944000.0,262108757000.0,7254378.0,0.32,19239680.0,1754532099
BK0482,商业百货,17926.52,0.4,72.03,3370847.0,2367332160.0,0.64,17935.75,17821.33,17844.11,17854.49,581920160000.0,535161696000.0,10715959.0,0.45,1760032.0,1754532099
