股票代码,名称,上市日期,上市状态,终止/暂停上市日期
sh600001,邯郸钢铁,1998-01-22,终止上市,2009-12-29
sh600002,齐鲁退市,1998-04-08,终止上市,2006-04-24
sh600003,ST东北高,1999-08-10,终止上市,2010-02-26
sh600005,武钢股份,1999-08-03,终止上市,2017-02-14
sh600065,*ST联 谊,1997-05-23,终止上市,2007-12-13
sh600068,葛洲坝,1997-05-26,终止上市,2021-09-13
sh600069,退市银鸽,1997-04-30,终止上市,2020-08-28
sh600070,*ST富润,1997-06-04,终止上市,2025-04-30
sh600074,退市保千,1997-06-23,终止上市,2020-06-03
sh600077,*ST宋都,1997-05-20,终止上市,2023-07-25
sh600083,*ST博信,1997-06-06,终止上市,2025-03-05
sh600086,退市金钰,1997-06-06,终止上市,2021-03-18
sh600087,退市长油,1997-06-12,终止上市,2014-06-05
sh600090,退市济堂,1997-06-16,终止上市,2022-07-07
sh600091,退市明科,1997-07-04,终止上市,2022-06-21
sh600092,*ST精 密,1997-06-26,终止上市,2006-11-30
sh600093,退市易见,1997-06-26,终止上市,2022-06-23
sh600102,莱钢股份,1997-08-28,终止上市,2012-02-28
sh600112,*ST天成,1997-11-27,终止上市,2024-08-15
sh600122,*ST宏图,1998-04-20,终止上市,2023-06-26
sh600139,*ST西源,1998-02-25,终止上市,2023-03-27
sh600145,退市新亿,1999-09-23,终止上市,2022-04-28
sh600146,退市环球,1999-07-07,终止上市,2022-06-30
sh600175,退市美都,1999-04-08,终止上市,2020-08-17
sh600181,*ST云 大,1998-09-28,终止上市,2007-06-01
sh600190,退市锦港,1998-05-19,终止上市,2025-07-28
sh600190,退市锦港,1999-06-09,终止上市,2025-07-28
sh600205,S山东铝,1999-06-30,终止上市,2007-04-30
sh600209,退市罗顿,1999-03-25,终止上市,2022-06-22
sh600213,*ST亚星,1999-08-31,终止上市,2024-10-17
sh600220,ST阳光,1999-09-27,终止上市,2024-07-10
sh600225,退市卓朗,2000-01-27,终止上市,2025-03-06
sh600240,退市华业,2000-06-28,终止上市,2020-02-06
sh600242,退市中昌,2000-12-07,终止上市,2023-06-29
sh600247,*ST成城,2000-11-23,终止上市,2021-03-22
sh600253,天方药业,2000-12-27,终止上市,2013-07-15
sh600260,*ST凯乐,2000-07-06,终止上市,2023-02-15
sh600263,路桥建设,2000-07-25,终止上市,2012-03-01
sh600270,外运发展,2000-12-28,终止上市,2018-12-28
sh600275,退市昌鱼,2000-08-10,终止上市,2022-06-22
sh600277,ST亿利,2000-07-25,终止上市,2024-07-18
sh600286,*ST国 瓷,1999-12-09,终止上市,2007-05-31
sh600290,*ST华仪,2000-11-06,终止上市,2024-01-16
sh600291,退市西水,2000-07-31,终止上市,2022-06-14
sh600296,S兰铝,2000-07-19,终止上市,2007-04-30
sh600297,广汇汽车,2000-11-16,终止上市,2024-08-28
sh600306,退市商城,2000-12-26,终止上市,2024-06-26
sh600311,*ST荣华,2001-06-26,终止上市,2023-03-27
sh600317,营口港,2002-01-31,终止上市,2021-01-29
sh600321,正源股份,2001-05-24,终止上市,2024-06-27
sh600357,承德钒钛,2002-09-06,终止上市,2009-12-29
sh600385,退市金泰,2001-07-23,终止上市,2022-07-07
sh600387,退市海越,2004-02-18,终止上市,2025-07-11
sh600393,ST粤泰,2001-03-19,终止上市,2023-07-18
sh600401,退市海润,2003-09-24,终止上市,2019-07-15
sh600432,退市吉恩,2003-09-05,终止上市,2018-07-13
sh600462,退市九有,2003-09-03,终止上市,2025-07-21
sh600466,*ST蓝光,2001-02-12,终止上市,2023-06-06
sh600472,包头铝业,2005-05-09,终止上市,2007-12-26
sh600485,*ST信威,2003-08-07,终止上市,2021-06-01
sh600532,退市未来,2002-10-31,终止上市,2023-06-28
sh600553,太行水泥,2002-08-22,终止上市,2011-02-18
sh600555,退市海创,2001-03-28,终止上市,2022-07-14
sh600555,退市海创,1999-01-18,终止上市,2022-07-14
sh600565,ST迪马,2002-07-23,终止上市,2024-08-07
sh600591,*ST上航,2002-10-11,终止上市,2010-01-25
sh600607,上实医药,1992-03-27,终止上市,2010-02-12
sh600614,退市鹏起,1992-08-28,终止上市,2021-07-22
sh600614,退市鹏起,1992-07-28,终止上市,2021-07-22
sh600625,PT水  仙,1994-11-10,终止上市,2001-04-25
sh600625,PT水  仙,1993-01-06,终止上市,2001-04-25
sh600627,上电股份,1993-01-18,终止上市,2008-11-26
sh600631,百联股份,1993-02-19,终止上市,2011-08-23
sh600632,华联商厦,1993-02-19,终止上市,2004-11-18
sh600634,退市富控,1993-03-04,终止上市,2021-07-22
sh600646,ST国  嘉,1993-05-04,终止上市,2003-09-23
sh600647,退市同达,1993-05-04,终止上市,2024-07-03
sh600652,退市游久,1990-12-19,终止上市,2022-06-21
sh600656,退市博元,1990-12-19,终止上市,2016-05-13
sh600659,*ST花 雕,1993-05-28,终止上市,2006-03-23
sh600669,*ST鞍 成,1993-08-06,终止上市,2004-09-15
sh600670,*ST斯 达,1993-08-09,终止上市,2004-09-24
sh600672,*ST华 圣,1993-09-17,终止上市,2005-08-05
sh600677,*ST航通,1993-09-28,终止上市,2021-03-18
sh600680,*ST上普,1994-10-20,终止上市,2019-05-24
sh600680,*ST上普,1993-10-18,终止上市,2019-05-24
sh600687,退市刚泰,1993-11-08,终止上市,2021-03-04
sh600695,退市绿庭,1993-11-22,终止上市,2022-06-15
sh600695,退市绿庭,1993-12-15,终止上市,2022-06-15
sh600700,*ST数 码,1996-04-30,终止上市,2005-09-20
sh600701,退市工新,1996-05-28,终止上市,2021-05-06
sh600705,中航产融,1996-05-16,终止上市,2025-05-27
sh600709,ST生  态,1996-06-18,终止上市,2003-05-26
sh600723,首商股份,1996-07-16,终止上市,2021-10-22
sh600747,退市大控,1996-09-16,终止上市,2019-12-13
sh600752,*ST哈 慈,1996-09-25,终止上市,2005-09-22
sh600762,*ST金 荔,1996-10-25,终止上市,2007-11-20
sh600766,退市园城,1996-10-28,终止上市,2024-07-03
sh600767,退市运盛,1996-11-15,终止上市,2023-06-29
sh600772,*ST龙 昌,1996-11-04,终止上市,2006-11-30
sh600781,退市辅仁,1996-12-18,终止上市,2023-06-28
sh600786,东锅退市,1996-12-27,终止上市,2008-03-24
sh600788,*ST达 曼,1996-12-30,终止上市,2005-03-25
sh600799,*ST龙 科,1997-04-16,终止上市,2006-01-04
sh600804,退市鹏博,1994-01-03,终止上市,2025-07-03
sh600806,退市昆机,1994-01-03,终止上市,2018-07-13
sh600811,*ST东方,1994-01-06,终止上市,2025-04-30
sh600813,ST鞍一工,1994-01-14,终止上市,2002-09-16
sh600823,*ST世茂,1994-02-04,终止上市,2024-06-14
sh600832,东方明珠,1994-02-24,终止上市,2015-05-20
sh600836,*ST易连,1994-02-24,终止上市,2024-07-11
sh600837,海通证券,1994-02-24,终止上市,2025-03-04
sh600840,新湖创业,1994-03-11,终止上市,2009-08-27
sh600842,中西药业,1994-03-11,终止上市,2010-02-12
sh600852,*ST中 川,1994-04-04,终止上市,2005-09-16
sh600856,退市中天,1994-04-25,终止上市,2022-06-22
sh600870,退市厦华,1995-02-28,终止上市,2022-06-30
sh600878,*ST北 科,1995-10-13,终止上市,2004-09-15
sh600890,退市中房,1996-03-18,终止上市,2022-06-21
sh600891,退市秋林,1996-03-25,终止上市,2021-05-12
sh600896,退市海医,1996-05-03,终止上市,2022-07-25
sh600898,*ST美讯,1996-04-18,终止上市,2025-02-10
sh600899,*ST信 联,1996-04-26,终止上市,2005-09-21
sh600978,*ST宜生,2004-08-24,终止上市,2021-03-22
sh600991,广汽长丰,2004-06-14,终止上市,2012-03-20
sh601028,玉龙股份,2011-11-07,终止上市,2025-05-27
