股票代码,名称,上市日期,上市状态,终止/暂停上市日期
sz000003,PT金田Ａ,1991-01-14,终止上市,2002-06-14
sz000005,ST星源,1990-12-10,终止上市,2024-04-26
sz000013,*ST石化A,1992-05-06,终止上市,2004-09-20
sz000015,PT中浩Ａ,1992-06-25,终止上市,2001-10-25
sz000018,神城A退,1992-06-16,终止上市,2020-01-07
sz000023,*ST深天,1993-04-29,终止上市,2024-09-02
sz000024,招商地产,1993-06-07,终止上市,2015-12-30
sz000033,新都退,1994-01-03,终止上市,2017-07-07
sz000038,大通退,1994-08-08,终止上市,2023-07-12
sz000040,*ST旭蓝,1994-08-08,终止上市,2025-04-30
sz000046,*ST泛海,1994-09-12,终止上市,2024-02-07
sz000047,ST 中 侨,1994-10-21,终止上市,2003-05-30
sz000150,*ST宜康,2000-08-07,终止上市,2023-06-09
sz000405,ST 鑫 光,1996-06-20,终止上市,2004-03-19
sz000406,大明退市,1996-06-28,终止上市,2006-04-21
sz000412,ST 五 环,1996-07-15,终止上市,2003-09-19
sz000413,ST旭电,1996-09-25,终止上市,2024-10-11
sz000416,*ST民控,1996-07-19,终止上市,2024-06-05
sz000418,小天鹅Ａ,1997-03-28,终止上市,2019-06-21
sz000502,绿景退,1992-11-23,终止上市,2022-06-27
sz000508,琼民源Ａ,1993-04-30,终止上市,1999-07-12
sz000511,烯碳退,1993-05-18,终止上市,2018-07-18
sz000515,攀渝钛业,1993-07-12,终止上市,2009-05-06
sz000522,白云山Ａ,1993-11-08,终止上市,2013-04-26
sz000527,美的电器,1993-11-12,终止上市,2013-09-18
sz000535,*ST 猴王,1993-11-30,终止上市,2005-09-21
sz000540,*ST中天,1994-02-02,终止上市,2023-06-30
sz000542,TCL 通讯,1993-12-01,终止上市,2004-01-13
sz000549,S 湘火炬,1993-12-20,终止上市,2007-04-27
sz000556,PT 南 洋,1994-05-25,终止上市,2002-06-03
sz000562,宏源证券,1994-02-02,终止上市,2015-01-26
sz000569,长城股份,1994-04-25,终止上市,2009-05-06
sz000578,盐湖集团,1995-03-03,终止上市,2011-03-22
sz000583,*ST 托普,1995-11-01,终止上市,2007-05-21
sz000584,工智退,1995-11-28,终止上市,2025-07-11
sz000585,东电退,1995-12-13,终止上市,2022-05-24
sz000587,*ST金洲,1996-04-25,终止上市,2023-04-03
sz000588,PT粤金曼,1996-01-23,终止上市,2001-06-16
sz000594,国恒退,1996-03-20,终止上市,2015-07-13
sz000602,金马退市,1996-08-19,终止上市,2013-08-14
sz000606,顺利退,1996-10-04,终止上市,2023-07-06
sz000611,天首退,1996-10-08,终止上市,2022-06-28
sz000613,东海A退,1997-01-28,终止上市,2022-06-29
sz000616,*ST海投,1996-11-08,终止上市,2023-08-23
sz000618,吉化退市,1996-10-15,终止上市,2006-02-20
sz000621,*ST 比特,1996-11-05,终止上市,2004-09-27
sz000622,恒立退,1996-11-07,终止上市,2025-07-16
sz000653,ST 九 州,1996-11-26,终止上市,2002-09-13
sz000658,ST 海 洋,1996-12-18,终止上市,2002-09-20
sz000660,*ST 南华,1996-12-09,终止上市,2004-09-13
sz000662,天夏退,1996-12-16,终止上市,2021-04-12
sz000666,经纬纺机,1996-12-10,终止上市,2023-10-26
sz000667,ST美置,1996-12-05,终止上市,2023-07-14
sz000671,ST阳光城,1996-12-18,终止上市,2023-08-16
sz000673,当代退,1997-01-24,终止上市,2022-07-04
sz000675,ST 银 山,1996-12-26,终止上市,2002-08-20
sz000687,华讯退,1997-02-21,终止上市,2022-06-17
sz000689,ST 宏 业,1996-12-31,终止上市,2002-09-05
sz000693,华泽退,1997-02-26,终止上市,2019-07-09
sz000699,*ST 佳纸,1997-03-10,终止上市,2007-04-04
sz000730,*ST 环保,1997-05-22,终止上市,2004-09-24
sz000732,ST泰禾,1997-07-04,终止上市,2023-08-04
sz000748,长城信息,1997-07-04,终止上市,2017-01-18
sz000760,斯太退,1997-06-27,终止上市,2021-07-23
sz000763,锦化退市,1997-09-15,终止上市,2006-01-04
sz000765,*ST 华信,1997-11-03,终止上市,2005-07-04
sz000769,*ST 大菲,1997-05-30,终止上市,2005-09-21
sz000780,ST平能,1997-06-06,终止上市,2022-01-24
sz000787,*ST 创智,1997-06-26,终止上市,2013-02-08
sz000805,*ST炎黄,1998-05-29,终止上市,2013-03-27
sz000806,银河退,1998-04-16,终止上市,2023-07-06
sz000817,辽油退市,1998-05-28,终止上市,2006-01-04
sz000827,*ST 长兴,1998-10-16,终止上市,2005-09-21
sz000832,*ST 龙涤,1998-08-25,终止上市,2006-06-29
sz000835,长动退,1999-06-25,终止上市,2022-05-23
sz000836,ST富通,1997-09-29,终止上市,2024-08-12
sz000861,海印股份,1998-10-28,终止上市,2024-09-18
sz000866,扬子退市,1998-05-12,终止上市,2006-04-21
sz000916,华北高速,1999-09-27,终止上市,2017-12-25
sz000918,*ST嘉凯,1999-07-20,终止上市,2023-07-28
sz000939,凯迪退,1999-09-23,终止上市,2020-12-17
sz000956,中原退市,1999-11-10,终止上市,2006-04-21
sz000961,ST中南,2000-03-01,终止上市,2024-07-11
sz000971,*ST高升,2000-04-27,终止上市,2024-07-24
sz000976,*ST华铁,2000-06-01,终止上市,2024-08-27
sz000979,中弘退,2000-06-16,终止上市,2018-12-28
sz000982,中银绒业,2000-07-06,终止上市,2024-08-12
sz000996,中期退,2000-07-18,终止上市,2024-06-28
sz002002,ST鸿达,2004-06-25,终止上市,2024-03-18
sz002013,中航机电,2004-07-05,终止上市,2023-03-17
sz002018,华信退,2004-07-13,终止上市,2019-11-01
sz002070,众和退,2006-10-12,终止上市,2019-07-09
sz002071,长城退,2006-10-12,终止上市,2021-05-07
sz002087,新纺退,2006-11-30,终止上市,2024-06-28
sz002089,新海退,2006-11-30,终止上市,2024-04-18
sz002113,*ST天润,2007-02-08,终止上市,2023-08-11
sz002118,*ST紫鑫,2007-03-02,终止上市,2023-08-04
sz002143,印纪退,2007-07-20,终止上市,2019-11-29
sz002147,新光退,2007-08-08,终止上市,2022-06-23
sz002220,天宝退,2008-02-28,终止上市,2020-08-11
sz002260,德奥退,2008-07-16,终止上市,2022-06-17
sz002280,ST联络,2009-08-21,终止上市,2024-08-16
sz002288,*ST超华,2009-09-03,终止上市,2024-08-19
sz002308,*ST威创,2009-11-27,终止上市,2024-09-27
sz002325,*ST洪涛,2009-12-22,终止上市,2024-08-15
sz002336,人乐退,2010-01-13,终止上市,2025-07-04
sz002341,ST新纶,2010-01-22,终止上市,2024-08-23
sz002359,北讯退,2010-02-10,终止上市,2021-07-23
sz002411,必康退,2010-05-25,终止上市,2023-07-12
sz002417,深南退,2010-06-01,终止上市,2023-07-10
sz002433,太安退,2010-06-18,终止上市,2024-07-05
sz002435,ST长康,2010-06-18,终止上市,2024-08-15
sz002447,晨鑫退,2010-07-13,终止上市,2022-06-27
sz002450,康得退,2010-07-16,终止上市,2021-05-31
sz002464,众应退,2010-08-31,终止上市,2022-06-28
sz002473,圣莱退,2010-09-10,终止上市,2022-06-22
sz002477,雏鹰退,2010-09-15,终止上市,2019-10-16
sz002499,科林退,2010-11-09,终止上市,2023-04-18
sz002502,ST鼎龙,2010-11-17,终止上市,2024-09-05
sz002503,*ST搜特,2010-11-17,终止上市,2023-08-11
sz002504,*ST弘高,2010-11-18,终止上市,2023-08-21
sz002505,鹏都农牧,2010-11-18,终止上市,2024-08-30
sz002509,天茂退,2010-11-23,终止上市,2020-07-20
sz002604,龙力退,2011-07-28,终止上市,2020-07-15
sz002610,ST爱康,2011-08-15,终止上市,2024-08-12
sz002618,丹邦退,2011-09-20,终止上市,2022-06-22
sz002619,*ST艾格,2011-09-29,终止上市,2022-04-28
sz002621,*ST美吉,2011-09-29,终止上市,2024-08-05
sz002665,ST航高,2012-03-27,终止上市,2024-08-26
sz002680,长生退,2012-06-05,终止上市,2019-11-27
sz002684,猛狮退,2012-06-12,终止上市,2022-06-27
sz002699,*ST美盛,2012-09-11,终止上市,2024-06-05
sz002711,欧浦退,2014-01-27,终止上市,2021-07-15
sz002740,*ST爱迪,2015-01-22,终止上市,2024-03-04
sz002750,龙津退,2015-03-24,终止上市,2025-06-27
sz002751,易尚退,2015-04-24,终止上市,2023-07-13
sz002770,科迪退,2015-06-30,终止上市,2022-06-23
sz002776,*ST柏龙,2015-06-26,终止上市,2024-01-25
sz002781,奇信退,2015-12-22,终止上市,2023-07-05
sz300023,宝德退,2009-10-30,终止上市,2022-06-29
sz300028,金亚退,2009-10-30,终止上市,2020-08-03
sz300038,数知退,2010-01-08,终止上市,2022-06-30
sz300064,金刚退,2010-03-26,终止上市,2022-06-27
sz300089,文化退,2010-06-25,终止上市,2023-07-13
sz300090,盛运退,2010-06-25,终止上市,2020-08-25
sz300104,乐视退,2010-08-12,终止上市,2020-07-21
sz300108,*ST吉药,2010-08-25,终止上市,2025-05-29
sz300116,*ST保力,2010-09-02,终止上市,2024-07-25
sz300117,*ST嘉寓,2010-09-02,终止上市,2025-04-30
sz300156,神雾退,2011-01-07,终止上市,2020-08-25
sz300178,腾邦退,2011-02-15,终止上市,2022-06-22
sz300186,大华农,2011-03-08,终止上市,2015-11-02
sz300202,聚龙退,2011-04-15,终止上市,2022-07-04
sz300208,中程退,2011-04-26,终止上市,2025-07-21
sz300216,千山退,2011-05-11,终止上市,2020-09-16
sz300262,*ST巴安,2011-09-16,终止上市,2024-08-19
sz300273,和佳退,2011-10-26,终止上市,2023-07-06
sz300282,三盛退,2011-12-29,终止上市,2024-07-18
