股票代码,名称,上市日期,上市状态,终止/暂停上市日期
sz000001,平安银行,1991-04-03,正常交易,
sz000002,万  科Ａ,1991-01-29,正常交易,
sz000004,*ST国华,1990-12-01,正常交易,
sz000006,深振业Ａ,1992-04-27,正常交易,
sz000007,全新好,1992-04-13,正常交易,
sz000008,神州高铁,1992-05-07,正常交易,
sz000009,中国宝安,1991-06-25,正常交易,
sz000010,美丽生态,1995-10-27,正常交易,
sz000011,深物业A,1992-03-30,正常交易,
sz000012,南  玻Ａ,1992-02-28,正常交易,
sz000014,沙河股份,1992-06-02,正常交易,
sz000016,深康佳Ａ,1992-03-27,正常交易,
sz000017,深中华A,1992-03-31,正常交易,
sz000019,深粮控股,1992-10-12,正常交易,
sz000020,深华发Ａ,1992-04-28,正常交易,
sz000021,深科技,1994-02-02,正常交易,
sz000025,特  力Ａ,1993-06-21,正常交易,
sz000026,飞亚达,1993-06-03,正常交易,
sz000027,深圳能源,1993-09-03,正常交易,
sz000028,国药一致,1993-08-09,正常交易,
sz000029,深深房Ａ,1993-09-15,正常交易,
sz000030,富奥股份,1993-09-29,正常交易,
sz000031,大悦城,1993-10-08,正常交易,
sz000032,深桑达Ａ,1993-10-28,正常交易,
sz000034,神州数码,1994-05-09,正常交易,
sz000035,中国天楹,1994-04-08,正常交易,
sz000036,华联控股,1994-06-17,正常交易,
sz000037,深南电A,1994-07-01,正常交易,
sz000039,中集集团,1994-04-08,正常交易,
sz000042,中洲控股,1994-09-21,正常交易,
sz000045,深纺织Ａ,1994-08-15,正常交易,
sz000048,京基智农,1994-11-01,正常交易,
sz000049,德赛电池,1995-03-20,正常交易,
sz000050,深天马Ａ,1995-03-15,正常交易,
sz000055,方大集团,1996-04-15,正常交易,
sz000056,皇庭国际,1996-07-08,正常交易,
sz000058,深 赛 格,1996-12-26,正常交易,
sz000059,华锦股份,1997-01-30,正常交易,
sz000060,中金岭南,1997-01-23,正常交易,
sz000061,农 产 品,1997-01-10,正常交易,
sz000062,深圳华强,1997-01-30,正常交易,
sz000063,中兴通讯,1997-11-18,正常交易,
sz000065,北方国际,1998-06-05,正常交易,
sz000066,中国长城,1997-06-26,正常交易,
sz000068,华控赛格,1997-06-11,正常交易,
sz000069,华侨城Ａ,1997-09-10,正常交易,
sz000070,特发信息,2000-05-11,正常交易,
sz000078,海王生物,1998-12-18,正常交易,
sz000088,盐 田 港,1997-07-28,正常交易,
sz000089,深圳机场,1998-04-20,正常交易,
sz000090,天健集团,1999-07-21,正常交易,
sz000096,广聚能源,2000-07-24,正常交易,
sz000099,中信海直,2000-07-31,正常交易,
sz000100,TCL科技,2004-01-30,正常交易,
sz000151,中成股份,2000-09-06,正常交易,
sz000153,丰原药业,2000-09-20,正常交易,
sz000155,川能动力,2000-09-26,正常交易,
sz000156,华数传媒,2000-09-06,正常交易,
sz000157,中联重科,2000-10-12,正常交易,
sz000158,常山北明,2000-07-24,正常交易,
sz000159,国际实业,2000-09-26,正常交易,
sz000166,申万宏源,2015-01-26,正常交易,
sz000301,东方盛虹,2000-05-29,正常交易,
sz000333,美的集团,2013-09-18,正常交易,
sz000338,潍柴动力,2007-04-30,正常交易,
sz000400,许继电气,1997-04-18,正常交易,
sz000401,冀东水泥,1996-06-14,正常交易,
sz000402,金 融 街,1996-06-26,正常交易,
sz000403,派林生物,1996-06-28,正常交易,
sz000404,长虹华意,1996-06-19,正常交易,
sz000407,胜利股份,1996-07-03,正常交易,
sz000408,藏格矿业,1996-06-28,正常交易,
sz000409,云鼎科技,1996-06-27,正常交易,
sz000410,沈阳机床,1996-07-18,正常交易,
sz000411,英特集团,1996-07-16,正常交易,
sz000415,渤海租赁,1996-07-16,正常交易,
sz000417,合百集团,1996-08-12,正常交易,
sz000419,通程控股,1996-08-16,正常交易,
sz000420,吉林化纤,1996-08-02,正常交易,
sz000421,南京公用,1996-08-06,正常交易,
sz000422,湖北宜化,1996-08-15,正常交易,
sz000423,东阿阿胶,1996-07-29,正常交易,
sz000425,徐工机械,1996-08-28,正常交易,
sz000426,兴业银锡,1996-08-28,正常交易,
sz000428,华天酒店,1996-08-08,正常交易,
sz000429,粤高速Ａ,1998-02-20,正常交易,
sz000430,ST张家界,1996-08-29,正常交易,
sz000488,ST晨鸣,2000-11-20,正常交易,
sz000498,山东路桥,1997-06-09,正常交易,
sz000501,武商集团,1992-11-20,正常交易,
sz000503,国新健康,1992-11-30,正常交易,
sz000504,*ST生物,1992-12-08,正常交易,
sz000505,京粮控股,1992-12-21,正常交易,
sz000506,招金黄金,1993-03-12,正常交易,
sz000507,珠海港,1993-03-26,正常交易,
sz000509,华塑控股,1993-05-07,正常交易,
sz000510,新金路,1993-05-07,正常交易,
sz000513,丽珠集团,1993-10-28,正常交易,
sz000514,渝 开 发,1993-07-12,正常交易,
sz000516,国际医学,1993-08-09,正常交易,
sz000517,荣安地产,1993-08-06,正常交易,
sz000518,*ST四环,1993-09-08,正常交易,
sz000519,中兵红箭,1993-10-08,正常交易,
sz000520,凤凰航运,1993-10-25,正常交易,
sz000521,长虹美菱,1993-10-18,正常交易,
sz000523,红棉股份,1993-11-08,正常交易,
sz000524,岭南控股,1993-11-18,正常交易,
sz000525,红太阳,1993-10-28,正常交易,
sz000526,学大教育,1993-11-01,正常交易,
sz000528,柳    工,1993-11-18,正常交易,
sz000529,广弘控股,1993-11-18,正常交易,
sz000530,冰山冷热,1993-12-08,正常交易,
sz000531,穗恒运Ａ,1994-01-06,正常交易,
sz000532,华金资本,1994-01-03,正常交易,
sz000533,顺钠股份,1994-01-03,正常交易,
sz000534,万泽股份,1994-01-10,正常交易,
sz000536,华映科技,1993-11-26,正常交易,
sz000537,中绿电,1993-12-10,正常交易,
sz000538,云南白药,1993-12-15,正常交易,
sz000539,粤电力Ａ,1993-11-26,正常交易,
sz000541,佛山照明,1993-11-23,正常交易,
sz000543,皖能电力,1993-12-20,正常交易,
sz000544,中原环保,1993-12-08,正常交易,
sz000545,金浦钛业,1993-12-15,正常交易,
sz000546,金圆股份,1993-12-15,正常交易,
sz000547,航天发展,1993-11-30,正常交易,
sz000548,湖南投资,1993-12-20,正常交易,
sz000550,江铃汽车,1993-12-01,正常交易,
sz000551,创元科技,1994-01-06,正常交易,
sz000552,甘肃能化,1994-01-06,正常交易,
sz000553,安道麦A,1993-12-03,正常交易,
sz000554,泰山石油,1993-12-15,正常交易,
sz000555,神州信息,1994-04-08,正常交易,
sz000557,西部创业,1994-06-17,正常交易,
sz000558,天府文旅,1994-05-09,正常交易,
sz000559,万向钱潮,1994-01-10,正常交易,
sz000560,我爱我家,1994-02-02,正常交易,
sz000561,烽火电子,1994-05-09,正常交易,
sz000563,陕国投Ａ,1994-01-10,正常交易,
sz000564,供销大集,1994-01-10,正常交易,
sz000565,渝三峡Ａ,1994-04-08,正常交易,
sz000566,海南海药,1994-05-25,正常交易,
sz000567,海德股份,1994-05-25,正常交易,
sz000568,泸州老窖,1994-05-09,正常交易,
sz000570,苏常柴Ａ,1994-07-01,正常交易,
sz000571,新大洲A,1994-05-25,正常交易,
sz000572,海马汽车,1994-08-08,正常交易,
sz000573,粤宏远Ａ,1994-08-15,正常交易,
sz000576,甘化科工,1994-09-07,正常交易,
sz000581,威孚高科,1998-09-24,正常交易,
sz000582,北部湾港,1995-11-02,正常交易,
sz000586,汇源通信,1995-12-20,正常交易,
sz000589,贵州轮胎,1996-03-08,正常交易,
sz000590,启迪药业,1996-01-19,正常交易,
sz000591,太阳能,1996-02-08,正常交易,
sz000592,平潭发展,1996-03-27,正常交易,
sz000593,德龙汇能,1996-03-12,正常交易,
sz000595,*ST宝实,1996-04-19,正常交易,
sz000596,古井贡酒,1996-09-27,正常交易,
sz000597,东北制药,1996-05-23,正常交易,
sz000598,兴蓉环境,1996-05-29,正常交易,
sz000599,青岛双星,1996-04-30,正常交易,
sz000600,建投能源,1996-06-06,正常交易,
sz000601,韶能股份,1996-08-30,正常交易,
sz000603,盛达资源,1996-08-23,正常交易,
sz000605,渤海股份,1996-09-13,正常交易,
sz000607,华媒控股,1996-08-30,正常交易,
sz000608,*ST阳光,1996-09-19,正常交易,
sz000609,ST中迪,1996-10-10,正常交易,
sz000610,西安旅游,1996-09-26,正常交易,
sz000612,焦作万方,1996-09-26,正常交易,
sz000615,*ST美谷,1996-10-16,正常交易,
sz000617,中油资本,1996-10-22,正常交易,
sz000619,海螺新材,1996-10-23,正常交易,
sz000620,盈新发展,1996-10-29,正常交易,
