交易日期,证券代码,股票名称,收盘价,开盘价,最高价,最低价,涨跌幅,换手率,成交量,成交额,前收盘价,流通市值
2003-04-28,sh600004,白云机场,8.75,7.72,8.76,7.69,48.81,7.92,1874699,1512258214.0000002,5.88,21063792718.7
2003-04-29,sh600004,白云机场,8.49,8.5,8.71,8.27,-2.97,3.18,752128,635863436.0,8.75,21063792718.7
2003-04-30,sh600004,白云机场,8.86,8.55,9.1,8.55,4.36,3.39,801225,710063498.0,8.49,21063792718.7
2003-05-12,sh600004,白云机场,8.68,8.7,8.87,8.3,-2.03,1.53,361223,308806284.0,8.86,21063792718.7
2003-05-13,sh600004,白云机场,8.09,8.64,8.66,8.0,-6.8,1.66,392776,325715933.00000006,8.68,21063792718.7
2003-05-14,sh600004,白云机场,8.35,8.0,8.49,7.92,3.21,1.28,303873,253425348.0,8.09,21063792718.7
2003-05-15,sh600004,白云机场,8.55,8.33,8.59,8.16,2.4,1.19,281839,236834456.0,8.35,21063792718.7
2003-05-16,sh600004,白云机场,8.56,8.55,8.68,8.36,0.12,1.52,360651,307204529.0,8.55,21063792718.7
2003-05-19,sh600004,白云机场,8.75,8.6,8.98,8.6,2.22,1.95,462504,407544272.0,8.56,21063792718.7
2003-05-20,sh600004,白云机场,8.68,8.75,8.83,8.55,-0.8,0.72,170675,147727684.0,8.75,21063792718.7
2003-05-21,sh600004,白云机场,8.6,8.68,8.77,8.52,-0.92,0.54,128595,110939930.0,8.68,21063792718.7
2003-05-22,sh600004,白云机场,8.65,8.58,8.72,8.5,0.58,0.44,103012,88781118.0,8.6,21063792718.7
2003-05-23,sh600004,白云机场,9.12,8.7,9.52,8.51,5.43,3.08,729267,670901997.0,8.65,21063792718.7
2003-05-26,sh600004,白云机场,9.15,9.1,9.4,9.09,0.33,1.97,467181,431132436.0,9.12,21063792718.7
2003-05-27,sh600004,白云机场,9.15,9.19,9.29,9.06,0.0,0.85,201880,184901453.0,9.15,21063792718.7
2003-05-28,sh600004,白云机场,9.02,9.2,9.28,8.98,-1.42,1.4,331831,302104859.0,9.15,21063792718.7
2003-05-29,sh600004,白云机场,9.35,9.02,9.37,8.96,3.66,0.97,230255,210900164.00000003,9.02,21063792718.7
2003-05-30,sh600004,白云机场,9.23,9.38,9.53,9.2,-1.28,1.1,260117,244128620.00000003,9.35,21063792718.7
2003-06-02,sh600004,白云机场,9.28,9.25,9.47,9.2,0.54,0.91,215820,201804921.0,9.23,21063792718.7
2003-06-03,sh600004,白云机场,9.18,9.3,9.37,9.17,-1.08,0.56,132267,122447236.0,9.28,21063792718.7
2003-06-04,sh600004,白云机场,9.27,9.16,9.3,9.08,0.98,0.52,122370,112488205.0,9.18,21063792718.7
2003-06-05,sh600004,白云机场,9.15,9.22,9.29,9.09,-1.29,0.51,121087,110737203.00000001,9.27,21063792718.7
2003-06-06,sh600004,白云机场,9.16,9.1,9.28,9.07,0.11,0.41,97158,88911859.0,9.15,21063792718.7
2003-06-09,sh600004,白云机场,9.12,9.09,9.2,9.08,-0.44,0.29,69466,63322600.99999999,9.16,21063792718.7
2003-06-10,sh600004,白云机场,9.29,9.12,9.39,9.11,1.86,0.72,169545,157420724.0,9.12,21063792718.7
2003-06-11,sh600004,白云机场,9.4,9.3,9.47,9.26,1.18,0.59,139923,131429944.0,9.29,21063792718.7
2003-06-12,sh600004,白云机场,9.32,9.44,9.45,9.28,-0.85,0.38,89165,83354483.0,9.4,21063792718.7
2003-06-13,sh600004,白云机场,9.32,9.36,9.45,9.29,0.0,0.28,66772,62495500.00000001,9.32,21063792718.7
2003-06-16,sh600004,白云机场,9.27,9.32,9.38,9.17,-0.54,0.28,66458,61435524.00000001,9.32,21063792718.7
2003-06-17,sh600004,白云机场,9.19,9.22,9.27,9.15,-0.86,0.21,50694,46610786.0,9.27,21063792718.7
2003-06-18,sh600004,白云机场,9.14,9.19,9.32,9.12,-0.54,0.26,60741,55781138.0,9.19,21063792718.7
2003-06-19,sh600004,白云机场,9.07,9.13,9.19,9.01,-0.77,0.28,65326,59409928.0,9.14,21063792718.7
2003-06-20,sh600004,白云机场,9.08,9.3,9.3,9.03,0.11,0.22,51423,46895164.0,9.07,21063792718.7
2003-06-23,sh600004,白云机场,9.05,9.06,9.12,8.96,-0.33,0.29,69395,62547673.0,9.08,21063792718.7
2003-06-24,sh600004,白云机场,9.05,9.03,9.1,8.97,0.0,0.13,31286,28250536.0,9.05,21063792718.7
2003-06-25,sh600004,白云机场,8.7,9.09,9.1,8.68,-3.87,0.82,194631,171431596.99999997,9.05,21063792718.7
2003-06-26,sh600004,白云机场,8.7,8.7,8.7,8.7,0.0,0.0,0,0.0,8.7,21063792718.7
2003-06-27,sh600004,白云机场,8.71,8.8,8.92,8.63,0.11,0.48,114519,100730062.00000001,8.7,21063792718.7
2003-06-30,sh600004,白云机场,8.69,8.7,8.84,8.65,-0.23,0.2,47543,41484932.0,8.71,21063792718.7
2003-07-01,sh600004,白云机场,8.71,8.69,8.87,8.68,0.23,0.2,46700,40975090.0,8.69,21063792718.7
2003-07-02,sh600004,白云机场,8.85,8.75,8.86,8.68,1.61,0.16,37823,33290309.000000004,8.71,21063792718.7
2003-07-03,sh600004,白云机场,8.93,8.85,8.94,8.75,0.9,0.18,43737,38777601.0,8.85,21063792718.7
2003-07-04,sh600004,白云机场,8.88,8.92,9.05,8.87,-0.56,0.22,51676,46344703.0,8.93,21063792718.7
2003-07-07,sh600004,白云机场,8.83,8.85,8.92,8.76,-0.56,0.15,34914,30836115.999999996,8.88,21063792718.7
2003-07-08,sh600004,白云机场,8.93,8.81,8.97,8.81,1.13,0.11,26715,23762125.999999996,8.83,21063792718.7
2003-07-09,sh600004,白云机场,8.79,8.86,8.93,8.73,-1.57,0.19,45796,40313934.0,8.93,21063792718.7
2003-07-10,sh600004,白云机场,9.07,8.75,9.17,8.74,3.19,0.61,144008,130383787.99999999,8.79,21063792718.7
2003-07-11,sh600004,白云机场,9.04,9.09,9.1,8.94,-0.33,0.25,59065,53304646.0,9.07,21063792718.7
2003-07-14,sh600004,白云机场,9.13,9.05,9.24,8.99,1.0,0.56,131615,120738561.0,9.04,21063792718.7
