交易日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2001-04-12,23.99,26.9,27.19,23.71,610630.0,1546109000.0,36.94,185.56,17.48,67.85
2001-04-13,26.81,27.69,27.75,26.61,137387.0,372903000.0,4.24,2.94,0.79,15.27
2001-04-16,27.95,27.9,28.08,27.51,65444.0,182047000.0,2.06,0.76,0.21,7.27
2001-04-17,27.93,28.45,28.97,27.92,70371.0,200163000.0,3.76,1.97,0.55,7.82
2001-04-18,28.5,28.3,28.9,27.85,60433.0,171151000.0,3.69,-0.53,-0.15,6.71
2001-04-19,28.11,28.7,28.78,28.1,49988.0,141975000.0,2.4,1.41,0.4,5.55
2001-04-20,28.75,27.95,29.3,27.5,42535.0,122011000.0,6.27,-2.61,-0.75,4.73
2001-04-23,27.85,27.18,28.14,26.88,44002.0,120415000.0,4.51,-2.75,-0.77,4.89
2001-04-24,27.25,27.11,27.48,26.98,18658.0,50712000.0,1.84,-0.26,-0.07,2.07
2001-04-25,27.19,25.94,27.3,25.82,51568.0,135940000.0,5.46,-4.32,-1.17,5.73
2001-04-26,26.0,26.2,26.85,25.9,21493.0,56588000.0,3.66,1.0,0.26,2.39
2001-04-27,26.2,26.55,26.75,26.2,8177.0,21681000.0,2.1,1.34,0.35,0.91
2001-04-30,26.6,26.65,26.9,26.4,10387.0,27640000.0,1.88,0.38,0.1,1.15
2001-05-08,26.6,26.64,27.0,26.3,4499.0,11997191.0,2.63,-0.04,-0.01,0.5
2001-05-09,26.62,25.99,26.8,25.98,13252.0,34645000.0,3.08,-2.44,-0.65,1.47
2001-05-10,25.99,26.03,26.37,25.95,7201.0,18743000.0,1.62,0.15,0.04,0.8
2001-05-11,26.06,26.6,26.65,26.0,5438.0,14345000.0,2.5,2.19,0.57,0.6
2001-05-14,26.6,27.19,27.44,26.51,18398.0,49772000.0,3.5,2.22,0.59,2.04
2001-05-15,27.35,27.07,27.4,26.88,11665.0,31535000.0,1.91,-0.44,-0.12,1.3
2001-05-16,27.0,27.1,27.3,26.7,6311.0,16998000.0,2.22,0.11,0.03,0.7
2001-05-17,27.28,26.76,27.49,26.7,8566.0,23081000.0,2.92,-1.25,-0.34,0.95
2001-05-18,26.11,26.79,27.09,26.11,9822.0,26172000.0,3.66,0.11,0.03,1.09
2001-05-21,26.79,26.6,26.99,26.52,7738.0,20629000.0,1.75,-0.71,-0.19,0.86
2001-05-22,26.68,26.5,26.75,26.41,7289.0,19327000.0,1.28,-0.38,-0.1,0.81
2001-05-23,26.5,26.27,26.51,26.15,9049.0,23792000.0,1.36,-0.87,-0.23,1.01
2001-05-24,26.27,26.37,26.85,26.18,11293.0,29911000.0,2.55,0.38,0.1,1.25
2001-05-25,26.68,26.21,26.68,26.05,6193.0,16227000.0,2.39,-0.61,-0.16,0.69
2001-05-28,26.2,25.23,26.2,25.0,20073.0,50997000.0,4.58,-3.74,-0.98,2.23
2001-05-29,25.2,25.15,25.53,25.04,6207.0,15666000.0,1.94,-0.32,-0.08,0.69
2001-05-30,25.35,25.62,25.65,25.2,4883.0,12411000.0,1.79,1.87,0.47,0.54
2001-05-31,25.7,25.38,25.8,25.3,9802.0,24982000.0,1.95,-0.94,-0.24,1.09
2001-06-01,25.38,25.9,25.95,25.31,4989.0,12829000.0,2.52,2.05,0.52,0.55
2001-06-04,26.1,26.35,26.58,25.9,7336.0,19256000.0,2.63,1.74,0.45,0.82
2001-06-05,26.35,26.85,26.92,26.3,14372.0,38463000.0,2.35,1.9,0.5,1.6
2001-06-06,26.9,26.42,26.9,26.35,3971.0,10541000.0,2.05,-1.6,-0.43,0.44
2001-06-07,26.5,26.25,26.61,26.16,8035.0,21129000.0,1.7,-0.64,-0.17,0.89
2001-06-08,26.1,26.63,27.0,25.0,5899.0,15582000.0,7.62,1.45,0.38,0.66
2001-06-11,26.63,26.31,26.78,26.25,5056.0,13370000.0,1.99,-1.2,-0.32,0.56
2001-06-12,26.25,26.66,26.7,26.25,8369.0,22175000.0,1.71,1.33,0.35,0.93
2001-06-13,26.67,27.09,27.16,26.6,10438.0,28106000.0,2.1,1.61,0.43,1.16
2001-06-14,27.09,26.58,27.48,26.5,13271.0,36043000.0,3.62,-1.88,-0.51,1.47
2001-06-15,26.45,27.02,27.04,26.3,8311.0,22146000.0,2.78,1.66,0.44,0.92
2001-06-18,27.02,26.44,27.18,26.2,3933.0,10448000.0,3.63,-2.15,-0.58,0.44
2001-06-20,26.52,26.13,26.61,26.12,4421.0,11671000.0,1.85,-1.17,-0.31,0.49
2001-06-21,26.06,26.29,26.43,26.06,5853.0,15390000.0,1.42,0.61,0.16,0.65
2001-06-22,26.52,26.0,26.52,25.95,7034.0,18355000.0,2.17,-1.1,-0.29,0.78
2001-06-25,26.08,26.16,26.31,25.91,7820.0,20366000.0,1.54,0.62,0.16,0.87
2001-06-26,26.2,26.89,27.2,26.2,14293.0,38157000.0,3.82,2.79,0.73,1.59
2001-06-27,26.9,26.9,26.98,26.4,6012.0,16023000.0,2.16,0.04,0.01,0.67
2001-06-28,26.88,26.47,27.08,26.44,7197.0,19154000.0,2.38,-1.6,-0.43,0.8
2001-06-29,26.48,26.25,26.79,26.15,4228.0,11140000.0,2.42,-0.83,-0.22,0.47
2001-07-02,26.3,26.18,26.44,26.0,3088.0,8098000.0,1.68,-0.27,-0.07,0.34
2001-07-03,26.16,26.27,26.27,26.01,5494.0,14315000.0,0.99,0.34,0.09,0.61
2001-07-04,26.27,25.95,26.39,25.9,5051.0,13145000.0,1.87,-1.22,-0.32,0.56
2001-07-05,25.9,25.64,25.95,25.58,6353.0,16329000.0,1.43,-1.19,-0.31,0.71
2001-07-06,25.66,25.56,25.75,25.51,2778.0,7115000.0,0.94,-0.31,-0.08,0.31
2001-07-09,25.56,25.8,25.9,25.5,2133.0,5465000.0,1.56,0.94,0.24,0.24
2001-07-10,25.82,25.96,26.0,25.69,3467.0,8974000.0,1.2,0.62,0.16,0.39
2001-07-11,25.96,25.55,26.05,25.5,2993.0,7704000.0,2.12,-1.58,-0.41,0.33
2001-07-12,25.5,26.0,26.1,25.38,3329.0,8572000.0,2.82,1.76,0.45,0.37
2001-07-13,26.18,25.78,26.19,25.7,1640.0,4233878.0,1.88,-0.85,-0.22,0.18
2001-07-16,26.0,25.39,26.26,25.35,3192.0,8164000.0,3.53,-1.51,-0.39,0.35
2001-07-17,25.4,24.9,25.5,24.5,6619.0,16459000.0,3.94,-1.93,-0.49,0.74
2001-07-18,25.0,25.1,25.2,24.9,2074.0,5195000.0,1.2,0.8,0.2,0.23
2001-07-19,25.1,25.34,25.35,25.01,2540.0,6404000.0,1.35,0.96,0.24,0.28
2001-07-20,25.39,26.34,26.55,25.28,11033.0,28847000.0,5.01,3.95,1.0,1.23
2001-07-23,26.55,26.05,26.65,25.97,11952.0,31446000.0,2.58,-1.1,-0.29,1.33
2001-07-24,26.02,25.6,26.08,25.48,5503.0,14156000.0,2.3,-1.73,-0.45,0.61
2001-07-25,25.4,25.03,25.6,24.9,6355.0,16007000.0,2.73,-2.23,-0.57,0.71
2001-07-26,25.0,24.45,25.17,24.3,22026.0,54001000.0,3.48,-2.32,-0.58,2.45
2001-07-27,24.4,24.4,24.78,24.32,5044.0,12349000.0,1.88,-0.2,-0.05,0.56
2001-07-30,24.32,22.87,24.35,22.5,8543.0,20104000.0,7.58,-6.27,-1.53,0.95
2001-07-31,22.85,22.05,23.65,21.88,14921.0,33917000.0,7.74,-3.59,-0.82,1.66
2001-08-01,22.3,23.4,24.2,22.3,21287.0,49090000.0,8.62,6.12,1.35,2.37
2001-08-02,23.57,23.58,23.7,22.58,10876.0,25026000.0,4.79,0.77,0.18,1.21
2001-08-03,23.58,23.64,23.87,23.2,6787.0,16025000.0,2.84,0.25,0.06,0.75
2001-08-06,23.57,22.68,23.58,22.5,4934.0,11273000.0,4.57,-4.06,-0.96,0.55
2001-08-07,22.79,23.0,23.3,22.48,5043.0,11506000.0,3.62,1.41,0.32,0.56
2001-08-08,23.0,22.76,23.17,22.75,4107.0,9395000.0,1.83,-1.04,-0.24,0.46
2001-08-09,23.7,23.4,23.7,22.8,4232.0,9870000.0,3.95,2.81,0.64,0.47
2001-08-10,23.55,23.49,23.7,23.31,4926.0,11560000.0,1.67,0.38,0.09,0.55
2001-08-13,23.49,23.25,23.62,23.0,3407.0,7901000.0,2.64,-1.02,-0.24,0.38
2001-08-14,23.5,23.24,23.68,23.1,3494.0,8155000.0,2.49,-0.04,-0.01,0.39
2001-08-15,23.86,23.47,23.86,23.3,3655.0,8570000.0,2.41,0.99,0.23,0.41
2001-08-16,23.5,23.13,23.65,23.13,3879.0,9079000.0,2.22,-1.45,-0.34,0.43
2001-08-17,23.0,23.21,23.68,23.0,6360.0,14764000.0,2.94,0.35,0.08,0.71
2001-08-20,23.19,23.3,23.46,23.01,5358.0,12396000.0,1.94,0.39,0.09,0.6
2001-08-21,23.35,23.42,23.65,23.35,2392.0,5617000.0,1.29,0.52,0.12,0.27
2001-08-22,23.31,23.19,23.38,23.0,5832.0,13509000.0,1.62,-0.98,-0.23,0.65
2001-08-23,23.06,23.22,23.44,22.7,3551.0,8246000.0,3.19,0.13,0.03,0.39
2001-08-24,23.48,22.98,23.55,22.9,3615.0,8386000.0,2.8,-1.03,-0.24,0.4
2001-08-27,22.85,22.04,22.96,22.0,18029.0,39910000.0,4.18,-4.09,-0.94,2.0
2001-08-28,21.98,21.37,21.98,20.75,27435.0,57822000.0,5.58,-3.04,-0.67,3.05
2001-08-29,21.41,21.28,21.61,21.18,7359.0,15766000.0,2.01,-0.42,-0.09,0.82
2001-08-30,21.2,21.06,21.35,21.0,1597.0,3378000.0,1.64,-1.03,-0.22,0.18
2001-08-31,21.06,20.15,21.25,20.0,8156.0,16767000.0,5.94,-4.32,-0.91,0.91
2001-09-03,20.0,19.12,20.0,18.95,22946.0,44026000.0,5.21,-5.11,-1.03,2.55
2001-09-04,19.0,19.73,19.84,18.85,7134.0,13861000.0,5.18,3.19,0.61,0.79
