交易日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
1999-01-07,11.8,11.72,11.88,10.8,290307.0,326244448.0,20.42,121.55,6.43,72.58
1999-01-08,11.6,11.87,12.18,11.55,137453.0,164014608.0,5.38,1.28,0.15,34.36
1999-01-11,11.85,11.95,12.16,11.66,76335.0,90845456.0,4.21,0.67,0.08,19.08
1999-01-12,11.9,11.4,12.13,11.38,74703.0,87531864.0,6.28,-4.6,-0.55,18.68
1999-01-13,11.31,11.4,11.65,11.26,33732.0,38678188.0,3.42,0.0,0.0,8.43
1999-01-14,11.3,11.1,11.47,11.01,34340.0,38446800.0,4.04,-2.63,-0.3,8.59
1999-01-15,11.01,10.84,11.24,10.82,24976.0,27473820.0,3.78,-2.34,-0.26,6.24
1999-01-18,10.81,11.25,11.3,10.8,17028.0,18827164.0,4.61,3.78,0.41,4.26
1999-01-19,11.2,11.04,11.28,10.95,16111.0,17866480.0,2.93,-1.87,-0.21,4.03
1999-01-20,11.0,11.16,11.25,10.95,9659.0,10746627.0,2.72,1.09,0.12,2.41
1999-01-21,11.16,11.41,11.45,11.0,13611.0,15274482.0,4.03,2.24,0.25,3.4
1999-01-22,11.41,11.3,11.55,11.25,11696.0,13326366.0,2.63,-0.96,-0.11,2.92
1999-01-25,11.3,11.19,11.4,11.12,9406.0,10569226.0,2.48,-0.97,-0.11,2.35
1999-01-26,11.15,11.19,11.28,11.08,9704.0,10839322.0,1.79,0.0,0.0,2.43
1999-01-27,11.18,11.08,11.26,10.9,12926.0,14336429.0,3.22,-0.98,-0.11,3.23
1999-01-28,11.07,10.81,11.07,10.8,11880.0,12963670.0,2.44,-2.44,-0.27,2.97
1999-01-29,10.8,10.41,10.82,10.32,19077.0,20028282.0,4.63,-3.7,-0.4,4.77
1999-02-01,10.28,10.31,10.65,10.26,10610.0,11026205.0,3.75,-0.96,-0.1,2.65
1999-02-02,10.27,10.44,10.46,10.2,6226.0,6431455.0,2.52,1.26,0.13,1.56
1999-02-03,10.47,10.01,10.47,9.98,11438.0,11591283.0,4.69,-4.12,-0.43,2.86
1999-02-04,9.88,9.63,9.98,9.58,11243.0,10970620.0,4.0,-3.8,-0.38,2.81
1999-02-05,9.5,9.56,9.84,9.42,8136.0,7838208.0,4.36,-0.73,-0.07,2.03
1999-02-08,9.49,9.8,9.98,9.49,11339.0,11153606.0,5.13,2.51,0.24,2.83
1999-02-09,9.76,9.92,10.07,9.76,8560.0,8494570.0,3.16,1.22,0.12,2.14
1999-03-01,9.93,9.72,9.95,9.41,4948.0,4764042.0,5.44,-2.02,-0.2,1.24
1999-03-02,9.6,9.93,9.93,9.55,8117.0,7955304.0,3.91,2.16,0.21,2.03
1999-03-03,9.83,10.19,10.2,9.83,9346.0,9421714.0,3.73,2.62,0.26,2.34
1999-03-04,10.18,10.03,10.29,9.9,7466.0,7534135.5,3.83,-1.57,-0.16,1.87
1999-03-05,10.0,10.07,10.19,9.9,8459.0,8480725.0,2.89,0.4,0.04,2.11
1999-03-08,10.01,10.4,10.48,9.94,10977.0,11214256.0,5.36,3.28,0.33,2.74
1999-03-09,10.35,10.26,10.47,10.25,7592.0,7839222.5,2.12,-1.35,-0.14,1.69
1999-03-10,10.2,10.03,10.2,9.98,6536.0,6573366.0,2.14,-2.24,-0.23,1.45
1999-03-11,10.03,10.24,10.3,10.0,6288.0,6400604.5,2.99,2.09,0.21,1.4
1999-03-12,10.26,10.21,10.33,10.1,5687.0,5790403.0,2.25,-0.29,-0.03,1.26
1999-03-15,10.19,10.35,10.46,10.05,10853.0,11152112.0,4.02,1.37,0.14,2.41
1999-03-16,10.4,10.71,10.78,10.23,18438.0,19486918.0,5.31,3.48,0.36,4.1
1999-03-17,10.77,10.3,10.77,10.24,12852.0,13549359.0,4.95,-3.83,-0.41,2.86
1999-03-18,10.26,10.58,10.6,10.15,15039.0,15721769.0,4.37,2.72,0.28,3.34
1999-03-19,10.5,10.9,11.0,10.5,17660.0,19136400.0,4.73,3.02,0.32,3.92
1999-03-22,11.0,11.18,11.36,11.0,32510.0,36359276.0,3.3,2.57,0.28,7.22
1999-03-23,11.0,10.78,11.09,10.7,16594.0,18032114.0,3.49,-3.58,-0.4,3.69
1999-03-24,10.78,11.1,11.23,10.71,17972.0,19732880.0,4.82,2.97,0.32,3.99
1999-03-25,11.01,10.9,11.21,10.89,12149.0,13396389.0,2.88,-1.8,-0.2,2.7
1999-03-26,10.9,10.86,11.1,10.8,8272.0,9043944.0,2.75,-0.37,-0.04,1.84
1999-03-29,10.85,11.39,11.45,10.81,19470.0,21818218.0,5.89,4.88,0.53,4.33
1999-03-30,11.45,11.2,11.5,11.18,10422.0,11848523.0,2.81,-1.67,-0.19,2.32
1999-03-31,11.19,11.32,11.4,11.08,13330.0,14980073.0,2.86,1.07,0.12,2.96
1999-04-01,11.32,11.5,11.7,11.25,17517.0,20208048.0,3.98,1.59,0.18,3.89
1999-04-02,11.52,11.63,11.79,11.43,18767.0,21858170.0,3.13,1.13,0.13,4.17
1999-04-05,11.71,11.58,11.98,11.52,16922.0,19896290.0,3.96,-0.43,-0.05,3.76
1999-04-06,11.6,11.72,11.88,11.54,8275.0,9691366.0,2.94,1.21,0.14,1.84
1999-04-07,11.71,11.5,11.79,11.37,11800.0,13605473.0,3.58,-1.88,-0.22,2.62
1999-04-08,11.5,11.24,11.65,11.15,13668.0,15486292.0,4.35,-2.26,-0.26,3.04
1999-04-09,11.2,11.14,11.49,11.11,12629.0,14219601.0,3.38,-0.89,-0.1,2.81
1999-04-12,11.1,10.96,11.25,10.85,13600.0,14960238.0,3.59,-1.62,-0.18,3.02
1999-04-13,10.96,11.06,11.12,10.71,21260.0,23131548.0,3.74,0.91,0.1,4.72
1999-04-14,11.07,10.98,11.11,10.85,12407.0,13582380.0,2.35,-0.72,-0.08,2.76
1999-04-15,11.0,11.27,11.45,10.92,14100.0,15893285.0,4.83,2.64,0.29,3.13
1999-04-16,11.28,11.23,11.48,11.1,10711.0,12087972.0,3.37,-0.35,-0.04,2.38
1999-04-19,11.28,11.37,11.55,11.23,8832.0,10048370.0,2.85,1.25,0.14,1.96
1999-04-20,11.36,11.22,11.46,11.09,7847.0,8821252.0,3.25,-1.32,-0.15,1.74
1999-04-21,11.25,10.74,11.25,10.69,13797.0,15065956.0,4.99,-4.28,-0.48,3.07
1999-04-22,10.59,10.58,10.73,10.21,13588.0,14214143.0,4.84,-1.49,-0.16,3.02
1999-04-23,10.5,10.47,10.74,10.43,6753.0,7118990.0,2.93,-1.04,-0.11,1.5
1999-04-26,10.4,10.11,10.55,10.1,7636.0,7837410.0,4.3,-3.44,-0.36,1.7
1999-04-28,10.2,10.13,10.46,10.0,4055.0,4154630.25,4.55,0.2,0.02,0.9
1999-04-29,10.11,10.5,10.51,10.11,4450.0,4595384.0,3.95,3.65,0.37,0.99
1999-04-30,10.5,10.52,10.58,10.37,3378.0,3528945.25,2.0,0.19,0.02,0.75
1999-05-04,10.5,10.4,10.5,10.35,2750.0,2861380.5,1.43,-1.14,-0.12,0.61
