交易日期,代码,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,前收盘价,开盘涨跌幅
2005-01-04,zs000300,994.77,982.79,994.77,980.66,7412868.0,4431977400.0,0.0,0.0,0.0,0.02,,
2005-01-05,zs000300,981.58,992.56,997.32,979.88,7119108.0,4529208200.0,1.77,0.99,9.77,0.02,982.79,-0.12
2005-01-06,zs000300,993.33,983.17,993.79,980.33,6288029.0,3921015400.0,1.36,-0.95,-9.39,0.02,992.56,0.08
2005-01-07,zs000300,983.05,983.96,995.71,979.81,7298694.0,4737469400.0,1.62,0.08,0.79,0.02,983.17,-0.01
2005-01-10,zs000300,983.76,993.88,993.96,979.79,5791697.0,3762932900.0,1.44,1.01,9.92,0.02,983.96,-0.02
2005-01-11,zs000300,994.19,997.14,999.55,991.09,5849079.0,3704076700.0,0.85,0.33,3.26,0.02,993.88,0.03
2005-01-12,zs000300,996.65,996.75,996.98,989.26,5014525.0,3093299700.0,0.77,-0.04,-0.39,0.02,997.14,-0.05
2005-01-13,zs000300,996.08,996.88,999.47,992.7,6044065.0,3842173300.0,0.68,0.01,0.13,0.02,996.75,-0.07
2005-01-14,zs000300,996.62,988.31,1006.46,987.23,7297842.0,4162921200.0,1.93,-0.86,-8.57,0.02,996.88,-0.03
2005-01-17,zs000300,979.11,967.45,981.53,965.08,7288188.0,4249807800.0,1.66,-2.11,-20.86,0.02,988.31,-0.93
2005-01-18,zs000300,967.37,974.69,974.87,960.29,7311847.0,4117944100.0,1.51,0.75,7.24,0.02,967.45,-0.01
2005-01-19,zs000300,974.33,967.21,974.33,965.26,6338091.0,3427951300.0,0.93,-0.77,-7.48,0.02,974.69,-0.04
2005-01-20,zs000300,963.21,956.24,963.21,952.23,7727106.0,4399350600.0,1.14,-1.13,-10.97,0.02,967.21,-0.41
2005-01-21,zs000300,954.46,982.6,984.27,943.44,14450059.0,8152086100.0,4.27,2.76,26.36,0.04,956.24,-0.19
2005-01-24,zs000300,1001.85,998.13,1001.85,986.24,14359461.0,8360161500.0,1.59,1.58,15.53,0.04,982.6,1.96
2005-01-25,zs000300,995.64,997.78,997.95,985.24,9862529.0,6157022400.0,1.27,-0.04,-0.35,0.03,998.13,-0.25
2005-01-26,zs000300,995.78,989.93,999.47,988.48,7663290.0,4719440400.0,1.1,-0.79,-7.85,0.02,997.78,-0.2
2005-01-27,zs000300,987.34,974.63,987.7,973.77,6945364.0,4094398900.0,1.41,-1.55,-15.3,0.02,989.93,-0.26
2005-01-28,zs000300,974.63,969.21,975.62,965.21,5748807.0,3280950300.0,1.07,-0.56,-5.42,0.02,974.63,0.0
2005-01-31,zs000300,965.79,954.88,965.79,953.14,6788706.0,3863573600.0,1.31,-1.48,-14.33,0.02,969.21,-0.35
2005-02-01,zs000300,953.33,955.95,965.48,952.74,7433066.0,4275706800.0,1.33,0.11,1.07,0.02,954.88,-0.16
2005-02-02,zs000300,956.7,1006.91,1006.93,956.7,17057338.0,10202904300.0,5.25,5.33,50.96,0.05,955.95,0.08
2005-02-03,zs000300,1005.56,993.22,1014.19,992.16,16974539.0,10057310300.0,2.19,-1.36,-13.69,0.05,1006.91,-0.13
2005-02-04,zs000300,992.25,1016.86,1021.03,989.94,15736214.0,9549870600.0,3.13,2.38,23.64,0.05,993.22,-0.1
2005-02-16,zs000300,1023.32,1023.58,1033.25,1018.49,12131293.0,7438168200.0,1.45,0.66,6.72,0.04,1016.86,0.64
2005-02-17,zs000300,1024.43,1020.61,1024.43,1010.48,8968297.0,5513063300.0,1.36,-0.29,-2.97,0.03,1023.58,0.08
2005-02-18,zs000300,1020.12,1006.05,1021.2,1005.63,8139939.0,4817732100.0,1.53,-1.43,-14.56,0.02,1020.61,-0.05
2005-02-21,zs000300,1006.69,1025.63,1025.66,1006.69,9886094.0,6052394900.0,1.89,1.95,19.58,0.03,1006.05,0.06
2005-02-22,zs000300,1026.84,1046.74,1048.68,1024.53,17937842.0,10922776800.0,2.35,2.06,21.11,0.05,1025.63,0.12
2005-02-23,zs000300,1046.81,1043.94,1049.61,1036.63,18696929.0,11231940700.0,1.24,-0.27,-2.8,0.06,1046.74,0.01
2005-02-24,zs000300,1042.25,1045.46,1045.96,1034.73,14681788.0,8993752200.0,1.08,0.15,1.52,0.04,1043.94,-0.16
2005-02-25,zs000300,1046.27,1046.76,1059.48,1045.98,18170003.0,11489961200.0,1.29,0.12,1.3,0.06,1045.46,0.08
2005-02-28,zs000300,1046.21,1039.99,1048.28,1035.04,12971046.0,8190101300.0,1.26,-0.65,-6.77,0.04,1046.76,-0.05
2005-03-01,zs000300,1039.35,1035.93,1042.74,1031.17,9962090.0,6288790700.0,1.11,-0.39,-4.06,0.03,1039.99,-0.06
2005-03-02,zs000300,1036.37,1021.32,1045.76,1021.0,14225135.0,8971307900.0,2.39,-1.41,-14.61,0.04,1035.93,0.04
2005-03-03,zs000300,1019.88,1027.71,1028.4,1014.75,9203085.0,5582812000.0,1.34,0.63,6.39,0.03,1021.32,-0.14
2005-03-04,zs000300,1027.93,1023.67,1031.85,1022.18,8173641.0,5383868100.0,0.94,-0.39,-4.04,0.02,1027.71,0.02
2005-03-07,zs000300,1024.48,1029.87,1031.34,1024.48,7932949.0,5316473200.0,0.67,0.61,6.2,0.02,1023.67,0.08
2005-03-08,zs000300,1033.79,1048.99,1049.29,1032.85,14295793.0,9851274600.0,1.6,1.86,19.12,0.04,1029.87,0.38
2005-03-09,zs000300,1051.26,1046.54,1054.64,1041.98,15327488.0,9877624300.0,1.21,-0.23,-2.45,0.05,1048.99,0.22
2005-03-10,zs000300,1046.69,1022.41,1046.69,1019.63,13295953.0,8380547700.0,2.59,-2.31,-24.13,0.04,1046.54,0.01
2005-03-11,zs000300,1021.08,1027.43,1028.12,1016.93,11476381.0,7654557000.0,1.09,0.49,5.02,0.03,1022.41,-0.13
2005-03-14,zs000300,1027.18,1031.03,1041.57,1014.93,14466089.0,10229428900.0,2.59,0.35,3.6,0.04,1027.43,-0.02
