前20个最重要特征:
================================================================================
排名   特征名称                                     重要性          占比(%)      累积(%)     
--------------------------------------------------------------------------------
1    step_22_情绪_sentiment_1                   58.000000    2.80       2.80      
2    step_20_情绪_sentiment_1                   37.000000    1.78       4.58      
3    step_22_情绪_sentiment_0                   34.000000    1.64       6.22      
4    step_25_指数_沪深300                         24.000000    1.16       7.38      
5    step_11_情绪_sentiment_0                   24.000000    1.16       8.53      
6    step_01_指数_深证成指                          23.000000    1.11       9.64      
7    step_06_个股_振幅                            22.000000    1.06       10.70     
8    step_29_指数_中证500                         22.000000    1.06       11.76     
9    step_29_指数_上证指数                          22.000000    1.06       12.83     
10   step_10_情绪_sentiment_1                   21.000000    1.01       13.84     
11   step_04_行业_最高价                           21.000000    1.01       14.85     
12   step_23_行业_最低价                           20.000000    0.96       15.81     
13   step_02_指数_沪深300                         19.000000    0.92       16.73     
14   step_11_指数_深证成指                          19.000000    0.92       17.65     
15   step_16_指数_上证指数                          19.000000    0.92       18.56     
16   step_21_个股_收盘价                           18.000000    0.87       19.43     
17   step_12_行业_成交量                           18.000000    0.87       20.30     
18   step_16_个股_流通市值                          17.000000    0.82       21.12     
19   step_10_指数_创业板指                          17.000000    0.82       21.94     
20   step_28_个股_开盘价                           16.000000    0.77       22.71     
