feature_name,importance,feature_index,importance_rank,importance_percent,cumulative_percent
step_29_个股_振幅,431,553,1,1.8024,1.8024
step_29_个股_涨跌幅,280,550,2,1.171,2.9734
step_29_个股_RSI,246,555,3,1.0288,4.0022
step_29_个股_成交额,241,551,4,1.0079,5.0101
step_28_个股_涨跌幅,205,527,5,0.8573,5.8674
step_23_个股_涨跌幅,190,432,6,0.7946,6.662
step_26_个股_涨跌幅,176,486,7,0.736,7.398
step_28_个股_RSI,164,532,8,0.6858,8.0838
step_28_个股_振幅,163,530,9,0.6817,8.7655
step_26_个股_振幅,161,489,10,0.6733,9.4388
step_27_个股_涨跌幅,157,506,11,0.6566,10.0954
step_16_个股_涨跌幅,156,299,12,0.6524,10.7478
step_24_个股_涨跌幅,153,451,13,0.6398,11.3876
step_17_个股_涨跌幅,150,318,14,0.6273,12.0149
step_27_个股_振幅,146,509,15,0.6106,12.6255
step_20_个股_涨跌幅,141,375,16,0.5897,13.2152
step_24_个股_振幅,140,454,17,0.5855,13.8007
step_12_个股_涨跌幅,138,232,18,0.5771,14.3778
step_05_个股_涨跌幅,133,101,19,0.5562,14.934
step_21_个股_涨跌幅,131,393,20,0.5478,15.4818
step_25_个股_涨跌幅,130,469,21,0.5437,16.0255
step_23_个股_振幅,130,435,22,0.5437,16.5692
step_25_个股_振幅,128,471,23,0.5353,17.1045
step_00_个股_涨跌幅,127,3,24,0.5311,17.6356
step_19_个股_涨跌幅,127,358,25,0.5311,18.1667
step_28_个股_成交额,126,528,26,0.5269,18.6936
step_22_个股_涨跌幅,126,412,27,0.5269,19.2205
step_25_个股_RSI,124,473,28,0.5186,19.7391
step_28_个股_换手率,123,529,29,0.5144,20.2535
step_09_个股_涨跌幅,122,175,30,0.5102,20.7637
step_24_个股_RSI,121,456,31,0.506,21.2697
step_27_个股_RSI,120,510,32,0.5018,21.7715
step_18_个股_涨跌幅,119,338,33,0.4977,22.2692
step_29_个股_换手率,119,552,34,0.4977,22.7669
step_03_个股_涨跌幅,118,60,35,0.4935,23.2604
step_13_个股_涨跌幅,117,247,36,0.4893,23.7497
step_20_个股_振幅,116,377,37,0.4851,24.2348
step_02_个股_振幅,115,46,38,0.4809,24.7157
step_00_个股_RSI,115,8,39,0.4809,25.1966
step_06_个股_涨跌幅,114,124,40,0.4767,25.6733
step_21_个股_振幅,114,396,41,0.4767,26.15
step_02_个股_涨跌幅,113,43,42,0.4726,26.6226
step_08_个股_振幅,112,160,43,0.4684,27.091
step_27_个股_成交额,111,507,44,0.4642,27.5552
step_04_个股_涨跌幅,110,82,45,0.46,28.0152
step_15_个股_涨跌幅,109,280,46,0.4558,28.471
RSI_收盘价,109,577,47,0.4558,28.9268
step_10_个股_涨跌幅,108,194,48,0.4517,29.3785
RSI_最高价,108,583,49,0.4517,29.8302
step_01_个股_涨跌幅,108,22,50,0.4517,30.2819
step_23_个股_RSI,107,436,51,0.4475,30.7294
step_11_个股_涨跌幅,107,213,52,0.4475,31.1769
step_01_个股_振幅,107,25,53,0.4475,31.6244
step_08_个股_涨跌幅,106,158,54,0.4433,32.0677
step_10_个股_振幅,104,196,55,0.4349,32.5026
step_29_个股_成交量,104,549,56,0.4349,32.9375
step_13_个股_振幅,104,250,57,0.4349,33.3724
step_14_个股_涨跌幅,102,264,58,0.4266,33.799
