feature,importance
concept_猪肉概念_pct,141226.72814941406
concept_抖音小店_pct,105213.37594604492
concept_麒麟电池_pct,75383.57971191406
industry_电力行业_pct,69320.43878173828
concept_6G概念_pct,63128.884826660156
concept_风能_pct,58445.28601074219
concept_ST股_pct,58051.700843811035
industry_有色金属_pct,52284.78482055664
concept_超超临界发电_pct,37061.62969970703
concept_稀缺资源_pct,34724.21505737305
concept_互联医疗_pct,32546.35849761963
成交额,31024.745479166508
industry_旅游酒店_pct,30380.264194488525
concept_全息技术_pct,29760.175750732422
concept_华为欧拉_pct,29534.4418258667
industry_农牧饲渔_pct,29515.421851158142
concept_无线耳机_pct,27325.337158203125
industry_航空机场_pct,26624.919898986816
涨跌幅,26558.04656097293
industry_工程建设_pct,25051.09460258484
振幅,21841.12468853593
industry_采掘行业_pct,19353.694702148438
industry_贵金属_pct,19242.423377990723
concept_国资云概念_pct,18853.538940429688
concept_托育服务_pct,16780.960327148438
concept_ChatGPT概念_pct,16690.68975830078
industry_食品饮料_pct,15966.0302734375
industry_专用设备_pct,15856.42499667406
industry_专业服务_pct,15842.941189706326
concept_并购重组概念_pct,15703.729957580566
concept_纳米银_pct,15568.926025390625
industry_房地产开发_pct,15066.402669906616
industry_玻璃玻纤_pct,14965.101867675781
concept_昨日连板_含一字_pct,14910.499206542969
concept_C2M概念_pct,14787.967224121094
涨跌额,14633.013836532831
industry_教育_pct,14622.695251464844
concept_磷化工_pct,14073.093719482422
industry_汽车整车_pct,13793.962982177734
concept_举牌_pct,13766.619995117188
concept_生物质能发电_pct,13409.222045898438
流通市值,12854.355907350779
concept_啤酒概念_pct,12768.866348266602
concept_减肥药_pct,12470.578125
concept_智慧政务_pct,10505.099609375
industry_光伏设备_pct,10362.437034606934
concept_数字水印_pct,10198.072235107422
industry_保险_pct,10165.949075073004
industry_煤炭行业_pct,9526.395080566406
concept_VPN_pct,9180.669799804688
concept_长寿药_pct,9085.81982421875
industry_公用事业_pct,9077.271357536316
concept_体育产业_pct,9072.080078125
concept_昨日涨停_pct,8837.969062805176
concept_轮毂电机_pct,8614.926979064941
industry_电子化学品_pct,8499.340942382812
industry_仪器仪表_pct,8040.391960144043
concept_肝素概念_pct,7856.312072753906
concept_PPP模式_pct,7624.6298828125
industry_商业百货_pct,7501.2671365737915
concept_PEEK材料概念_pct,7459.887939453125
industry_证券_pct,7350.616943359375
换手率,7319.974350020289
concept_供销社概念_pct,7262.3720626831055
concept_钙钛矿电池_pct,6809.793258666992
concept_中特估_pct,6770.594055175781
industry_钢铁行业_pct,6754.045135498047
concept_AI眼镜_pct,6701.837936401367
industry_汽车服务_pct,6651.595031738281
concept_人造肉_pct,6598.746032714844
concept_黄金概念_pct,6435.980758666992
concept_汽车一体化压铸_pct,6295.009002685547
concept_环氧丙烷_pct,6194.933807373047
concept_低碳冶金_pct,6028.665100097656
concept_钛白粉_pct,5958.290100097656
concept_氟化工_pct,5936.02001953125
concept_超导概念_pct,5906.259338378906
industry_小金属_pct,5899.481094360352
concept_柔性屏(折叠屏)_pct,5836.4599609375
concept_冰雪经济_pct,5788.36735534668
concept_网络游戏_pct,5713.27978515625
industry_石油行业_pct,5685.305114746094
concept_可控核聚变_pct,5663.98307800293
concept_3D摄像头_pct,5455.362121582031
concept_算力概念_pct,5257.090087890625
concept_固态电池_pct,5256.425964355469
industry_风电设备_pct,5232.769989013672
industry_多元金融_pct,5165.328073501587
concept_参股保险_pct,5118.31298828125
concept_卫星互联网_pct,5030.073028564453
concept_苹果概念_pct,4996.2210693359375
industry_美容护理_pct,4991.025955200195
concept_昨日连板_pct,4977.532501220703
concept_广电_pct,4907.81982421875
concept_滨海新区_pct,4891.775085449219
industry_能源金属_pct,4862.650001525879
concept_盲盒经济_pct,4656.646057128906
concept_合成生物_pct,4566.22998046875
industry_珠宝首饰_pct,4546.364036560059
concept_草甘膦_pct,4433.143966674805
industry_农药兽药_pct,4423.431945800781
concept_ERP概念_pct,4411.476013183594
concept_代糖概念_pct,4350.1300048828125
concept_户外露营_pct,4278.83903503418
concept_转基因_pct,4235.414932250977
industry_汽车零部件_pct,4188.600723266602
成交量,4044.143371105194
concept_HS300__pct,4040.4380493164062
industry_物流行业_pct,4002.871789932251
concept_民爆概念_pct,4001.1539916992188
concept_Web3.0_pct,4000.844717025757
concept_量子科技_pct,3867.0430908203125
industry_航运港口_pct,3799.9252128601074
concept_乳业_pct,3799.756866455078
concept_免税概念_pct,3748.0789947509766
concept_创业板综_x_ret,3741.5473079681396
industry_房地产服务_pct,3733.367977142334
concept_氦气概念_pct,3698.4719848632812
concept_智谱AI_pct,3645.7420349121094
industry_工程机械_pct,3563.353935241699
industry_装修建材_pct,3504.1500244140625
concept_互联金融_pct,3494.157958984375
industry_电子元件_pct,3434.5389556884766
concept_被动元件_pct,3266.5499877929688
concept_毛发医疗_pct,3210.763916015625
concept_微盘股_pct,3190.0949096679688
concept_通用航空_pct,3179.666015625
concept_稀土永磁_pct,3172.7369995117188
industry_中药_pct,3157.234724998474
concept_IPv6_pct,3153.85205078125
concept_网络安全_pct,3145.8701171875
industry_化学制药_pct,3100.7392253875732
concept_沪企改革_pct,3097.584014892578
最高价,3076.646570801735
industry_互联网服务_pct,3075.385034561157
concept_空间站概念_pct,3042.2482147216797
industry_包装材料_pct,3012.2691040039062
concept_CPO概念_pct,3001.585968017578
concept_阿兹海默_pct,2958.772933959961
concept_低价股_pct,2953.590087890625
concept_智慧灯杆_pct,2949.6199951171875
concept_BC电池_pct,2919.676971435547
concept_冷链物流_pct,2875.489990234375
industry_半导体_pct,2874.618808746338
industry_电源设备_pct,2864.164031982422
concept_OLED_pct,2860.56005859375
concept_电子后视镜_pct,2858.590087890625
concept_气溶胶检测_pct,2821.22900390625
concept_贬值受益_pct,2790.322967529297
industry_银行_pct,2710.4955978393555
concept_信创_pct,2696.139892578125
industry_燃气_pct,2685.739288330078
concept_鸡肉概念_pct,2673.5439453125
concept_胎压监测_pct,2631.2029418945312
industry_纺织服装_pct,2596.5
开盘价,2511.2214691638947
industry_光学光电子_pct,2506.034942626953
concept_标准普尔_x_ret,2447.478609085083
concept_创业板综,2441.6198835372925
concept_海绵城市_pct,2432.26806640625
concept_京东金融_pct,2416.2099609375
concept_首发经济_pct,2315.5010375976562
industry_综合行业_pct,2282.1619386672974
concept_东数西算_pct,2281.72998046875
industry_化学制品_pct,2256.0169982910156
industry_铁路公路_pct,2240.1809997558594
concept_知识产权_pct,2237.6139526367188
industry_贸易行业_pct,2215.967041015625
industry_医疗器械_pct,2204.0029907226562
industry_交运设备_pct,2202.431523680687
industry_游戏_pct,2188.7000274658203
industry_船舶制造_pct,2160.9889526367188
concept_超级品牌_pct,2109.414031982422
concept_重组蛋白_pct,2080.011016845703
concept_抽水蓄能_pct,2075.9680786132812
concept_WiFi_pct,2074.248992919922
concept_数字阅读_pct,1987.1210021972656
concept_GDR_pct,1978.4130249023438
concept_高带宽内存_pct,1961.35302734375
concept_统一大市场_pct,1954.949951171875
concept_无线充电_pct,1870.9100341796875
concept_EDR概念_pct,1824.7656927108765
收盘价,1750.7267422676086
concept_超级真菌_pct,1716.0849609375
concept_UWB概念_pct,1712.9200439453125
concept_铜缆高速连接_pct,1701.9250183105469
concept_破净股_x_ret,1629.8010883331299
industry_家用轻工_pct,1582.3544960021973
concept_工程机械概念_pct,1563.3299560546875
concept_星闪概念_pct,1549.050048828125
最低价,1545.1715769171715
concept_EDA概念_pct,1530.6809997558594
concept_油气设服_pct,1502.8499755859375
concept_小红书概念_pct,1485.9744491577148
concept_快递概念_pct,1475.5669860839844
concept_电子烟_pct,1473.56005859375
industry_化肥行业_pct,1425.3273811340332
industry_化纤行业_pct,1420.6239624023438
concept_融资融券_x_ret,1385.3919467926025
concept_可燃冰_pct,1374.8350524902344
concept_MSCI中国_x_ret,1357.7750978469849
industry_橡胶制品_pct,1339.5910034179688
concept_同步磁阻电机_pct,1335.0699462890625
concept_海工装备_pct,1330.9290237426758
concept_华为海思_pct,1328.2080078125
industry_医药商业_pct,1227.4410095214844
concept_地热能_pct,1204.2099609375
industry_家电行业_pct,1199.6716232299805
concept_化债(AMC)概念_pct,1179.0690002441406
concept_MiniLED_pct,1137.31005859375
industry_酿酒行业_pct,1122.6229934692383
concept_昨日涨停_含一字_pct,1117.469970703125
concept_AI芯片_pct,1105.4299774169922
concept_抗菌面料_pct,1085.010009765625
concept_ST股,1075.4367423057556
concept_数据安全_pct,1071.4080200195312
industry_工程咨询服务_pct,1068.3049926757812
concept_发电机概念_pct,1067.5049743652344
concept_荣耀概念_pct,1065.5400390625
concept_PVDF概念_pct,1064.760009765625
concept_央国企改革_x_ret,1059.891177892685
concept_AI制药（医疗）_pct,997.5479736328125
concept_DeepSeek概念_pct,968.0180053710938
concept_低空经济_pct,964.2040100097656
industry_医疗服务_pct,964.0950012207031
concept_北斗导航_pct,950.3779907226562
concept_中芯概念_pct,934.4129943847656
concept_PLC概念_pct,927.2999877929688
concept_粮食概念_pct,916.4209899902344
concept_噪声防治_pct,904.8179931640625
industry_通信设备_pct,904.4900054931641
concept_专精特新_x_ret,900.0882992744446
concept_租售同权_pct,891.3409729003906
concept_植物照明_pct,880.625
concept_人脑工程_pct,878.5750122070312
concept_参股银行_pct,872.447998046875
concept_电子纸概念_pct,871.8699951171875
concept_京津冀_pct,859.39697265625
concept_一带一路_pct,857.7320251464844
concept_汽车芯片_pct,838.8280029296875
concept_股权转让_pct,807.7650146484375
concept_新零售_pct,805.6929931640625
concept_电子车牌_pct,804.875
concept_上证180__x_ret,800.9568214416504
concept_军工_pct,795.823974609375
concept_HS300__x_ret,791.6009979248047
concept_工业气体_pct,785.3740234375
concept_共享经济_pct,780.2769927978516
concept_房屋检测_pct,773.97998046875
concept_抖音概念(字节概念)_pct,759.5670166015625
concept_工业母机_pct,745.9329833984375
concept_中字头_pct,745.0829772949219
concept_医废处理_pct,737.0070190429688
concept_科创板做市商_pct,735.7730102539062
