前20个最重要特征:
================================================================================
排名   特征名称                                     重要性          占比(%)      累积(%)     
--------------------------------------------------------------------------------
1    step_29_个股_振幅                            117.000000   2.37       2.37      
2    step_29_个股_涨跌幅                           107.000000   2.17       4.54      
3    step_29_个股_换手率                           77.000000    1.56       6.10      
4    step_29_个股_RSI                           73.000000    1.48       7.58      
5    step_29_个股_成交额                           72.000000    1.46       9.04      
6    RSI_开盘价                                  71.000000    1.44       10.47     
7    step_28_个股_涨跌幅                           52.000000    1.05       11.53     
8    step_28_个股_振幅                            51.000000    1.03       12.56     
9    step_24_个股_涨跌幅                           48.000000    0.97       13.53     
10   RSI_收盘价                                  44.000000    0.89       14.42     
11   step_27_个股_振幅                            43.000000    0.87       15.30     
12   step_26_个股_涨跌幅                           42.000000    0.85       16.15     
13   step_29_个股_最高价                           39.000000    0.79       16.94     
14   step_25_个股_涨跌幅                           39.000000    0.79       17.73     
15   step_22_个股_涨跌幅                           39.000000    0.79       18.52     
16   step_21_个股_涨跌幅                           38.000000    0.77       19.29     
17   step_19_个股_涨跌幅                           36.000000    0.73       20.02     
18   step_03_个股_涨跌幅                           35.000000    0.71       20.73     
19   step_16_个股_涨跌幅                           35.000000    0.71       21.43     
20   step_23_情绪_sentiment_0                   35.000000    0.71       22.14     
