前20个最重要特征:
================================================================================
排名   特征名称                                     重要性          占比(%)      累积(%)     
--------------------------------------------------------------------------------
1    step_29_个股_振幅                            139.000000   2.61       2.61      
2    step_29_个股_涨跌幅                           127.000000   2.38       4.99      
3    step_29_个股_换手率                           75.000000    1.41       6.40      
4    step_29_个股_成交额                           73.000000    1.37       7.77      
5    step_28_个股_涨跌幅                           68.000000    1.28       9.05      
6    step_29_个股_RSI                           68.000000    1.28       10.32     
7    step_26_个股_涨跌幅                           54.000000    1.01       11.34     
8    RSI_开盘价                                  53.000000    0.99       12.33     
9    step_28_个股_振幅                            49.000000    0.92       13.25     
10   step_19_个股_涨跌幅                           47.000000    0.88       14.14     
11   RSI_收盘价                                  47.000000    0.88       15.02     
12   step_25_个股_涨跌幅                           45.000000    0.84       15.86     
13   step_16_个股_涨跌幅                           44.000000    0.83       16.69     
14   step_00_个股_最高价                           44.000000    0.83       17.51     
15   step_29_个股_最高价                           42.000000    0.79       18.30     
16   step_27_个股_涨跌幅                           39.000000    0.73       19.04     
17   step_27_个股_振幅                            38.000000    0.71       19.75     
18   step_23_个股_涨跌幅                           38.000000    0.71       20.46     
19   step_22_个股_涨跌幅                           37.000000    0.69       21.16     
20   step_24_个股_涨跌幅                           37.000000    0.69       21.85     
